suburb,year_2006,year_2011,year_2016,year_2021
Forde,,0.016091954022988506,0.008304498269896194,0.008281573498964804
Beard,,,,
Canberra Airport,,,0.06,0.0
Capital Hill,,,,0.0
Coombs,,,0.00424929178470255,0.0554675118858954
Denman Prospect,,,,0.033364226135310475
Jacka,,,0.05714285714285714,0.050980392156862744
Molonglo,,,,
Moncrieff,,,0.0,0.06177156177156177
Throsby,,,,0.04774535809018567
Uriarra Village,,,0.07766990291262135,0.03
Wright,,,0.0,0.014180024660912454
Macnamara,,,,
Strathnairn,,,,0.0
Taylor,,,,0.08784773060029283
Whitlam,,,,
