SA1_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
80101100812,3,0,8,67,99,41,25,82,26,346
80101100901,0,0,6,66,97,38,23,61,6,297
80101100902,0,0,0,54,79,26,21,35,4,221
80101100903,0,0,4,89,114,62,18,57,3,335
80101100904,0,0,3,58,121,46,28,50,9,306
80101100905,0,0,3,51,94,54,25,44,3,274
80101100906,0,0,4,99,120,61,37,71,13,403
80101100907,0,0,0,52,60,32,17,50,15,226
80101100908,4,0,6,65,93,42,30,59,7,293
80101100909,0,0,0,57,83,39,9,43,18,242
80101100910,3,0,0,71,104,32,25,49,7,292
80101101001,3,0,4,60,97,49,41,47,9,306
80101101002,0,0,0,80,103,31,23,43,6,279
80101101003,4,0,4,74,131,59,30,60,11,368
80101101004,0,0,5,71,112,44,35,42,4,311
80101101005,4,0,3,92,155,77,40,62,19,446
80101101101,7,0,5,118,177,93,52,77,31,543
80101101102,0,0,0,62,99,46,23,50,7,278
80101101103,6,0,11,118,182,71,44,91,14,516
80101101104,0,0,0,87,105,56,28,70,11,359
80101101105,0,0,0,45,74,40,20,39,0,220
80101101106,0,0,7,33,69,29,17,31,18,196
80101101107,0,0,0,0,0,0,0,0,0,0
80101101108,0,0,0,39,47,36,10,33,6,167
80101101109,0,0,0,31,63,30,19,39,4,194
80101101110,0,0,0,59,76,21,16,25,11,199
80101101202,0,0,0,0,0,0,0,0,0,0
80101101203,0,0,0,0,0,0,0,0,0,0
80101101301,0,0,5,42,77,22,11,20,9,181
80101101302,0,0,3,95,134,47,32,139,50,500
80101101303,0,0,6,70,130,64,24,30,4,322
80101101304,3,0,10,54,90,38,17,34,4,241
80101101305,4,0,13,83,118,66,27,45,9,361
80101101306,0,0,4,51,99,57,28,42,5,276
80101101307,0,0,8,47,68,21,9,36,3,181
80101101308,0,0,7,62,104,46,18,21,10,266
80101101309,0,0,0,0,0,0,0,0,0,0
80101101310,3,0,14,35,64,29,21,38,5,193
80101101401,9,0,16,63,116,50,38,79,17,359
80101101402,0,0,7,95,113,63,35,67,4,376
80101101403,3,0,8,112,162,73,32,114,21,517
80101101404,0,0,3,107,141,55,32,77,9,421
80101101405,4,0,11,71,99,39,35,70,13,332
80101101406,3,0,0,34,71,24,20,40,12,200
80101101407,0,0,4,115,138,73,41,85,10,458
80101101502,0,0,5,45,80,32,24,44,11,233
80101101503,0,0,0,59,101,29,19,38,10,255
80101101504,6,0,3,74,91,49,23,65,13,314
80101101505,0,0,3,88,155,57,23,86,5,408
80101101506,0,0,5,75,106,36,24,39,10,290
80101101508,0,0,0,87,97,31,16,46,5,276
80101101509,0,3,6,69,116,33,18,53,20,306
80101101510,0,0,7,64,80,37,33,64,7,295
80101101511,0,0,0,53,56,29,13,40,13,196
80101101512,0,0,3,65,69,26,21,60,6,249
80101101513,4,0,4,65,74,25,7,60,24,256
80101101514,0,0,0,0,0,0,0,0,0,0
80101101515,45,0,74,66,98,29,16,153,25,389
80101101516,0,0,0,106,185,57,41,137,13,542
80101101517,5,0,17,129,177,69,47,104,17,550
80101101601,0,0,4,81,106,64,25,77,10,357
80101101602,0,0,0,40,47,31,16,35,5,178
80101101603,3,0,8,84,149,55,36,118,17,450
80101101604,5,0,5,75,101,50,24,72,33,349
80101101605,0,0,0,64,108,42,22,70,13,323
80101101606,0,0,9,102,133,84,32,66,7,428
80101101607,0,0,0,46,69,29,20,41,6,218
80101101608,28,0,28,0,0,0,0,49,3,58
80101101609,0,0,9,77,122,58,38,71,14,383
80101101610,0,0,0,46,59,36,8,56,7,207
80101101611,5,0,10,61,107,45,28,52,10,300
80101101612,0,0,3,83,139,55,26,90,22,417
80101101613,3,0,11,108,130,40,26,137,18,452
80101101614,0,0,6,76,127,59,30,36,16,352
80101101615,7,0,10,76,109,52,35,80,19,363
80101101616,7,0,14,114,128,49,37,87,21,436
80101101617,3,0,8,67,116,53,19,85,17,354
80101101618,3,0,10,68,109,40,18,57,16,310
80101101619,0,0,7,90,126,56,27,51,18,360
80101101701,0,0,0,62,81,39,26,51,13,267
80101101702,0,0,0,84,126,71,44,70,16,417
80101101703,3,0,9,116,172,73,45,86,25,507
80101101704,3,0,0,37,83,42,37,48,7,256
80101101705,4,0,4,62,103,35,15,76,3,292
80101101706,3,0,5,115,161,65,39,83,24,483
80101101707,9,0,11,70,107,54,33,65,13,346
80101101708,0,0,0,26,40,20,13,40,13,137
80101101709,0,4,4,60,114,40,27,31,7,275
80101101802,0,0,0,0,0,0,0,0,0,0
80101101805,0,0,0,108,157,37,19,187,53,568
80101101806,0,0,0,88,81,19,10,80,21,302
80101101807,0,0,0,126,142,37,20,141,34,499
80101101808,0,0,0,67,77,22,20,106,20,309
80101101809,0,0,0,88,94,19,7,129,23,359
80101101810,0,0,0,93,96,32,14,98,14,358
80101101902,0,0,0,83,174,53,29,106,11,456
80101101904,0,0,4,79,109,43,22,69,8,335
80101101905,0,0,4,72,146,37,30,87,3,370
80101101906,0,0,3,64,85,37,26,36,7,261
80101101907,0,0,5,90,147,88,37,56,9,425
80101101908,0,0,4,88,136,66,33,43,3,375
80101101909,0,0,0,73,105,45,19,88,14,341
80101101910,0,0,7,63,96,37,24,60,4,281
80101101911,0,0,0,85,126,46,33,85,24,398
80101101912,0,0,3,69,89,45,25,60,11,298
80101101913,0,0,0,110,68,48,28,84,15,353
80101101914,0,0,0,49,75,21,9,33,13,191
80101101915,0,0,5,48,92,33,21,51,3,255
80101101916,0,0,0,53,88,31,17,45,5,239
80101101917,0,0,0,39,87,28,13,57,5,231
80101101918,0,0,0,37,83,24,21,43,6,209
80101101919,0,0,0,75,112,34,22,66,7,315
80101102001,0,0,0,48,87,45,18,23,3,229
80101102002,3,0,6,67,103,42,24,61,32,336
80101102003,4,0,0,49,74,38,22,30,9,218
80101102004,6,0,4,53,59,41,12,33,14,212
80101102005,3,0,22,156,239,73,43,191,46,748
80101102006,9,0,10,54,70,33,15,49,24,240
80101102007,0,0,3,64,98,21,23,41,18,261
80101102008,0,0,8,88,133,46,25,43,13,339
80101102101,0,0,13,112,158,73,48,105,21,523
80101102102,4,0,14,72,111,48,16,65,10,322
80101102103,0,0,7,91,132,81,42,106,16,463
80101102104,0,0,3,71,127,57,35,86,5,395
80101102105,0,0,3,130,203,88,54,83,32,581
80101102201,0,0,0,26,63,33,19,16,5,166
80101102202,0,0,4,45,121,33,17,27,3,247
80101102203,0,0,6,84,130,66,17,89,16,409
80101102204,0,0,3,76,155,77,32,97,28,462
80101102205,7,0,6,97,150,62,43,84,14,452
80101102206,0,0,6,64,86,48,25,30,8,255
80101102207,0,0,7,85,113,81,33,76,20,399
80101102208,0,0,0,55,92,41,17,37,5,251
80101102301,4,0,12,74,140,62,18,85,23,397
80101102302,0,0,5,34,57,29,12,57,18,207
80101102303,3,3,10,82,126,53,20,99,15,403
80101102304,0,0,6,123,109,34,27,102,48,442
80101102305,4,0,5,56,107,28,23,53,11,275
80101102306,0,0,3,59,116,41,22,60,10,308
80101102307,97,58,207,65,85,53,23,205,107,535
80101102401,0,0,3,36,63,32,15,39,7,195
80101102402,0,0,6,80,146,64,31,76,17,410
80101102403,4,0,0,78,88,60,28,52,8,310
80101102404,5,0,6,53,68,45,18,39,8,234
80101102405,0,0,0,33,84,42,14,51,6,235
80101102406,0,0,6,76,126,58,23,58,22,368
80101102407,0,0,0,51,67,23,17,62,24,244
80101102408,4,0,6,92,119,54,31,112,24,430
80101102501,0,0,5,60,78,41,21,44,21,258
80101102502,3,0,4,73,110,58,13,57,12,321
80101102503,6,0,5,88,155,56,22,83,10,416
80101102504,0,0,5,94,134,50,29,91,18,423
80101102505,0,0,3,58,76,37,21,34,9,229
80101102506,0,0,3,96,153,58,40,54,17,425
80101102601,6,0,6,63,92,61,22,33,20,287
80101102602,0,0,0,47,48,40,11,18,10,172
80101102603,4,0,13,66,136,55,32,32,6,319
80101102604,0,0,10,97,144,59,31,68,6,403
80101102605,0,0,11,61,61,38,24,37,11,230
80101102606,10,0,22,141,156,71,48,83,14,510
80101102607,3,0,9,89,121,62,25,58,11,362
80101111101,0,0,0,4,6,0,0,0,3,10
80101114201,0,0,0,0,0,0,0,0,0,0
80101114301,0,0,0,25,37,15,14,39,3,129
80101114302,0,0,0,86,130,46,24,103,17,406
80101114401,0,0,0,5,0,0,0,4,6,19
80103103102,0,0,0,0,0,0,0,0,376,376
