SA1_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
80101100208,0,0,0,0,0,0,7,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,14,8,33,101,70,53,27,27,12,6,326
80101100209,0,0,0,6,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,7,0,4,0,0,0,0,15,0,34,87,49,26,25,14,0,0,232
80101100210,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,3,3,0,0,19,3,39,84,59,45,34,37,26,3,322
80101100211,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,3,5,5,7,3,3,0,3,0,29,11,66,190,97,49,38,26,11,7,489
80101100212,0,0,0,0,0,0,3,8,15,17,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,8,8,30,3,32,50,42,17,22,48,123,148,483
80101100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,19
80101100215,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,22,3,91,289,74,21,13,10,7,0,516
80101100216,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,3,25,58,3,15,0,0,0,0,107,30,357,772,100,56,31,12,7,0,1359
80101100217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,27,0,57,169,54,28,24,14,4,0,360
80101100218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,6,5,0,0,0,0,30,13,73,244,96,39,21,14,0,0,503
80101100219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,10,0,48,196,70,18,11,3,0,0,358
80101100220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,12,3,24,94,58,23,5,5,0,0,215
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8
80101100222,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,3,9,4,0,0,0,0,0,20,4,82,223,109,40,30,14,17,4,535
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,5,0,0,0,0,11
80101100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,4,45,125,54,3,0,0,0,0,0,236
80101100225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,14,0,74,142,59,26,33,29,13,6,379
80101100301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,9,0,0,0,0,0,0,12,3,63,159,69,18,16,15,6,0,345
80101100304,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,26,14,110,269,163,83,62,31,12,4,742
80101100306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,8,6,52,110,61,32,30,39,11,9,342
80101100307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,4,47,60,40,23,14,14,12,0,221
80101100308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,4,0,0,0,0,0,3,26,306,507,145,24,9,4,0,4,4,1012
80101100309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,51,92,42,28,19,14,0,0,248
80101100310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,10,30,47,35,33,28,13,4,0,203
80101100311,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,13,8,34,84,26,24,35,29,13,3,257
80101100312,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,4,0,0,0,0,0,0,10,13,78,142,89,63,67,40,19,5,513
80101100314,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,6,4,4,0,3,0,7,0,31,17,18,17,9,4,7,8,9,6,92
80101100315,0,0,0,0,0,0,0,9,6,11,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,7,0,0,15,15,31,53,39,51,36,71,43,6,342
80101100316,0,0,0,0,0,0,0,3,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,21,0,0,0,7,26,14,36,90,95,265
80101100317,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,4,0,91,239,64,17,11,9,5,0,442
80101100318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,15,10,13,21,29,40,41,60,15,0,229
80101100319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,8,0,21,54,31,26,41,46,25,10,249
80101100320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,0,12,5,57,103,101,42,8,0,0,0,315
80101100321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,12,3,0,0,0,0,0,27,6,72,189,77,42,8,8,3,0,409
80101100322,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,9,5,61,168,76,19,12,10,0,0,367
80101100401,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,13,28,30,30,27,17,7,0,162
80101100402,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,9,9,15,64,69,73,37,32,16,4,327
80101100403,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,13,12,67,91,56,45,24,18,8,326
80101100404,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,7,5,0,0,0,0,6,13,11,54,80,49,21,34,12,0,274
80101100405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,10,5,3,0,4,0,0,18,13,26,86,55,55,50,45,18,0,345
80101100406,0,0,0,4,0,4,6,0,6,23,0,0,0,0,0,4,0,3,0,10,0,0,15,9,0,0,0,0,0,27,22,45,100,85,61,76,43,23,8,468
80101100408,0,0,0,0,0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,5,0,8,32,38,22,13,20,9,7,142
80101100409,0,0,4,3,0,3,3,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,6,6,6,0,7,0,0,26,9,20,65,57,40,28,28,16,3,272
80101100501,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,15,5,11,46,56,34,23,25,26,7,234
80101100502,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,0,0,0,0,15,10,19,48,64,69,60,32,29,6,342
80101100503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,3,18,35,24,57,44,41,29,3,260
80101100504,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,3,10,42,58,47,46,45,26,14,287
80101100505,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,20,62,67,48,33,45,27,8,321
80101100506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,0,13,3,13,14,19,29,27,36,22,6,168
80101100507,0,0,0,0,0,3,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,3,11,32,42,54,36,30,24,10,249
80101100508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,20,25,39,27,15,23,0,155
80101100509,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,0,18,6,14,70,80,69,42,32,19,11,340
80101100602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,16,29,27,40,12,4,0,148
80101100604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,11,13,42,60,33,28,15,8,0,213
80101100605,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,12,14,5,34,89,62,43,26,11,7,295
80101100606,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,36,74,48,29,22,13,3,246
80101100607,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,21,49,61,78,40,35,8,0,303
80101100608,0,0,0,5,3,5,0,0,0,12,0,0,0,0,3,0,0,0,0,6,5,0,4,4,4,0,0,0,0,18,13,30,64,68,79,59,24,3,6,341
80101100609,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,17,26,28,54,64,34,28,11,4,267
80101100610,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,10,29,50,54,56,53,10,14,0,277
80101100611,0,0,0,0,0,0,4,5,3,12,0,0,0,4,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,12,7,26,76,71,58,58,20,11,4,328
80101100612,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,5,4,5,4,0,4,6,0,0,0,19,16,45,82,68,104,62,33,3,0,421
80101100613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,14,30,39,38,14,25,5,0,177
80101100614,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,10,19,33,62,61,32,29,3,0,254
80101100615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,9,13,14,22,30,41,20,18,7,0,165
80101100616,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,9,14,24,57,108,85,38,29,8,0,357
80101100617,0,0,0,0,0,3,0,3,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,0,5,4,0,3,0,13,14,33,61,52,46,59,42,21,3,330
80101100618,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,10,15,28,68,47,31,24,6,0,232
80101100619,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,6,8,7,44,46,25,12,9,0,0,160
80101100620,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,10,0,0,0,0,0,19,13,21,34,73,60,36,19,5,0,272
80101100621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100622,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,7,10,18,30,51,44,23,9,9,0,188
80101100623,0,0,0,0,4,0,4,0,0,3,0,0,0,0,0,3,0,4,0,9,0,0,0,0,3,4,0,0,0,14,12,12,46,60,71,37,20,12,5,267
80101100701,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,3,0,9,8,32,72,75,72,91,39,15,0,392
80101100702,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,12,16,23,20,57,34,27,7,3,202
80101100703,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,5,0,14,15,34,54,66,69,52,69,28,6,393
80101100704,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,13,27,32,27,22,20,16,3,162
80101100705,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,9,11,26,57,77,62,55,43,11,9,352
80101100706,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,4,0,0,0,9,6,19,81,63,45,28,45,11,0,296
80101100707,0,0,0,0,0,0,3,3,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,19,43,73,75,53,63,9,5,354
80101100708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,12,8,9,63,65,27,19,49,15,0,253
80101100709,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,0,0,0,11,11,24,67,53,42,30,31,21,3,271
80101100710,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,60,60,47,36,46,18,4,301
80101100711,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,3,0,0,0,3,6,0,4,4,5,0,3,0,0,16,24,31,96,88,85,59,57,13,9,451
80101100712,0,0,0,0,0,6,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,16,31,46,67,65,41,38,14,0,317
80101100713,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,12,19,47,40,35,38,31,7,4,238
80101100714,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13,32,34,48,37,33,4,4,218
80101100801,0,0,0,0,4,0,8,3,0,20,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,5,0,0,10,5,29,43,43,41,51,52,30,10,304
80101100802,0,0,0,0,0,6,8,3,3,22,0,0,3,0,0,3,0,0,0,8,0,3,0,0,0,5,0,0,0,11,5,24,59,85,62,69,53,24,4,383
80101100803,0,0,0,0,0,4,6,4,0,7,0,0,0,5,0,3,0,0,0,11,0,0,5,0,3,5,0,0,0,14,0,25,58,53,58,66,39,15,0,320
80101100804,0,0,0,0,3,4,0,0,0,6,0,0,0,0,5,0,0,0,0,5,0,0,3,3,3,0,0,0,0,13,3,22,65,41,34,38,14,8,3,232
80101100805,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,12,30,53,65,56,78,51,18,11,370
80101100806,0,0,0,0,0,5,3,3,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,13,15,41,40,40,58,45,23,0,268
80101100807,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,4,0,5,0,0,6,0,5,5,0,0,3,20,4,32,101,103,67,67,48,19,5,456
80101100808,0,0,0,0,0,0,3,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,17,0,37,95,64,24,14,25,26,9,299
80101100809,0,0,0,0,0,0,13,5,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,36,45,50,47,89,78,28,9,390
80101100810,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,3,17,47,56,46,43,41,17,4,281
80101100811,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,6,19,24,17,33,49,24,9,6,180
80101100812,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,0,0,0,0,21,13,24,56,59,57,53,44,16,8,329
80101100901,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,16,52,57,52,46,40,15,6,276
80101100902,0,0,0,0,0,0,4,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,21,37,31,39,39,25,6,0,207
80101100903,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,7,7,19,77,76,47,43,41,18,4,321
80101100904,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,4,0,0,13,11,28,40,46,52,49,49,16,3,296
80101100905,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,38,48,53,38,26,16,3,265
80101100906,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,7,20,55,77,75,64,51,30,4,381
80101100907,0,0,0,3,0,0,0,4,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,8,4,0,0,4,0,17,13,24,29,55,37,26,20,14,0,217
80101100908,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,0,0,8,10,24,38,46,42,44,48,30,6,286
80101100909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,4,0,0,17,9,18,40,39,46,29,29,19,0,229
80101100910,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,10,10,20,54,51,48,37,38,13,0,271
80101101001,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,15,7,16,25,61,48,36,59,23,4,276
80101101002,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,3,0,4,0,10,0,0,0,0,6,0,0,0,0,5,8,24,34,50,55,42,44,5,0,268
80101101003,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,9,22,44,56,72,60,60,10,4,338
80101101004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,17,33,56,49,42,69,20,5,297
80101101005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,15,7,33,54,85,65,58,78,28,3,425
80101101101,0,0,0,0,0,4,7,0,0,17,0,0,0,0,0,0,0,0,0,3,0,6,4,8,0,0,3,6,0,30,10,39,98,104,92,57,87,29,5,515
80101101102,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,13,54,55,31,53,36,13,0,268
80101101103,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,0,0,0,11,10,24,93,109,83,57,75,27,11,484
80101101104,0,0,0,0,4,0,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,10,3,14,65,71,50,49,70,17,0,338
80101101105,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,14,37,48,29,31,39,12,0,215
80101101106,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,4,0,0,18,9,12,32,39,30,23,31,9,7,189
80101101107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101101108,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,9,12,24,39,17,18,30,11,0,161
80101101109,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,4,0,10,22,47,29,27,39,18,0,188
80101101110,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,7,8,9,42,45,26,22,30,3,0,189
80101101202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101101203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101101301,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,11,50,26,26,23,11,23,5,176
80101101302,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,7,17,8,0,5,0,0,0,40,18,49,168,107,72,35,22,15,3,484
80101101303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,14,24,23,38,69,49,41,42,6,298
80101101304,0,0,0,0,0,0,4,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,6,4,20,6,27,42,44,43,42,10,226
80101101305,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,10,8,26,41,34,59,59,47,52,13,340
80101101306,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,25,45,40,43,53,27,4,261
80101101307,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,35,27,30,20,35,17,8,180
80101101308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,23,15,35,57,33,40,30,7,243
80101101309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101101310,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,8,11,21,27,35,35,26,14,187
80101101401,0,0,0,0,3,3,0,6,7,18,0,0,0,0,0,0,0,4,0,4,0,0,4,4,5,0,4,0,0,18,8,15,59,51,46,33,63,67,16,349
80101101402,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,22,63,76,69,38,35,33,7,354
80101101403,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,19,35,86,101,89,61,56,38,8,487
