SA1_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
80101101202,0,0,0,0,0,0,0,0,0,0
80101101203,0,0,0,0,0,0,0,0,0,0
80101101301,11,0,5,36,14,5,49,122,9,181
80101101302,3,0,3,103,7,3,116,328,48,500
80101101303,6,0,6,66,28,0,90,219,4,322
80101101304,10,0,10,39,18,0,59,179,4,241
80101101305,14,0,13,60,39,6,107,243,14,361
80101101306,4,0,4,72,23,4,104,173,4,276
80101101307,7,0,8,30,24,0,52,126,0,181
80101101308,7,0,7,50,18,4,70,194,7,266
80101101309,0,0,0,0,0,0,0,0,0,0
80101101310,14,0,14,34,22,0,53,137,0,193
80101101401,16,0,16,57,25,0,82,259,18,359
80101101402,6,0,7,118,22,9,148,217,6,376
80101101403,8,0,8,120,39,0,164,334,16,517
80101101404,3,0,3,116,28,8,155,260,10,421
80101101405,11,0,11,65,16,4,85,235,13,332
80101101406,0,0,0,49,18,0,67,121,7,200
80101101407,4,0,4,111,28,6,140,305,8,458
80101101502,5,0,5,59,14,4,72,143,11,233
80101101503,0,0,0,64,15,3,82,160,10,255
80101101504,3,0,3,58,20,0,81,219,12,314
80101101505,3,0,3,116,27,3,148,250,7,408
80101101506,5,0,5,52,14,0,68,218,0,290
80101101508,0,0,0,42,18,0,61,207,3,276
80101101509,5,0,6,65,20,3,88,202,19,306
80101101510,7,0,7,88,19,5,112,170,9,295
80101101511,0,0,0,45,19,4,64,119,13,196
80101101512,3,0,3,40,6,6,49,195,8,249
80101101513,4,0,4,26,7,0,35,199,24,256
80101101514,0,0,0,0,0,0,0,0,0,0
80101101515,71,4,74,50,26,0,75,282,31,389
80101101516,0,0,0,188,32,6,227,306,12,542
80101101517,17,0,17,105,34,3,140,395,16,550
80101101601,4,0,4,71,24,0,102,244,12,357
80101101602,0,0,0,46,10,3,58,109,5,178
80101101603,8,0,8,91,45,0,138,297,19,450
80101101604,5,0,5,66,33,4,100,218,30,349
80101101605,0,0,0,63,26,0,97,217,13,323
80101101606,5,0,9,110,33,6,152,275,8,428
80101101607,0,0,0,58,11,5,77,142,0,218
80101101608,28,0,28,0,0,0,0,49,3,58
80101101609,9,0,9,67,38,4,107,266,7,383
80101101610,0,0,0,47,15,0,66,139,3,207
80101101611,6,0,10,80,31,11,113,184,10,300
80101101612,3,0,3,81,43,5,122,278,18,417
80101101613,11,0,11,89,25,4,112,326,17,452
80101101614,4,0,6,71,38,5,115,212,18,352
80101101615,5,0,10,69,37,4,107,238,18,363
80101101616,14,0,14,64,39,0,108,306,23,436
80101101617,8,0,8,62,37,4,104,238,15,354
80101101618,10,0,10,63,25,3,93,201,17,310
80101101619,5,0,7,71,49,4,127,218,14,360
80101101701,0,0,0,70,22,3,94,161,13,267
80101101702,0,0,0,118,37,4,161,238,21,417
80101101703,5,0,9,112,40,7,155,331,25,507
80101101704,0,0,0,78,27,0,108,146,8,256
80101101705,9,0,4,56,23,4,89,198,5,292
80101101706,5,0,5,104,31,3,139,318,27,483
80101101707,11,0,11,87,33,6,119,218,11,346
80101101708,0,0,0,19,23,0,41,80,13,137
80101101709,0,0,4,73,30,0,100,162,11,275
80101101802,0,0,0,0,0,0,0,0,0,0
80101101805,0,0,0,90,15,0,107,406,49,568
80101101806,0,0,0,42,5,0,49,236,21,302
80101101807,0,0,0,69,13,3,88,377,39,499
80101101808,0,0,0,59,9,0,66,218,17,309
80101101809,0,0,0,44,7,0,53,280,28,359
80101101810,0,0,0,45,5,0,55,282,14,358
80101101902,0,0,0,180,11,8,204,246,6,456
80101101904,4,0,4,123,19,3,144,183,5,335
80101101905,0,0,4,118,28,3,149,214,3,370
80101101906,3,0,3,62,25,3,87,164,12,261
80101101907,5,0,5,113,36,8,161,255,13,425
80101101908,4,0,4,89,29,3,127,245,6,375
80101101909,0,0,0,81,50,0,131,201,17,341
80101101910,7,0,7,49,27,0,77,200,4,281
80101101911,0,0,0,87,37,6,129,245,19,398
80101101912,3,0,3,68,29,7,103,181,10,298
80101101913,0,0,0,83,23,4,105,231,15,353
80101101914,0,0,0,47,9,10,67,111,11,191
80101101915,5,0,5,83,13,0,94,152,4,255
80101101916,0,0,0,92,9,0,102,137,5,239
80101101917,0,0,0,66,13,3,82,140,9,231
80101101918,0,0,0,85,11,3,96,106,3,209
80101101919,0,0,0,121,15,4,138,169,4,315
80101102001,0,0,0,67,19,3,98,126,3,229
80101102002,6,0,6,62,16,4,78,228,28,336
80101102003,0,0,0,55,13,0,69,147,9,218
80101102004,4,0,4,44,13,0,54,144,17,212
80101102005,19,0,22,85,56,3,145,557,52,748
80101102006,10,0,10,46,25,3,72,147,20,240
80101102007,3,0,3,46,17,0,60,182,22,261
80101102008,3,0,8,54,25,0,84,244,10,339
80101102101,17,0,13,80,52,0,136,360,18,523
80101102102,14,0,14,51,20,0,76,235,9,322
80101102103,3,0,7,73,35,3,119,329,15,463
80101102104,3,0,3,80,38,6,123,263,7,395
80101102105,3,0,3,140,60,3,201,352,32,581
80101102201,0,0,0,48,17,0,67,90,5,166
80101102202,4,0,4,58,38,0,89,147,4,247
80101102203,6,0,6,85,28,0,112,280,12,409
80101102204,6,0,3,119,31,7,157,278,27,462
80101102205,6,0,6,113,42,6,162,275,17,452
80101102206,6,0,6,77,19,0,100,143,6,255
80101102207,8,0,7,101,45,4,145,235,16,399
80101102208,0,0,0,42,28,0,68,179,5,251
80101102301,14,0,12,103,26,0,133,247,25,397
80101102302,6,0,5,42,12,0,54,141,18,207
80101102303,7,3,10,72,22,3,101,296,17,403
80101102304,3,0,6,80,17,6,100,294,48,442
80101102305,5,0,5,60,18,4,76,188,9,275
80101102306,3,0,3,84,22,6,113,190,10,308
80101102307,153,58,207,23,11,4,39,391,101,535
80101102401,7,0,3,51,15,3,68,124,7,195
80101102402,6,0,6,112,35,12,161,235,15,410
80101102403,0,0,0,89,16,3,106,190,8,310
80101102404,6,0,6,64,12,8,84,143,8,234
80101102405,5,0,0,67,21,3,95,136,3,235
80101102406,6,0,6,72,28,0,97,249,22,368
80101102407,0,0,0,44,9,0,56,171,23,244
80101102408,6,0,6,95,31,3,132,268,24,430
80101102501,5,0,5,61,12,6,77,168,18,258
80101102502,4,0,4,70,23,6,97,215,9,321
80101102503,5,0,5,96,28,3,122,288,6,416
80101102504,5,0,5,90,30,3,124,273,24,423
80101102505,3,0,3,55,20,5,75,153,9,229
80101102506,3,0,3,102,32,3,134,276,17,425
80101102601,6,0,6,66,19,4,89,182,19,287
80101102602,0,0,0,38,19,0,58,113,3,172
80101102603,12,0,13,75,33,0,108,207,5,319
80101102604,10,0,10,100,36,3,136,263,4,403
80101102605,11,0,11,45,19,0,66,152,15,230
80101102606,22,0,22,108,42,4,153,341,9,510
80101102607,9,0,9,83,35,0,124,235,5,362
80101111101,0,0,0,4,0,0,4,9,3,10
80101114201,0,0,0,0,0,0,0,0,0,0
80101114301,0,0,0,44,0,0,45,83,3,129
80101114302,0,0,0,114,19,5,137,252,17,406
80101114401,0,0,0,5,0,0,5,6,6,19
80103103102,0,0,0,0,0,0,0,0,376,376
80103103103,0,0,0,3,0,0,3,7,0,13
80103103201,0,0,0,3,0,0,6,14,3,22
80103111301,3,0,3,47,12,0,64,186,77,323
80103111302,4,0,4,14,12,0,27,187,35,246
80103111303,0,0,0,0,0,0,3,20,18,39
80103111304,0,0,0,5,0,0,5,9,0,14
80103111305,0,0,0,5,0,0,5,22,0,22
80103111306,0,0,0,3,0,0,3,0,0,4
80103111307,0,0,0,15,11,0,23,137,174,331
80103111308,0,0,0,0,0,0,0,0,0,0
80103111309,0,0,0,0,0,0,0,12,0,12
80103111401,0,0,0,21,9,0,28,50,28,103
80103111501,0,0,0,0,0,0,0,0,0,0
80103111502,5,0,5,17,5,0,23,75,12,108
80103111503,0,0,0,0,0,0,0,0,0,0
80103111504,0,0,0,0,4,0,5,20,10,34
80103111505,0,0,0,0,0,0,0,3,0,7
80103111506,0,0,4,0,0,0,4,81,31,117
80103111507,0,0,0,0,0,0,0,0,0,0
80104103401,3,0,3,86,17,0,100,203,9,313
80104103402,0,0,0,38,17,0,50,127,6,181
80104103403,0,0,0,97,27,7,125,231,6,362
80104103404,0,0,0,92,16,0,108,200,11,325
80104103405,0,0,0,126,6,3,134,197,15,344
80104103406,0,0,0,78,33,3,119,196,5,317
80104103407,0,0,0,60,12,0,75,127,5,213
80104103408,8,0,8,188,42,3,228,475,58,768
80104103409,0,0,0,74,14,3,94,119,8,221
80104103410,0,0,0,99,19,8,125,275,10,405
80104103411,3,0,3,160,17,9,187,240,6,430
80104103412,4,0,4,111,18,7,135,234,9,379
80104103413,4,0,8,71,22,7,93,228,6,333
80104103414,0,0,0,44,13,0,53,114,0,165
80104103501,0,0,0,72,17,4,93,176,21,293
80104103505,0,0,0,76,21,0,100,109,12,218
80104103506,0,0,0,108,10,6,120,185,7,314
80104103507,0,0,0,95,4,9,105,168,21,295
80104103508,0,0,0,80,6,8,95,124,14,233
80104103509,0,0,0,103,16,5,125,180,19,319
80104103510,0,0,0,120,28,5,150,235,12,400
80104103511,0,0,0,82,8,3,100,143,6,245
80104103512,0,0,0,155,21,4,184,218,16,413
80104103513,0,0,0,99,12,0,111,157,22,286
80104103514,0,0,0,90,17,0,107,120,12,246
80104103515,0,0,0,77,16,0,88,138,5,237
80104103516,0,0,0,137,13,0,144,213,18,378
80104103517,0,0,0,62,13,0,77,119,0,197
80104103518,0,0,4,103,21,0,122,191,23,342
80104103519,0,0,0,71,5,5,82,146,13,244
80104103520,0,0,0,63,8,9,81,171,13,266
80104103521,0,0,0,0,0,0,0,0,0,0
80104103522,0,0,0,85,12,5,99,162,10,268
80104103601,0,0,0,121,23,0,139,231,15,388
80104103604,4,0,4,146,19,5,174,206,8,380
80104103605,0,0,0,65,3,0,66,116,12,193
80104103606,0,0,0,108,14,0,127,148,7,274
80104103607,0,0,0,97,14,3,118,113,16,243
80104103608,0,0,0,143,27,0,177,225,27,428
80104103609,4,0,4,153,22,0,180,299,20,500
80104103610,0,0,0,67,9,3,80,158,7,237
80104103611,0,0,0,68,10,0,82,124,0,209
80104103612,0,0,0,49,0,0,52,95,9,160
80104103613,4,0,4,113,14,5,130,180,3,313
80104103614,0,0,0,77,24,0,101,139,11,248
80104103615,0,0,0,168,19,7,196,219,6,419
80104103616,0,0,0,133,25,6,158,241,18,419
80104103617,0,0,0,91,18,4,112,176,7,294
80104103618,0,0,0,22,4,0,25,54,3,82
80104103702,0,0,0,80,8,5,87,192,7,285
80104103703,0,0,0,105,21,0,126,220,24,373
80104103704,0,0,0,120,16,3,133,198,7,336
80104103705,11,3,8,15,9,0,27,122,5,155
80104103706,0,0,0,82,11,0,95,119,9,220
80104103707,0,0,0,65,9,6,87,146,3,236
80104103708,0,0,0,140,17,3,162,194,6,360
80104103709,0,0,0,0,0,0,0,0,0,0
80104103710,0,0,0,127,16,0,144,196,3,338
80104103711,0,0,0,164,20,0,188,289,17,491
80104103712,25,0,28,45,17,0,62,149,9,219
80104103713,0,0,0,78,17,0,93,128,9,232
80104103714,0,0,0,129,29,4,162,188,4,354
80104103804,0,0,0,122,20,4,150,204,0,345
80104103805,0,0,0,100,14,0,119,142,3,261
80104103806,0,0,0,71,20,0,94,125,0,213
80104103807,0,0,0,81,19,0,103,132,6,235
80104103808,0,0,0,90,28,0,119,161,23,307
80104103809,0,0,0,82,8,3,93,127,18,236
80104103810,0,0,0,90,10,0,98,137,6,237
80104103811,0,0,0,72,12,0,88,99,4,185
80104103812,0,0,0,139,19,7,159,206,18,385
80104103813,0,0,0,93,18,3,113,141,12,268
80104103814,0,0,0,68,12,0,86,163,19,261
80104103815,3,0,3,97,20,3,125,179,10,310
80104103907,0,0,0,62,17,0,81,102,12,195
80104103908,0,0,0,52,8,0,58,122,22,205
80104103910,0,0,0,87,11,3,107,427,37,564
80104103911,0,0,0,22,7,0,31,135,0,164
80104103912,0,0,0,73,18,6,96,192,0,288
80104103913,0,0,0,30,8,0,42,115,17,164
80104103914,0,0,0,115,26,0,137,206,3,354
80104103915,3,0,3,79,9,0,90,150,6,243
80104103916,0,0,0,72,3,0,76,303,30,407
80104103917,0,0,0,33,9,0,41,113,9,166
80104103918,0,0,0,34,0,0,40,127,9,173
80104103919,0,0,0,47,8,3,64,135,4,205
80104103920,0,0,0,31,5,0,34,126,5,169
80104103921,0,0,0,49,7,0,59,263,13,338
80104103922,0,0,0,112,21,8,134,199,7,342
80104103923,0,0,0,135,17,0,151,187,29,369
80104103924,0,0,0,95,19,0,109,163,19,292
80104103925,0,0,0,118,10,0,130,171,17,312
80104103926,0,0,0,13,12,0,25,117,8,149
80104103927,0,0,0,92,22,5,115,293,20,427
80104103928,0,0,0,61,11,4,73,126,6,203
80104103929,0,0,0,48,8,5,60,164,13,236
80104104001,0,0,0,100,24,0,126,403,29,554
80104104002,0,0,0,62,20,0,81,206,5,297
80104104005,4,0,4,86,11,0,102,191,8,303
80104104006,5,0,5,65,4,0,75,164,16,256
80104104007,6,0,6,113,29,0,142,249,14,398
80104104008,0,0,0,107,20,3,132,284,13,428
80104104011,0,0,0,0,0,0,0,0,0,0
80104104013,0,0,0,70,13,0,86,145,4,233
80104104014,0,0,0,65,18,0,85,211,12,312
80104104015,0,0,0,70,10,9,89,222,8,322
80104104017,0,0,0,73,5,0,83,206,6,296
80104104018,0,0,0,32,5,0,33,69,9,112
80104104019,3,0,3,32,14,3,42,139,5,187
80104104020,0,0,0,0,0,0,0,0,0,0
80104104021,0,0,0,0,4,0,4,36,5,44
80104104022,0,0,0,33,4,0,35,173,14,220
80104104023,0,0,0,0,0,0,0,0,0,0
80104104024,0,0,0,65,16,3,86,151,0,236
80104104025,0,0,0,82,11,0,88,206,9,309
80104104026,3,0,3,80,14,0,102,425,40,562
80104104027,7,0,7,67,10,0,78,320,25,425
80104104028,0,0,0,38,15,0,49,202,10,261
80104104029,0,0,0,50,10,0,55,256,19,331
80104104030,5,0,5,110,17,0,125,550,51,734
80104104031,5,0,5,28,23,4,58,164,11,225
80104104032,0,0,0,29,10,0,43,148,4,196
80104104301,6,0,6,49,22,0,74,166,10,251
80104104302,0,0,0,0,0,0,0,0,0,0
80104104401,0,0,0,133,10,7,147,266,13,432
80104104402,0,0,0,123,21,8,151,278,25,459
80104104404,0,0,0,154,20,3,173,262,12,449
80104104405,0,0,0,146,13,3,161,140,12,317
80104104409,0,0,0,88,15,0,104,139,3,254
80104104410,0,0,0,29,6,0,31,128,10,172
80104104411,0,0,0,56,20,0,80,165,11,260
80104104412,0,0,0,58,13,5,81,134,11,222
80104104413,0,0,0,88,7,0,96,189,3,289
80104104414,0,0,0,58,10,0,68,84,10,160
80104104415,0,0,0,69,8,0,79,211,9,300
80104104416,0,0,0,95,22,4,123,204,25,353
80104104417,0,0,0,99,5,0,111,141,5,256
80104104418,0,0,0,105,10,0,113,246,18,381
80104104419,0,0,0,50,4,0,57,231,6,296
80104104420,0,0,0,87,12,9,107,297,20,423
80104104421,0,0,0,35,12,0,51,209,13,265
80104104422,0,0,0,0,0,0,0,0,3,3
80104104423,0,0,0,75,7,0,84,169,4,259
80104104424,0,0,0,108,21,0,133,226,17,385
80104104425,0,0,0,8,0,0,9,6,0,13
80104104426,0,0,0,106,24,5,134,261,15,409
80104104502,0,0,0,0,0,0,0,0,0,0
80104104503,0,0,0,0,0,0,0,0,0,0
80104104504,0,0,0,0,0,0,0,6,0,6
80104104601,0,0,0,49,12,5,69,117,5,199
80104104602,0,0,0,80,20,3,100,222,30,355
80104104603,0,0,0,34,25,0,65,144,0,207
80104104604,0,0,0,46,9,0,60,130,0,193
80104104605,3,0,3,53,9,3,67,148,9,230
80104104606,0,0,0,81,15,4,94,160,3,263
80104104607,8,0,8,42,14,0,54,132,3,191
80104104609,3,0,5,46,20,0,61,144,27,236
80104104612,5,0,5,46,10,0,49,116,4,170
80104104613,0,0,5,76,22,0,97,210,11,321
80104104614,0,0,0,58,16,0,81,137,18,238
80104104616,0,0,0,31,12,4,44,114,8,174
80104104617,5,0,5,101,29,0,130,262,9,398
80104104618,0,0,0,75,16,0,90,203,11,309
80104104619,0,0,0,59,13,0,69,176,6,254
80104104620,0,0,5,58,7,4,72,153,11,239
80104104621,0,0,0,63,12,0,77,192,8,273
80104104622,0,0,0,78,16,0,98,160,10,273
80104104623,0,0,0,101,16,3,114,280,7,397
80104104624,0,0,0,0,0,0,0,0,0,0
80104104625,0,0,0,86,13,3,102,222,11,333
80104104626,0,0,0,70,9,4,81,172,3,258
80104104627,8,0,8,83,17,0,102,170,0,275
80104104628,0,0,0,69,15,5,86,196,16,296
80104104629,24,4,26,0,30,0,30,193,10,234
80104104630,0,0,0,72,13,8,85,151,0,243
80104104631,0,0,0,102,16,4,121,116,3,244
80104104632,0,0,0,155,19,10,178,251,13,444
80104104633,0,0,0,126,13,5,145,205,13,363
80104104634,0,0,3,96,14,6,117,155,17,282
80104104635,0,0,0,60,16,0,80,128,7,213
80104104636,5,0,6,53,24,0,75,148,12,235
80104104637,0,0,0,61,18,3,78,161,12,252
80104104701,0,0,0,43,36,6,89,156,0,242
80104104702,5,0,8,52,33,0,87,233,13,332
80104104703,5,0,5,97,18,6,119,241,15,367
80104104704,0,0,0,42,15,0,59,124,5,189
80104104705,0,0,0,58,25,4,90,232,10,329
80104104706,3,0,3,69,14,0,82,208,12,301
80104104707,0,0,0,34,8,0,37,131,5,176
80104104708,4,0,4,62,24,0,88,185,10,280
80104104709,8,0,8,42,16,0,59,149,6,212
80104104710,0,0,0,60,26,0,90,251,9,356
80104104711,3,0,5,101,30,0,130,247,3,381
80104104712,3,0,3,42,10,0,54,162,5,218
80104104713,3,0,3,74,37,0,116,234,4,357
80104104714,0,0,0,0,0,0,0,0,0,0
80104104715,0,0,3,45,31,0,78,165,7,253
80104104716,0,0,0,68,31,3,103,236,0,336
80104104717,4,0,3,64,27,0,98,341,0,441
80104104718,0,0,0,72,38,3,114,276,9,399
80104104719,3,0,3,62,41,6,101,261,11,373
80104104801,0,0,0,66,11,0,79,184,0,263
80104104802,3,0,3,96,34,8,136,260,13,405
80104104803,0,0,0,70,11,3,82,160,7,254
80104104804,3,0,3,84,11,0,96,190,24,307
80104104805,0,0,0,96,14,6,115,268,19,407
80104104806,0,0,0,42,4,0,48,211,12,268
80104104807,3,0,3,68,26,0,96,154,6,249
80104104808,0,0,0,66,16,3,84,181,12,282
80104104809,5,0,5,72,41,0,117,283,3,400
80104104810,3,0,3,42,22,3,70,185,5,261
80104104811,0,0,0,56,43,0,96,168,12,272
80104104812,4,0,4,100,26,4,130,293,25,446
80104104813,6,0,6,49,12,0,62,150,4,223
80104104814,5,0,6,88,20,3,114,293,12,413
80104111601,0,0,0,0,0,0,0,0,0,0
80104111702,0,0,0,0,0,0,0,0,0,0
80104111801,0,0,0,191,16,3,211,263,18,490
80104111803,0,0,0,0,0,0,0,0,0,0
80104111901,0,0,0,4,0,0,4,5,7,16
80104112001,0,0,0,123,16,0,140,133,3,276
80104112003,0,0,0,137,19,8,161,202,13,379
80104112005,0,0,0,111,10,7,132,129,9,265
80104112006,0,0,0,126,13,0,143,190,14,345
80104112007,0,0,0,102,17,0,122,130,25,272
80104112008,0,0,0,79,14,0,100,175,17,289
80104112009,0,0,0,110,17,0,131,193,5,331
80104112010,0,0,0,122,15,4,137,160,14,320
80104112011,0,0,0,94,11,0,106,133,10,244
80104112012,0,0,0,151,21,3,179,148,13,347
80104112013,0,0,0,115,7,6,130,179,22,334
80104112014,0,0,0,0,0,0,0,0,0,0
80104112015,0,0,0,97,18,0,114,175,23,310
80104112102,0,0,0,69,13,4,85,118,21,217
80104112103,0,0,0,32,5,0,37,45,0,88
80104112104,0,0,0,0,0,0,0,0,0,0
80104112105,0,0,0,9,0,0,10,19,0,36
80104112106,0,0,0,3,3,0,7,4,0,7
80104112107,0,0,0,133,17,4,154,198,25,377
80104112108,0,0,0,92,11,0,109,137,17,260
80104112109,0,0,0,10,0,0,10,12,0,18
80104112110,0,0,0,20,3,0,25,22,3,54
80104112111,0,0,0,4,0,0,3,9,0,10
80104112112,0,0,0,0,0,0,0,0,0,0
80104112113,0,0,0,0,0,0,0,0,0,0
80104112114,0,0,0,121,19,4,138,162,31,328
80104112115,0,0,0,75,6,0,82,101,3,181
80104112202,0,0,0,132,10,0,146,156,17,315
80104112203,0,0,0,43,8,0,53,95,10,158
80104112204,0,0,0,113,14,3,131,155,15,305
80104112205,0,0,0,77,13,0,87,84,4,177
80104112206,0,0,0,17,3,0,23,12,0,34
80104112207,0,0,0,32,4,0,38,77,0,116
80104112208,0,0,0,136,17,3,158,149,8,310
