SA1_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
80104104637,4,28,55,13,8,108,4,110
80104104701,0,16,34,25,12,86,0,86
80104104702,4,61,59,16,12,147,0,151
80104104703,0,11,72,26,23,140,0,141
80104104704,0,14,37,12,3,73,0,73
80104104705,0,22,62,26,17,126,0,135
80104104706,3,51,55,15,6,136,0,133
80104104707,0,17,37,16,4,76,0,76
80104104708,7,46,48,17,9,129,0,129
80104104709,0,35,47,8,0,95,0,95
80104104710,3,26,68,25,11,132,0,132
80104104711,5,61,70,27,11,171,0,173
80104104712,7,56,45,8,5,111,0,115
80104104713,0,48,59,18,25,153,0,155
80104104714,0,0,0,0,0,0,0,0
80104104715,0,17,52,13,10,98,0,98
80104104716,0,19,67,23,17,137,0,137
80104104717,0,25,64,39,31,155,0,156
80104104718,0,15,60,42,36,145,0,145
80104104719,5,33,71,21,18,143,0,143
80104104801,5,34,45,21,5,101,0,104
80104104802,9,58,84,16,16,180,0,180
80104104803,0,40,53,13,6,115,0,113
80104104804,5,67,64,11,6,147,3,154
80104104805,10,88,73,16,7,194,4,195
80104104806,3,49,38,11,11,122,0,117
80104104807,0,31,46,19,13,104,0,106
80104104808,8,49,49,20,5,130,4,133
80104104809,4,49,62,28,14,157,0,157
80104104810,0,39,51,14,6,118,0,116
80104104811,0,16,65,15,11,109,0,109
80104104812,18,110,78,15,9,234,4,232
80104104813,0,42,38,7,6,101,0,103
80104104814,12,82,65,21,12,194,6,196
80104111601,0,0,0,0,0,0,0,0
80104111702,0,0,0,0,0,0,0,0
80104111801,10,92,113,13,6,233,5,237
80104111803,0,0,0,0,0,0,0,0
80104111901,0,0,3,0,0,3,0,3
80104112001,5,15,68,13,6,115,0,115
80104112003,0,28,76,17,14,137,5,136
80104112005,0,29,56,18,0,111,4,115
80104112006,3,49,80,11,3,150,0,154
80104112007,3,34,65,9,7,119,0,119
80104112008,12,66,56,13,3,153,0,153
80104112009,0,71,76,14,3,162,0,162
80104112010,6,23,76,20,6,126,0,126
80104112011,4,13,61,8,10,95,0,97
80104112012,5,47,82,11,8,159,0,159
80104112013,0,22,74,21,10,123,0,127
80104112014,0,0,0,0,0,0,0,0
80104112015,0,45,73,15,0,140,0,142
80104112102,7,28,37,12,5,90,0,90
80104112103,0,11,16,4,4,28,0,30
80104112104,0,0,0,0,0,0,0,0
80104112105,0,3,10,0,0,17,0,17
80104112106,0,0,4,0,0,0,0,0
80104112107,9,61,80,22,3,170,6,169
80104112108,0,22,47,14,12,95,0,98
80104112109,0,0,4,0,6,4,0,4
80104112110,0,3,16,0,0,18,0,18
80104112111,0,4,0,0,0,7,0,7
80104112112,0,0,0,0,0,0,0,0
80104112113,0,0,0,0,0,0,0,0
80104112114,6,18,71,19,8,118,3,117
80104112115,0,19,40,14,0,73,0,71
80104112202,7,45,78,10,9,139,0,139
80104112203,0,16,37,3,3,62,0,62
80104112204,5,27,65,12,12,117,0,117
80104112205,4,20,43,7,4,83,0,81
80104112206,0,3,7,3,0,11,0,11
80104112207,0,11,30,9,0,50,0,50
80104112208,0,21,69,27,8,120,0,120
80104112209,0,37,60,15,9,122,3,126
80105104901,0,0,0,0,0,0,0,0
80105104902,0,0,0,0,0,0,0,0
80105104903,0,0,0,0,0,0,0,0
80105104904,0,0,0,0,0,0,0,0
80105105001,19,76,65,13,6,181,0,181
80105105002,7,50,34,12,10,102,0,103
80105105003,0,0,0,0,0,0,0,0
80105105004,8,34,44,8,7,96,0,96
80105105005,8,61,77,19,15,177,4,181
80105105006,31,84,35,15,3,173,6,176
80105105007,5,32,38,21,4,96,0,96
80105105008,7,50,29,7,5,100,0,105
80105105011,12,98,79,23,9,227,0,225
80105105012,4,60,48,22,8,142,0,144
80105105013,10,81,73,21,12,195,0,198
80105105014,13,32,41,17,0,109,0,109
80105105015,44,99,20,4,4,169,5,176
80105105016,7,20,28,15,4,77,0,78
80105105017,5,28,29,12,3,77,0,77
80105105018,3,37,20,7,6,71,0,77
80105105101,43,159,70,7,0,279,9,281
80105105102,49,120,45,7,7,221,3,226
80105105105,133,374,79,4,0,584,6,592
80105105109,32,173,81,27,11,326,0,326
80105105110,20,79,22,0,0,118,0,124
80105105111,54,168,47,9,0,280,0,280
80105105112,16,60,32,3,0,108,0,108
80105105113,24,81,36,9,4,154,0,153
80105105114,0,0,0,0,0,0,0,0
80105105115,31,101,60,17,6,214,9,218
80105105116,33,111,39,4,0,192,0,191
80105105117,14,69,25,5,0,122,0,122
80105105118,26,122,28,0,0,174,0,174
80105105119,48,156,38,11,0,246,0,251
80105105120,55,220,50,3,0,329,0,330
80105105301,47,234,80,10,0,370,4,369
80105105302,46,153,43,4,0,247,0,249
80105105305,0,0,0,0,0,0,0,0
80105105306,19,88,34,8,0,140,0,140
80105105307,0,0,0,0,0,3,0,3
80105105308,0,0,0,0,0,0,0,0
80105105311,53,91,21,0,0,158,3,164
80105105312,76,169,28,3,0,276,3,278
80105105313,70,100,22,3,0,204,7,200
80105105314,115,220,47,0,0,380,8,390
80105105404,15,79,45,12,11,166,0,166
80105105405,0,29,19,7,3,55,0,55
80105105406,21,90,70,31,7,215,0,216
80105105407,22,91,58,20,3,197,4,201
80105105408,10,47,36,7,3,105,0,109
80105105409,65,268,110,5,0,453,0,456
80105105410,23,137,56,12,6,229,5,236
80105105501,11,80,61,15,11,181,0,181
80105105502,4,42,42,30,7,126,0,130
80105105503,19,74,51,13,6,158,6,162
80105105504,15,57,51,24,12,154,0,153
80105105505,21,165,70,18,0,271,3,278
80105105506,10,80,72,22,11,189,7,196
80105105507,8,50,73,25,4,161,0,168
80105105508,10,94,91,31,5,231,0,231
80105105509,5,50,57,14,4,131,3,138
80105105601,13,91,84,20,11,215,0,215
80105105602,11,97,59,24,14,206,0,206
80105105603,14,111,62,10,3,193,4,199
80105105604,15,59,51,21,7,158,3,157
80105105605,13,66,73,23,6,184,0,184
80105105606,3,26,28,8,3,72,0,72
80105105607,5,48,63,23,3,141,0,147
80105105701,0,97,60,10,4,175,0,177
80105105702,10,52,32,9,0,99,0,99
80105105703,10,48,45,7,7,119,7,127
80105105704,13,58,45,4,5,132,0,131
80105105705,28,85,49,32,15,199,5,206
80105105706,32,109,30,0,4,174,3,178
80105105708,4,94,58,23,6,185,3,186
80105105709,37,129,54,8,3,229,0,229
80105105711,53,280,122,17,9,481,0,486
80105105712,42,176,83,8,5,313,0,317
80105105713,16,59,43,6,3,134,0,134
80105105714,5,52,30,11,6,102,4,103
80105105715,21,62,32,11,6,132,0,132
80105105801,7,78,79,23,10,197,0,200
80105105802,21,61,61,19,6,171,4,173
80105105803,21,98,62,11,11,202,0,199
80105105804,14,42,42,16,6,125,4,126
80105105805,6,47,32,6,4,90,0,90
80105105806,15,51,45,15,3,135,5,136
80105105807,6,75,85,24,19,206,0,206
80105105808,4,70,78,26,15,198,0,196
80105105809,8,32,52,14,14,124,0,126
80105105810,9,46,45,11,11,122,0,122
80105105811,26,112,64,19,9,230,7,232
80105105812,7,48,56,26,5,141,0,139
80105105813,41,179,67,17,3,306,4,311
80105105814,0,0,0,0,0,0,0,0
80105106003,42,230,95,13,0,374,4,380
80105106006,15,59,52,28,18,164,4,168
80105106007,10,53,34,10,4,119,0,123
80105106008,59,134,39,0,0,234,0,236
80105106009,0,0,0,0,0,0,0,0
80105106010,15,123,38,0,0,179,0,179
80105106011,14,64,32,18,3,133,0,134
80105106012,48,140,53,7,0,259,3,259
80105106013,18,40,15,4,0,76,0,75
