SA1_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
80101100209,7,8,5,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12,10,4,9,4,0,0,30,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,14,11,5,9,10,5,0,0,43
80101100210,11,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,21,9,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,7,24,9,0,4,4,0,0,38
80101100211,12,18,9,0,5,0,0,46,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,8,6,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,27,22,8,0,10,0,0,71,5,4,3,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,4,0,0,0,0,0,0,4,5,5,0,0,0,0,3,20,34,23,15,0,9,0,3,90
80101100212,12,3,0,0,3,0,0,18,6,0,0,0,0,0,0,6,0,7,0,0,0,0,0,12,5,4,0,0,6,0,0,15,0,0,0,0,0,0,0,0,14,17,3,0,0,0,0,45,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,17,23,4,0,0,0,0,53
80101100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100215,9,8,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,9,3,0,5,0,0,25
80101100216,43,9,6,0,0,0,0,57,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,5,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,48,14,4,0,0,0,0,74,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9,5,0,7,4,0,0,20,58,18,5,7,5,0,3,99
80101100217,5,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,0,0,0,0,0,16
80101100218,22,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,27,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,28,3,0,0,0,0,0,37
80101100219,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,8,14,0,3,0,4,4,0,26
80101100220,8,5,0,3,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,4,0,3,5,0,0,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,9,7,4,3,0,0,0,26
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100222,13,6,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,21,6,0,0,0,0,0,34,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,15,23,13,9,0,3,0,0,50
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100225,6,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,17,12,0,0,0,0,0,25
80101100301,6,13,3,0,0,0,0,27,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,22,18,6,4,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,23,6,4,3,0,0,56
80101100304,17,23,7,3,3,7,3,63,3,0,0,0,0,0,0,5,5,0,0,0,4,4,0,13,6,10,0,3,0,0,0,27,0,0,0,0,0,0,0,0,34,39,11,8,10,10,6,107,0,3,0,0,0,3,0,5,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,4,0,0,8,0,19,35,41,7,7,9,14,5,126
80101100306,10,9,0,0,0,0,0,17,0,0,0,5,0,0,0,6,3,0,0,0,0,0,0,8,7,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,18,12,0,5,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,4,0,5,4,0,0,4,0,14,0,0,0,0,0,0,0,0,0,5,4,0,4,4,0,14,26,19,3,3,4,4,0,55
80101100307,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,6,0,0,6,0,0,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,7,0,0,6,0,0,30
80101100308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100309,12,7,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,14,10,5,0,5,3,0,40,0,5,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,4,0,5,0,0,13,16,17,7,0,8,3,0,53
80101100310,0,6,0,0,6,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,10,8,8,3,8,3,5,36,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,5,3,0,4,0,0,11,8,12,6,3,5,3,5,47
80101100311,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,11,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,9,6,8,4,3,0,0,0,30
80101100312,17,17,8,4,9,3,3,55,0,3,0,0,0,0,0,3,8,0,0,0,4,0,0,11,12,6,7,0,0,3,0,34,0,0,0,0,0,0,0,0,32,28,9,8,14,8,6,98,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,5,3,3,4,4,0,19,32,26,16,10,16,9,3,118
80101100314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100315,3,3,4,0,3,3,0,24,3,3,4,0,0,0,0,7,0,3,0,0,0,0,0,3,4,0,3,0,3,0,0,17,0,0,0,0,0,0,0,0,7,6,12,5,3,4,0,47,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,13,13,13,5,3,4,0,54
80101100316,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,6,6,0,0,15,0,0,0,0,0,0,0,0,3,7,10,4,5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,6,10,4,8,0,0,36
80101100317,12,6,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,9,5,0,4,0,0,26,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,12,9,5,0,3,0,0,28
80101100318,0,3,0,0,0,0,0,9,6,5,0,0,3,0,0,14,0,0,0,4,0,0,0,6,3,9,6,0,7,9,0,29,0,0,0,0,0,0,0,0,7,17,9,11,7,6,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,7,18,9,11,12,6,0,61
80101100319,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,4,0,0,14,0,0,0,0,0,0,0,0,9,8,9,3,9,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,13,8,7,6,5,5,3,0,41
80101100320,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,19,41,13,0,0,4,0,75,0,0,0,0,0,0,0,3,27,52,19,3,4,4,0,101,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,26,47,16,3,3,0,0,107
80101100321,16,6,7,3,3,3,0,34,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,9,7,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,29,11,9,3,3,3,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,28,13,9,5,3,3,0,59
80101100322,5,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,0,0,18
80101100401,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,19,12,12,3,0,0,0,46,0,0,0,0,0,0,0,0,19,12,14,5,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,12,19,12,17,7,3,0,0,58
80101100402,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,10,14,16,15,8,11,0,0,61,0,0,0,0,0,0,0,0,18,24,14,9,12,3,0,80,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,9,0,0,0,0,0,0,0,0,4,11,8,0,0,0,0,15,24,35,18,9,12,3,0,95
80101100403,5,7,0,3,0,0,0,17,0,0,0,0,0,0,0,7,0,6,0,4,0,0,0,3,12,27,15,3,4,0,0,59,0,5,0,0,0,0,0,5,22,38,15,7,3,0,0,90,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,11,0,4,3,5,3,0,0,20,0,0,0,0,0,0,0,0,5,5,9,3,6,4,0,35,28,42,22,16,13,3,0,127
80101100404,10,5,0,0,0,0,0,19,4,0,0,0,0,0,0,4,0,3,0,0,4,0,0,12,17,10,8,0,3,0,0,36,0,0,0,0,0,0,0,0,32,19,11,0,3,0,0,71,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,22,0,0,0,0,0,0,0,0,3,17,5,6,0,0,0,34,38,33,20,9,6,0,0,102
