SA1_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
80101102505,38,2004,1130,443,2732,0.8,2454,2.9
80101102506,41,2228,1208,508,3015,0.7,2632,2.7
80101102601,45,3000,1640,415,4692,0.7,4457,3
80101102602,43,1868,1337,400,3312,0.8,2799,2.6
80101102603,44,2817,1394,490,3937,0.7,3562,3
80101102604,39,2599,1217,600,3928,0.8,3839,3.1
80101102605,41,1900,1051,440,3024,0.8,2454,3
80101102606,40,2500,1268,490,3326,0.7,3172,2.9
80101102607,37,2500,1319,500,3750,0.8,2903,2.8
80101111101,19,0,900,375,4750,0.9,4750,4.3
80101114201,0,0,0,0,0,0,0,0
80101114301,30,2500,1208,475,2650,0.9,2694,3.3
80101114302,30,2100,1244,515,2760,0.8,2604,2.8
80101114401,37,0,1325,150,4499,1,3750,3.7
80103103102,34,0,0,0,0,0,0,0
80103103103,50,0,725,110,2250,1,1187,2
80103103201,36,2600,900,340,3749,1,3749,4
80103111301,40,1575,946,220,2166,0.9,1542,2
80103111302,61,599,553,275,1142,0.8,687,1.5
80103111303,31,0,1649,0,0,0,0,0
80103111304,28,0,899,880,4624,1.2,4750,5
80103111305,31,0,899,220,3250,1,3250,3
80103111306,36,0,1375,0,0,0,0,0
80103111307,52,0,675,280,1156,1,1050,1.5
80103111308,0,0,0,0,0,0,0,0
80103111309,52,0,1624,0,3750,1.7,3750,2.7
80103111401,39,1300,1215,420,2625,0.8,2218,2.3
80103111501,0,0,0,0,0,0,0,0
80103111502,47,3033,1366,320,3285,1,3416,3.2
80103111503,40,0,1149,0,0,0.4,2250,2
80103111504,39,0,1093,350,2125,1.1,1999,2.6
80103111505,33,8050,1375,508,5999,0.9,5999,3
80103111506,24,1200,1110,380,2250,0.8,1499,2.8
80103111507,0,0,0,0,0,0,0,0
80104103401,37,2167,1039,415,2328,0.8,2062,2.5
80104103402,33,1950,1148,485,2694,0.8,2575,2.7
80104103403,37,2100,1209,540,3402,0.8,3171,3
80104103404,35,2171,1215,550,2957,0.8,2763,3
80104103405,33,2297,1382,525,3343,0.9,3250,3.3
80104103406,40,1971,1048,477,2750,0.8,2233,2.7
80104103407,33,1767,1336,575,3229,0.8,3225,3.2
80104103408,31,1910,1073,400,2401,1,2073,2.5
80104103409,32,2167,1125,307,2849,0.9,2636,3
80104103410,38,2167,1286,495,3360,0.8,3327,3.3
80104103411,34,2400,1310,530,3475,0.8,3297,3.2
80104103412,34,2275,1370,700,3941,0.8,4035,3.6
80104103413,39,1950,1278,500,2886,0.7,2416,2.5
80104103414,37,2000,1348,341,3600,0.8,3555,3.3
80104103501,30,1750,1090,520,2470,1,2700,3.3
80104103505,31,1992,1315,500,2908,0.8,2886,3
80104103506,32,2000,1215,540,3019,0.9,3078,3.3
80104103507,31,2167,1187,460,2818,1,2694,3.4
80104103508,29,2160,1257,500,2785,0.9,2397,3.2
80104103509,27,2351,1096,500,2396,1,2437,3.6
80104103510,32,2354,1253,595,3042,0.9,2985,3.5
80104103511,29,2165,1209,520,3031,0.9,2714,3.2
80104103512,29,2600,1140,375,2741,1,2788,3.6
80104103513,30,2500,1169,560,2766,0.9,2922,3.5
80104103514,34,2368,1423,579,3333,0.9,3250,3.5
80104103515,34,2708,1286,625,3374,0.9,3483,3.7
80104103516,30,1998,1059,470,2380,1,2299,3.3
80104103517,31,2483,1132,500,2785,0.9,2856,3.4
80104103518,32,2079,1157,600,3075,0.9,3111,3.6
80104103519,31,2171,1264,533,3295,0.9,3136,3.3
80104103520,29,2025,1078,531,2374,1,2471,3.3
80104103521,0,0,0,0,0,0,0,0
80104103522,31,2000,1312,530,3045,0.9,2692,3
80104103601,33,2167,1305,560,3116,0.8,2650,2.9
80104103604,33,2095,1477,557,3055,0.8,2829,2.8
80104103605,32,2519,1395,500,3250,0.8,3146,3.1
80104103606,32,2135,1393,418,2750,0.9,2405,2.7
80104103607,33,2600,1493,428,3234,0.8,3294,3.3
