SA1_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
80101100208,53,102,0,0,0,7,0,0,21,82,23,83,0,6,3,11,0,4,7,19,25,101,0,4,5,8,0,4,17,45,25,56,0,0,0,0,5,8,7,14,27,70,0,3,108,278
80101100209,32,65,0,0,6,16,0,0,14,54,19,69,0,8,0,0,0,0,0,8,18,71,0,0,0,0,0,0,7,20,8,18,0,4,0,6,0,0,4,8,13,26,5,6,66,167
80101100210,54,101,0,0,0,0,0,0,15,65,15,65,0,0,0,6,3,11,4,14,25,74,0,0,0,3,0,0,5,8,5,15,0,0,0,8,4,8,8,13,11,21,6,9,88,214
80101100211,65,131,0,0,6,20,0,0,37,122,38,147,0,3,0,0,3,6,3,9,41,157,0,0,0,0,0,0,9,30,9,30,0,3,4,5,9,25,17,35,30,63,3,9,144,362
80101100212,79,159,0,0,0,15,0,6,20,82,27,96,0,0,0,5,4,7,4,10,29,107,0,0,0,0,0,0,5,20,5,20,0,0,0,0,6,5,6,5,10,22,0,0,117,288
80101100213,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
80101100215,105,205,0,0,0,0,0,0,18,55,18,55,0,0,4,11,0,0,4,11,18,58,0,0,0,0,0,0,5,9,5,9,0,0,0,5,3,6,7,13,10,14,0,10,132,289
80101100216,305,608,0,0,0,0,0,0,55,181,55,181,6,3,3,10,0,3,6,16,66,200,0,0,0,3,0,0,15,32,12,33,0,0,0,4,0,6,5,13,19,48,14,26,397,884
80101100217,62,130,0,0,0,0,0,0,12,35,12,35,0,0,0,5,0,0,0,5,12,34,0,0,0,0,0,0,4,3,3,7,0,5,0,0,0,3,5,3,5,17,0,4,88,179
80101100218,99,201,0,0,0,0,0,0,27,71,27,71,0,0,0,0,0,4,0,4,26,75,0,0,0,0,0,0,4,5,4,5,0,0,3,10,0,0,3,10,7,20,8,18,139,315
80101100219,69,132,0,0,0,0,0,0,17,48,17,48,0,7,0,4,0,0,0,10,19,61,0,0,0,0,0,0,3,10,3,10,0,0,3,7,0,0,9,10,10,16,4,9,103,216
80101100220,42,86,0,0,0,3,0,0,15,43,14,51,0,0,0,0,3,7,4,9,17,56,0,0,0,5,0,0,0,8,5,7,0,0,0,0,0,0,0,0,5,7,5,6,65,159
80101100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100222,106,213,0,0,0,4,0,0,27,89,27,92,0,0,0,3,0,14,0,16,31,104,0,0,0,0,0,0,10,20,10,20,0,0,3,3,0,3,3,5,14,28,4,6,155,350
80101100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100225,82,157,0,0,0,0,0,0,16,52,16,52,0,0,0,0,0,0,0,0,15,56,0,0,0,0,0,0,0,7,0,7,0,6,0,0,0,3,3,3,10,14,3,3,107,235
80101100301,48,93,0,0,3,10,0,0,30,105,29,113,0,0,0,5,0,3,3,7,33,125,0,0,0,0,0,0,0,3,0,3,0,4,0,0,4,12,9,13,6,18,5,9,94,243
80101100304,111,224,0,0,3,22,0,4,51,182,54,202,6,13,9,24,8,24,19,67,73,272,0,0,0,7,0,0,8,26,9,29,5,6,3,7,5,15,14,27,23,51,9,8,212,567
80101100306,48,99,0,0,0,0,0,0,23,83,23,83,0,3,0,0,0,6,4,10,30,92,0,4,0,4,0,0,12,19,13,25,0,0,3,3,0,7,9,7,15,35,0,9,98,241
80101100307,26,42,0,0,0,3,0,0,12,46,11,51,0,0,0,3,3,9,4,11,19,61,0,0,0,0,0,3,4,6,4,5,0,4,0,3,3,8,9,12,8,22,6,3,53,134
80101100308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100309,33,76,0,0,0,8,0,0,17,67,16,72,0,0,3,13,3,10,8,17,24,89,0,0,3,8,0,0,7,11,3,19,0,0,5,7,0,7,7,10,9,29,5,9,70,199
80101100310,25,50,0,0,0,15,0,0,14,46,15,57,0,0,7,23,9,21,14,44,31,101,0,0,0,0,0,0,3,18,3,18,0,4,3,6,0,3,6,4,10,19,0,3,63,173
80101100311,44,90,0,0,0,5,0,3,11,38,15,42,0,0,0,4,8,21,8,28,22,74,0,0,0,0,0,0,6,12,7,19,0,4,0,0,7,13,6,16,14,31,0,4,80,194
80101100312,85,168,0,5,6,21,0,0,41,144,45,167,0,4,15,43,0,0,14,51,59,216,0,0,0,8,0,0,6,10,6,19,0,0,3,14,0,10,9,18,18,36,8,6,158,431
80101100314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100315,68,128,0,6,4,17,0,0,16,64,24,87,5,4,3,14,10,23,12,47,35,136,0,0,0,0,0,0,8,10,8,10,0,0,0,0,7,19,7,19,12,26,0,4,115,301
80101100316,40,76,0,0,3,18,0,9,4,24,8,45,0,0,3,12,0,0,3,12,18,60,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,3,3,9,0,0,58,147
80101100317,83,159,0,0,0,3,0,0,14,54,18,58,0,0,0,0,0,0,0,0,15,57,0,0,0,0,0,0,3,8,3,8,0,0,0,0,3,8,6,11,11,14,9,17,111,253
80101100318,42,79,0,8,0,8,0,8,17,73,24,92,0,0,8,35,6,15,16,49,40,148,0,0,0,3,0,0,0,0,0,3,0,0,0,0,6,7,4,10,4,14,3,4,84,241
80101100319,56,109,0,3,3,12,0,0,16,52,20,73,0,0,3,4,4,8,4,19,21,85,0,0,0,0,0,0,4,10,4,10,0,4,0,5,5,10,4,16,13,26,0,0,88,222
80101100320,31,70,0,0,3,14,0,0,48,182,49,198,0,0,0,3,0,7,5,12,55,209,0,0,0,0,0,0,6,11,6,11,0,0,3,4,0,4,6,11,7,16,3,3,97,302
80101100321,63,133,0,0,4,6,0,0,34,112,36,124,0,5,5,12,6,11,10,31,42,151,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,10,12,7,13,123,310
80101100322,91,178,0,0,0,0,0,0,13,28,13,28,0,0,0,0,0,0,0,0,13,28,0,0,0,0,0,0,11,13,9,13,0,0,0,0,0,0,0,0,8,13,4,15,112,232
80101100401,17,36,0,0,0,4,3,15,23,86,23,106,0,0,0,0,3,16,3,16,32,123,0,0,0,5,0,0,5,5,9,13,0,4,4,7,4,5,7,14,14,25,0,5,65,189
80101100402,44,102,0,5,9,36,0,12,29,113,44,157,0,6,0,8,12,52,15,58,60,218,0,0,3,0,0,0,12,24,11,26,0,0,0,0,3,10,3,10,15,32,0,0,121,354
80101100403,29,65,0,0,0,9,3,20,38,150,41,176,0,8,0,4,6,9,7,26,51,199,4,7,3,11,0,0,10,29,18,46,0,0,3,14,13,36,21,50,39,100,3,9,125,374
80101100404,30,57,0,0,5,15,5,10,37,133,42,160,0,0,0,3,6,24,8,25,53,187,0,3,0,3,0,3,12,34,13,49,0,6,0,0,13,26,11,29,30,80,0,0,109,323
80101100405,41,81,0,0,7,20,6,16,32,124,42,163,0,12,4,10,8,25,13,48,51,208,0,0,3,11,0,0,7,22,8,38,0,0,0,5,12,27,13,29,26,68,0,0,120,356
80101100406,41,88,0,0,5,20,7,15,32,111,37,152,0,8,6,17,10,46,23,72,61,223,4,11,0,0,0,10,22,56,25,76,4,5,3,12,26,49,29,67,57,144,3,11,162,469
80101100408,21,39,0,0,0,0,0,0,6,35,6,35,0,0,0,0,0,0,0,0,7,41,0,5,0,0,0,0,7,13,6,15,0,9,0,3,3,17,9,22,12,40,0,3,48,119
80101100409,30,55,0,8,0,0,5,13,26,79,27,100,0,0,0,0,4,9,3,11,33,116,0,7,5,7,0,5,4,14,8,29,0,5,0,5,16,35,17,40,23,69,0,3,89,242
80101100501,31,70,0,0,0,9,0,6,21,87,27,104,0,7,0,0,3,12,4,18,31,120,0,0,0,0,0,0,3,11,3,11,0,0,3,4,8,20,11,18,16,31,0,0,84,224
80101100502,48,90,0,4,5,19,0,0,36,133,40,164,0,0,5,26,10,21,14,46,53,208,0,0,0,3,0,0,3,9,4,10,4,8,3,4,5,16,9,27,15,36,4,7,117,342
80101100503,42,83,0,6,0,15,0,0,21,69,21,87,0,9,8,28,10,27,18,64,43,151,0,0,0,0,0,3,0,3,6,4,0,4,0,3,3,14,9,17,11,27,0,7,98,268
80101100504,42,86,0,0,0,0,0,0,21,80,21,80,0,3,4,13,0,5,7,20,27,101,0,0,0,0,0,0,3,15,3,15,0,0,0,5,7,17,10,25,12,35,4,8,87,227
80101100505,43,80,0,0,0,0,0,0,31,100,31,100,0,0,0,9,4,5,0,11,32,109,0,0,0,0,0,0,9,23,9,23,0,0,4,3,5,11,13,15,21,39,6,4,93,231
80101100506,28,56,0,0,0,3,0,7,6,31,12,39,0,0,0,3,0,0,0,3,11,40,0,5,0,0,0,0,3,7,8,14,3,6,0,0,5,10,5,18,8,29,0,0,53,132
80101100507,34,77,0,0,15,48,0,0,23,86,34,138,0,0,6,11,11,23,11,37,47,175,0,0,0,4,0,0,3,6,4,9,0,0,4,7,5,6,6,11,5,17,0,0,91,264
80101100508,21,39,0,0,8,19,0,0,20,71,21,89,4,5,4,12,4,14,11,35,34,120,0,0,0,3,0,0,0,7,3,6,0,0,6,7,3,10,3,11,6,22,0,0,61,190
80101100509,47,89,0,9,9,28,0,0,35,144,43,174,0,3,7,17,6,8,11,30,55,209,0,0,0,0,4,13,8,16,9,33,0,11,0,3,9,14,9,26,22,55,0,0,119,350
80101100602,16,34,0,6,3,6,0,5,16,52,21,69,0,3,3,15,9,31,14,51,34,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,8,4,6,55,165
80101100604,27,60,0,10,4,16,0,3,33,124,40,155,0,5,5,6,4,13,11,28,45,179,0,0,0,3,0,4,3,15,7,25,0,0,0,4,0,10,4,10,10,34,0,0,87,275
80101100605,32,68,0,0,14,58,6,23,43,164,59,242,0,11,0,5,6,27,15,54,71,294,0,0,0,9,0,0,3,8,6,19,0,3,0,3,6,0,0,12,12,30,0,0,120,393
80101100606,26,47,0,7,3,21,0,13,37,141,46,175,4,6,5,13,4,19,11,35,58,218,0,7,0,3,0,0,10,26,14,37,0,0,4,7,4,13,5,20,16,52,3,8,104,322
80101100607,44,82,0,0,6,31,0,3,36,143,45,177,5,20,4,23,12,36,22,73,64,250,0,5,0,0,0,3,4,23,7,31,0,0,0,0,12,20,12,20,21,49,0,0,125,382
80101100608,33,64,0,3,4,37,4,11,40,159,50,202,3,10,9,31,9,38,21,84,70,287,0,0,0,0,0,14,4,12,6,28,0,0,0,3,4,15,8,18,16,46,5,6,121,404
80101100609,29,63,0,0,10,39,0,0,29,117,39,151,9,24,0,9,15,44,23,75,60,225,0,0,5,3,0,0,3,10,10,17,0,5,0,5,7,14,11,22,20,36,0,0,103,328
80101100610,27,57,4,9,6,34,0,0,34,139,47,178,12,34,4,10,7,19,14,60,58,241,0,0,0,4,0,0,5,7,5,10,0,6,0,0,14,27,12,33,18,47,0,3,106,342
80101100611,41,73,0,0,8,29,0,5,27,99,37,130,6,11,3,13,7,34,16,58,52,191,0,9,0,3,0,5,11,31,15,42,0,3,4,8,10,24,17,32,32,75,0,0,126,339
80101100612,45,94,0,0,11,41,5,34,38,140,55,212,4,31,3,24,19,60,32,113,84,331,0,0,0,5,0,0,7,10,7,15,0,5,0,0,5,16,7,25,15,40,4,6,145,468
80101100613,22,39,0,0,5,29,0,0,31,107,35,135,3,10,3,7,7,24,13,38,49,181,0,0,0,0,0,7,0,0,0,7,0,0,0,4,6,8,0,8,3,12,0,0,73,227
80101100614,28,56,0,7,5,23,0,4,37,138,43,171,3,12,8,23,5,16,15,48,55,216,0,5,0,5,0,0,3,9,8,18,0,0,0,0,5,8,7,17,13,32,0,5,98,310
80101100615,11,22,3,10,0,12,0,4,14,48,20,74,9,26,3,14,0,7,11,48,32,123,4,7,0,0,0,0,3,12,4,17,0,0,0,0,7,9,4,15,17,35,0,3,57,188
80101100616,43,88,0,3,5,24,5,24,46,190,62,250,0,4,13,41,5,16,15,63,77,314,4,11,4,13,0,5,11,32,21,60,0,0,4,5,0,9,8,14,26,73,0,4,143,469
80101100617,50,94,0,0,0,6,0,3,21,67,22,80,9,21,7,14,6,29,15,64,42,142,0,5,0,8,0,0,9,22,13,33,0,0,3,5,6,16,8,23,25,53,3,3,111,299
80101100618,25,53,0,0,6,36,0,0,32,137,43,177,4,23,6,19,6,13,18,63,57,234,0,0,0,0,0,3,6,12,11,17,0,0,0,0,3,13,8,17,14,43,0,0,94,327
80101100619,17,36,0,0,0,6,0,0,13,52,16,57,0,5,0,0,0,3,3,9,20,65,0,0,0,0,0,4,8,19,13,21,0,0,0,0,0,4,0,4,9,30,0,3,44,129
80101100620,23,45,0,12,4,27,4,12,38,149,48,200,0,5,7,15,9,27,17,52,66,251,4,5,3,11,0,14,10,29,16,61,0,6,0,0,8,14,5,17,27,82,0,0,109,372
80101100621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101100622,12,26,3,11,6,47,3,17,22,100,41,176,0,0,4,17,0,11,8,26,45,201,0,9,0,6,0,0,4,16,10,31,0,0,0,6,7,16,9,22,18,48,0,0,75,274
80101100623,30,56,0,14,11,52,0,4,32,133,43,193,0,10,6,11,6,24,12,44,54,236,0,0,3,7,0,0,9,29,12,42,0,0,6,4,5,5,9,14,18,53,0,0,106,348
80101100701,53,110,0,6,3,23,0,7,41,153,48,193,0,10,5,22,17,53,24,77,72,270,0,0,0,4,0,0,8,12,7,17,0,0,0,3,10,27,11,28,21,47,0,4,147,425
80101100702,31,64,0,0,4,19,0,3,19,61,19,87,0,12,3,13,8,24,14,45,37,131,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,3,6,4,11,0,5,74,208
80101100703,51,106,0,6,6,25,0,0,41,172,52,205,9,23,5,32,11,47,27,96,77,304,0,0,0,0,0,0,4,14,4,14,0,5,0,3,4,16,9,29,12,38,0,0,147,443
80101100704,24,43,0,7,3,12,0,0,12,60,18,75,0,3,0,8,3,14,9,28,22,103,4,5,0,6,0,0,4,5,5,14,0,0,0,0,3,9,3,9,11,28,0,0,60,172
80101100705,51,94,0,0,4,11,0,3,41,154,46,171,7,21,3,21,17,55,23,97,67,269,0,0,0,11,0,0,0,9,0,13,0,0,0,6,0,8,8,18,11,27,0,0,132,397
80101100706,37,75,0,12,0,9,0,0,40,150,47,170,3,5,3,8,4,7,9,26,50,194,0,0,3,6,0,0,3,17,12,29,0,0,0,0,11,15,6,18,16,47,7,7,111,330
80101100707,54,105,0,12,6,34,5,15,37,139,47,200,4,20,5,19,12,39,22,72,72,275,0,0,0,3,0,0,8,22,7,30,0,5,0,8,10,14,8,21,17,51,0,0,144,430
80101100708,43,88,0,11,4,16,0,0,34,132,40,162,0,0,3,10,3,6,6,14,43,176,0,0,0,0,0,0,8,10,8,10,0,6,0,4,4,13,8,20,12,26,0,0,101,296
80101100709,30,64,0,0,3,6,0,3,19,77,19,87,0,5,0,11,6,17,11,33,26,120,0,0,3,7,0,4,13,33,15,44,0,6,3,4,6,11,8,23,23,66,7,5,89,256
80101100710,43,92,0,0,5,22,0,0,35,135,41,164,5,25,4,12,3,14,13,49,58,212,0,0,0,3,0,4,4,3,6,14,4,3,0,0,7,14,8,19,11,24,0,8,114,337
80101100711,57,118,0,0,3,18,4,9,46,182,50,203,5,19,4,10,19,46,24,79,76,283,0,14,6,13,0,5,15,40,19,68,0,0,0,0,12,28,16,36,35,100,6,7,168,511
80101100712,31,63,0,3,5,26,0,4,31,109,39,149,3,11,9,34,11,34,23,73,60,222,0,3,0,0,5,8,6,20,13,32,3,10,0,4,13,30,12,43,22,74,0,4,116,362
80101100713,28,58,4,8,3,10,0,0,16,82,25,96,3,4,4,17,5,18,13,39,39,137,0,0,0,7,0,5,9,27,12,38,5,6,0,5,11,15,16,31,24,69,3,5,92,271
80101100714,34,67,0,9,3,18,0,0,18,71,20,90,4,16,4,8,3,14,8,37,36,135,0,0,4,3,0,0,3,7,4,12,0,5,0,3,4,11,11,23,10,35,0,0,79,233
80101100801,30,69,0,7,7,14,0,0,29,103,31,127,11,31,4,11,5,13,19,58,50,183,0,0,0,3,0,3,5,7,3,12,0,0,0,4,5,19,9,20,20,37,0,3,99,293
80101100802,54,107,0,5,6,19,0,3,47,171,52,199,4,16,4,17,12,41,20,70,75,275,0,0,0,0,0,0,9,28,10,32,0,6,0,0,11,23,10,29,22,59,0,0,149,445
80101100803,33,73,0,13,4,27,4,13,24,80,35,130,0,9,5,14,8,28,18,53,47,182,0,0,0,7,0,6,4,13,10,26,0,0,0,5,7,20,12,28,18,54,9,17,109,319
80101100804,28,61,0,0,0,8,0,8,14,71,22,84,0,0,0,6,0,7,3,6,20,92,0,9,3,7,0,6,7,15,12,33,0,0,7,12,5,11,14,24,26,53,3,0,80,218
80101100805,57,110,0,6,7,31,0,0,30,113,42,153,4,17,6,16,14,35,18,69,59,219,0,6,0,3,0,0,6,25,11,28,0,0,6,20,8,11,10,22,16,53,3,8,139,389
80101100806,55,113,0,0,12,45,0,0,16,65,22,105,5,17,0,4,9,24,14,48,37,156,0,0,0,3,0,3,0,8,5,18,0,0,0,0,3,11,5,14,13,30,0,0,109,298
80101100807,68,130,0,0,11,32,0,0,46,158,46,196,0,0,7,10,11,33,12,45,63,236,0,0,0,4,0,0,9,24,15,28,0,0,3,3,14,28,17,34,33,66,0,5,161,438
80101100808,38,78,0,5,0,4,0,0,26,99,30,110,0,0,3,8,0,3,3,4,32,115,0,0,0,4,0,0,6,14,8,20,0,5,5,6,5,4,6,17,14,31,0,3,87,231
80101100809,57,111,0,0,5,27,0,0,27,98,31,122,6,19,10,19,19,63,28,96,58,218,0,9,0,0,0,0,8,24,9,26,0,3,0,0,10,21,11,24,22,55,0,0,134,387
80101100810,43,89,0,0,4,16,0,0,30,113,32,132,0,15,3,17,4,13,10,44,46,173,0,0,0,3,0,0,7,7,8,12,0,0,3,8,11,24,17,27,17,42,0,6,106,300
80101100811,20,38,0,0,0,4,0,4,11,35,10,43,5,20,6,22,8,23,16,65,27,109,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,5,13,11,21,0,0,56,171
80101100812,39,71,0,5,8,30,0,0,20,87,32,118,0,12,4,17,13,41,16,67,47,183,0,0,0,8,6,4,8,22,13,37,0,3,5,9,4,14,6,24,19,62,0,3,111,318
80101100901,42,85,3,21,9,51,0,0,26,101,36,168,0,0,0,3,10,48,11,46,55,214,0,0,0,5,0,0,8,19,9,25,3,4,0,0,3,12,5,17,15,40,0,0,110,341
80101100902,24,51,0,15,4,17,0,0,22,94,30,124,0,8,3,10,10,20,11,33,39,163,0,0,0,0,0,5,0,3,0,9,0,3,3,3,10,13,10,21,14,31,0,0,77,244
80101100903,38,81,0,8,5,23,3,15,39,159,48,200,3,14,6,26,13,40,23,77,67,277,0,0,5,7,0,0,0,11,6,14,0,0,0,0,5,10,5,10,14,27,0,0,123,388
80101100904,47,93,0,8,3,18,0,8,32,108,37,140,3,19,3,19,13,39,26,84,61,227,0,0,0,4,0,0,0,6,7,7,0,0,0,3,0,0,0,3,4,5,0,4,113,331
80101100905,30,54,0,0,3,11,0,5,43,165,47,180,4,13,8,18,9,24,17,57,57,235,0,0,0,0,0,0,8,12,8,12,0,0,0,0,0,10,3,11,9,23,4,12,105,319
80101100906,51,98,0,0,3,15,3,14,33,144,41,168,0,14,3,14,12,54,27,83,69,252,0,0,0,4,0,0,9,23,14,29,5,4,9,16,5,16,17,35,24,63,0,0,139,422
80101100907,23,51,0,0,5,28,0,3,20,74,24,108,0,11,5,7,0,3,5,19,28,128,0,8,0,0,0,4,5,23,8,34,0,3,0,0,7,11,9,15,20,47,0,0,68,227
80101100908,34,63,0,3,0,7,0,0,28,104,30,117,3,19,8,25,19,52,26,90,56,209,0,0,0,0,0,0,0,5,5,4,0,0,0,0,6,14,6,14,10,16,0,0,98,289
80101100909,32,57,0,0,9,31,0,17,17,71,26,115,6,10,3,3,8,16,11,34,35,151,0,5,4,8,0,0,3,9,8,16,0,0,0,0,4,13,4,13,10,33,0,6,79,247
80101100910,40,82,0,8,7,34,3,10,28,111,37,158,4,18,4,20,0,4,13,42,50,197,0,8,0,0,0,0,5,13,8,16,0,3,0,0,8,11,8,11,11,32,0,8,101,319
80101101001,34,68,0,0,5,30,3,10,30,114,37,154,3,11,5,11,8,29,16,50,51,208,0,0,0,12,0,4,8,25,11,43,3,8,0,9,3,8,4,18,21,64,3,3,109,338
80101101002,35,65,5,5,3,20,5,10,28,96,31,132,3,13,0,12,10,25,14,58,50,193,0,0,0,3,0,5,8,12,7,18,0,4,0,0,8,17,11,27,19,42,3,4,105,304
80101101003,51,104,0,0,10,50,0,7,24,111,34,163,5,19,11,25,14,54,26,98,61,260,0,0,0,0,0,3,6,13,6,20,3,7,0,0,3,14,8,19,15,38,0,0,130,399
80101101004,48,90,0,0,9,45,4,15,24,108,37,166,9,24,4,4,13,47,22,72,58,239,0,0,0,4,0,0,0,4,6,9,0,0,0,0,7,13,7,13,9,15,0,0,115,345
80101101005,65,134,0,0,6,39,3,8,35,144,47,200,5,23,5,18,8,35,19,79,72,273,0,0,3,11,0,0,8,20,15,31,0,10,0,0,12,26,16,32,26,65,0,0,168,473
80101101101,65,137,5,12,8,48,0,8,59,236,67,296,0,0,8,24,16,55,20,80,92,377,0,0,4,11,0,0,7,15,11,30,3,12,0,0,9,18,14,34,24,63,5,7,185,582
