SA1_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
80101100225,0,5,16,0,0,0,6,0,0,32,0,12,3,3,0,0,0,0,0,16,0,4,23,5,3,3,3,0,0,44,0,12,18,9,0,0,0,0,0,48,0,7,11,0,9,0,0,0,0,34,0,6,6,4,3,3,3,0,0,30,0,0,16,18,7,6,0,6,0,54,0,0,4,0,0,0,0,0,0,4,0,0,0,5,0,4,0,0,0,13,0,0,0,4,0,0,0,0,0,11,3,74,142,59,26,33,29,13,6,386
80101100301,0,11,14,3,0,0,0,0,0,32,0,6,13,0,0,0,0,0,0,25,0,7,26,11,4,0,0,3,0,54,0,6,11,6,4,0,0,0,0,29,0,3,27,5,0,0,0,0,0,34,0,0,11,8,0,0,0,0,0,29,0,0,26,17,4,6,0,0,0,51,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,7,3,0,0,0,0,0,0,8,5,64,159,69,18,16,15,6,0,354
80101100304,0,19,24,0,5,5,3,0,0,52,0,11,24,0,0,0,0,0,0,41,0,10,25,14,8,0,0,3,0,70,0,16,36,14,8,9,0,0,0,88,0,3,46,23,9,0,0,0,0,84,0,0,29,11,7,12,3,0,0,65,0,0,27,41,18,9,0,0,0,102,0,0,0,8,8,0,0,0,0,21,0,0,0,7,8,0,0,0,0,21,0,0,9,7,0,6,0,0,0,28,29,110,271,163,83,62,31,12,4,753
80101100306,0,0,11,3,0,0,0,0,0,16,0,10,6,6,0,0,0,0,0,33,0,3,15,6,4,3,10,0,0,38,0,8,14,3,5,0,3,0,0,38,0,0,15,7,4,0,3,0,3,37,0,0,6,9,3,0,6,0,0,28,0,0,9,19,7,5,4,0,0,50,0,0,0,6,5,6,0,0,0,11,0,0,0,0,0,7,0,0,0,13,0,0,3,0,0,0,4,0,0,10,8,52,110,61,32,30,39,11,9,345
80101100307,0,4,4,0,0,0,0,0,0,13,0,10,6,3,0,0,3,0,0,24,0,9,12,3,3,0,0,3,0,33,0,0,4,3,0,0,0,0,0,16,0,4,5,4,4,0,0,0,0,19,0,0,3,0,6,0,0,0,0,15,0,0,5,7,4,6,0,0,0,20,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,3,0,0,0,13,8,47,60,40,23,21,14,12,0,228
80101100308,15,55,28,4,0,0,0,0,0,96,13,26,15,0,0,0,0,0,3,52,3,23,11,3,0,0,0,0,0,41,0,6,10,0,0,0,0,0,0,13,0,4,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,10,22,3,0,0,0,0,0,3,47,304,505,145,24,9,4,0,4,4,1011
80101100309,0,8,5,0,0,0,0,0,0,16,0,9,12,0,0,4,0,0,0,25,0,9,8,6,0,0,0,0,0,26,0,11,12,6,4,0,0,0,0,35,0,0,15,6,0,0,0,0,0,25,0,3,4,5,0,0,0,0,0,19,0,0,15,5,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,16,51,92,42,28,19,14,0,0,252
80101100310,0,0,4,3,0,0,0,0,0,13,0,8,9,4,0,0,0,0,0,17,0,3,4,7,0,3,0,0,0,17,0,0,0,4,0,3,0,0,0,10,0,0,5,0,3,5,0,0,0,16,0,0,4,0,3,8,0,0,0,10,0,0,5,15,9,6,0,0,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,5,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,19,30,47,35,33,28,13,4,0,209
80101100311,0,4,7,0,0,0,4,0,0,16,0,4,3,0,0,6,3,0,0,23,0,4,16,0,0,3,3,5,0,35,0,4,5,0,0,3,3,0,0,18,0,0,12,6,0,6,3,0,0,32,0,0,10,3,3,3,0,0,0,16,0,0,9,4,9,5,5,0,0,34,0,0,5,0,0,3,0,0,0,6,0,0,0,6,0,0,0,0,0,7,0,0,0,0,3,0,3,0,0,6,8,34,80,26,24,35,29,13,3,257
80101100312,0,7,17,0,3,3,4,0,0,31,0,4,13,5,0,0,6,0,0,40,0,10,14,3,4,4,4,0,0,44,0,4,16,5,3,9,5,0,0,43,0,10,15,8,3,9,3,0,0,48,0,0,5,8,8,6,0,0,0,34,0,0,23,26,18,17,3,0,0,89,0,0,0,4,5,3,5,0,0,15,0,4,6,11,10,6,0,0,0,32,0,0,3,5,0,0,0,0,0,9,34,78,142,89,63,67,40,19,5,537
80101100314,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,4,0,4,0,0,5,30,33,18,17,9,4,7,8,9,6,102
80101100315,4,3,4,0,0,4,6,6,0,24,0,0,13,4,4,6,8,3,0,32,0,7,13,0,3,0,11,4,0,38,0,3,3,4,0,3,4,5,0,20,0,0,5,6,0,5,13,3,0,34,0,0,0,0,3,8,0,0,0,15,0,0,4,5,13,5,12,4,0,42,0,0,0,0,0,3,0,0,0,7,0,0,0,3,13,0,5,0,0,26,0,0,3,0,0,6,7,0,0,13,22,31,53,39,51,36,71,43,6,350
80101100316,0,0,0,0,0,0,0,11,10,20,0,0,0,0,0,0,5,8,12,29,0,0,0,0,0,0,5,3,7,18,0,0,0,0,0,0,3,3,3,10,0,0,0,0,3,0,0,6,0,17,0,0,0,0,0,0,3,0,6,14,0,0,0,0,10,7,0,4,6,32,0,0,0,0,5,0,0,8,0,14,0,0,0,0,6,3,0,0,0,8,0,0,0,0,0,3,0,17,17,38,12,0,0,7,26,14,36,94,95,281
80101100317,0,9,33,0,0,0,0,0,0,44,0,14,27,0,0,0,4,0,0,42,0,14,37,3,0,0,0,0,0,52,0,9,29,10,0,0,0,0,0,51,0,3,20,13,4,0,0,0,0,41,0,3,18,8,0,0,0,0,0,22,0,6,27,14,3,4,0,0,0,45,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,9,4,93,239,64,17,11,9,5,0,447
80101100318,0,4,0,0,0,0,6,0,0,13,0,3,3,0,0,4,4,0,0,16,0,0,0,0,0,0,3,4,0,11,0,0,0,0,0,0,5,5,0,13,0,0,0,0,3,0,6,0,0,18,0,0,6,6,0,6,0,0,0,15,0,0,3,9,6,8,8,5,0,36,0,0,0,4,6,0,5,0,0,13,0,0,0,14,19,13,3,0,0,47,0,3,0,0,0,0,7,0,0,12,19,13,21,29,40,41,60,15,0,244
80101100319,0,0,7,0,0,0,4,0,0,16,0,0,4,0,0,0,0,0,0,6,0,0,8,0,6,3,10,0,0,31,0,3,7,6,0,8,3,0,0,28,0,0,5,6,0,4,7,4,0,24,0,0,0,7,5,3,10,0,0,28,0,0,9,6,4,6,6,0,3,31,0,0,0,0,0,8,0,0,0,6,0,0,0,3,0,10,0,0,0,16,0,0,3,0,0,0,0,0,0,5,11,21,54,31,26,41,46,25,10,256
80101100320,0,5,8,10,3,0,0,0,0,20,0,5,9,6,0,0,0,0,0,13,0,7,14,7,0,0,0,0,0,32,0,7,21,3,4,0,0,0,0,38,0,10,9,15,0,0,0,0,0,32,0,3,16,4,0,0,0,0,0,30,0,0,6,25,8,5,0,0,0,43,0,0,0,18,7,0,0,0,0,25,0,0,0,6,7,0,0,0,0,20,0,0,3,4,0,0,0,0,0,12,12,57,103,101,42,8,0,0,0,321
80101100321,0,9,8,0,3,0,0,0,0,20,0,3,17,10,3,0,0,0,0,31,0,3,24,7,4,0,0,0,0,44,0,6,20,5,3,0,0,0,0,41,0,3,35,6,3,0,0,0,0,46,0,0,15,8,4,0,0,0,0,34,0,0,22,15,5,4,0,0,0,47,0,0,3,4,4,0,0,0,0,7,0,0,5,0,3,0,0,0,0,10,0,6,14,3,0,0,0,0,0,20,17,72,189,77,42,8,8,3,0,410
80101100322,0,13,4,0,0,3,0,0,0,26,0,5,18,5,0,0,0,0,0,31,0,9,40,5,3,0,0,0,0,61,0,16,33,9,0,0,0,0,0,58,0,6,22,14,0,0,0,0,0,38,0,0,14,10,0,5,0,0,0,22,0,0,15,19,3,7,0,0,0,43,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,4,4,0,0,0,0,0,0,9,9,61,168,76,19,12,10,0,0,367
80101100401,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,3,0,4,0,21,0,4,6,0,3,5,0,0,0,15,0,0,4,5,3,3,3,0,0,18,0,0,4,4,3,8,0,0,0,20,0,0,0,4,3,0,0,0,0,9,0,0,6,5,3,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,28,30,30,27,17,7,0,166
80101100402,0,0,0,4,6,0,0,0,0,17,0,0,5,10,6,6,4,4,0,36,0,0,11,3,7,4,0,0,0,37,0,0,14,7,5,0,6,0,0,35,0,4,9,9,10,6,4,0,0,40,0,0,9,11,10,4,0,0,0,30,0,0,9,12,10,4,0,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,8,0,0,0,0,4,4,0,0,0,13,19,15,64,69,73,37,32,16,4,335
