POA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA2612,..,15,372,471,381,399,304,162,41,2143,..,203,797,233,101,75,38,6,3,1456,..,0,3,16,39,11,4,4,4,80,722,..,..,..,..,..,..,..,..,722,..,221,..,..,..,..,..,..,..,221,..,87,62,16,10,3,0,0,0,183,..,40,46,6,0,0,5,0,0,102,..,33,76,8,0,0,0,0,0,124,..,524,522,72,26,16,6,4,0,1179,..,132,509,361,193,195,123,55,16,1577,4,27,54,27,22,10,7,3,0,152,727,1278,2440,1212,782,715,488,237,71,7944,..,28,456,477,411,386,256,109,25,2144,..,262,753,175,100,47,23,6,0,1373,..,0,18,70,79,52,17,12,6,254,711,..,..,..,..,..,..,..,..,711,..,227,..,..,..,..,..,..,..,227,..,74,32,14,4,10,3,0,0,138,..,37,49,0,4,6,13,15,6,125,..,34,48,8,0,6,0,0,0,102
POA2614,..,5,372,791,756,595,515,465,129,3624,..,56,302,215,176,85,35,22,0,897,..,0,20,46,69,33,18,15,10,208,1790,..,..,..,..,..,..,..,..,1790,..,470,..,..,..,..,..,..,..,470,..,275,172,56,58,22,0,0,0,589,..,51,49,17,17,21,16,8,0,180,..,59,109,33,13,15,6,0,0,231,..,144,226,51,25,29,25,8,4,508,..,31,90,116,130,131,130,109,61,794,18,23,30,23,24,19,10,10,4,160,1802,1122,1366,1347,1264,948,756,643,208,9459,..,27,483,872,736,585,527,383,66,3674,..,96,324,210,179,65,37,14,0,917,..,6,57,128,185,89,44,36,30,574,1706,..,..,..,..,..,..,..,..,1706,..,478,..,..,..,..,..,..,..,478,..,197,109,27,32,14,0,0,0,386,..,36,30,15,7,29,31,34,16,205,..,59,63,17,4,3,0,0,0,149
POA2615,..,27,1057,2266,1781,1350,1293,695,108,8571,..,128,728,509,360,207,96,35,6,2069,..,0,24,97,153,74,37,27,11,426,5042,..,..,..,..,..,..,..,..,5042,..,1124,..,..,..,..,..,..,..,1124,..,899,489,202,146,35,4,0,0,1778,..,127,145,35,43,44,41,19,11,462,..,113,141,45,32,23,10,0,0,361,..,147,300,105,79,71,28,10,4,740,..,37,192,278,297,307,278,150,62,1601,47,73,74,48,34,26,18,10,0,327,5085,2671,3163,3584,2913,2137,1808,949,197,22511,..,67,1450,2371,1710,1276,1233,478,53,8635,..,215,799,509,323,182,88,25,0,2138,..,24,211,475,490,278,120,80,29,1704,4611,..,..,..,..,..,..,..,..,4611,..,1106,..,..,..,..,..,..,..,1106,..,629,302,88,42,29,4,0,0,1093,..,109,92,41,43,78,97,76,21,558,..,93,99,25,11,9,9,0,0,239
POA2617,..,48,1092,1490,1029,884,1073,447,110,6167,..,286,957,360,215,113,64,9,0,2001,..,3,21,87,99,61,23,11,3,306,2786,..,..,..,..,..,..,..,..,2786,..,649,..,..,..,..,..,..,..,649,..,423,309,117,61,29,0,0,0,941,..,151,136,30,26,23,20,12,8,400,..,171,337,70,23,23,0,0,0,629,..,529,793,139,65,43,23,6,0,1604,..,152,501,320,239,215,166,108,38,1747,28,77,96,39,33,21,20,6,3,332,2815,2497,4246,2648,1786,1410,1396,597,163,17562,..,103,1401,1455,976,944,984,303,44,6211,..,396,998,333,181,92,46,10,0,2057,..,20,114,220,256,157,82,56,31,936,2493,..,..,..,..,..,..,..,..,2493,..,589,..,..,..,..,..,..,..,589,..,289,164,68,34,18,3,0,0,578,..,139,123,33,16,52,54,51,18,489,..,162,197,32,16,7,8,0,5,417
POA2618,..,0,13,33,73,72,63,40,5,302,..,0,6,16,15,6,0,0,0,53,..,0,0,0,0,0,0,0,0,3,118,..,..,..,..,..,..,..,..,118,..,52,..,..,..,..,..,..,..,52,..,25,20,8,7,0,0,0,0,59,..,0,3,4,0,0,0,0,0,11,..,0,0,4,0,0,0,0,0,9,..,0,0,0,0,4,0,0,0,3,..,0,5,0,5,0,3,7,0,18,3,0,0,4,0,0,0,0,0,9,117,80,53,64,106,84,69,46,7,629,..,0,16,51,77,59,66,27,0,297,..,0,10,16,17,4,0,0,0,49,..,0,0,3,4,10,3,0,0,23,113,..,..,..,..,..,..,..,..,113,..,50,..,..,..,..,..,..,..,50,..,32,8,8,3,4,0,0,0,50,..,0,0,0,0,5,0,0,0,10,..,0,7,4,3,0,3,0,0,14
POA2900,..,3,158,137,68,76,102,75,17,635,..,42,119,31,22,16,11,0,0,243,..,0,0,9,13,7,8,0,0,45,217,..,..,..,..,..,..,..,..,217,..,50,..,..,..,..,..,..,..,50,..,35,24,7,6,3,0,0,0,73,..,8,20,6,4,0,0,0,0,49,..,12,21,3,0,0,0,0,0,40,..,30,39,10,9,7,0,0,0,102,..,22,111,82,60,55,46,25,15,409,5,5,10,11,3,4,0,0,0,37,223,202,509,301,185,175,167,110,34,1908,..,9,188,115,77,86,88,58,7,635,..,59,109,27,16,15,18,3,0,239,..,4,31,44,51,25,13,7,7,173,212,..,..,..,..,..,..,..,..,212,..,41,..,..,..,..,..,..,..,41,..,29,12,3,3,0,0,0,0,55,..,16,10,5,0,8,8,0,0,49,..,10,15,8,0,0,0,0,0,24
POA2902,..,4,233,556,587,504,649,298,52,2870,..,45,245,133,112,82,31,20,8,668,..,0,9,38,47,45,18,15,4,172,1425,..,..,..,..,..,..,..,..,1425,..,412,..,..,..,..,..,..,..,412,..,318,184,91,53,11,5,0,0,664,..,41,41,12,24,26,12,7,7,169,..,24,41,14,7,8,0,0,0,101,..,40,63,34,22,21,18,3,0,203,..,12,64,78,105,139,114,65,15,590,27,20,23,28,16,9,15,0,4,135,1447,897,907,978,975,838,858,407,90,7401,..,12,304,630,575,502,620,223,10,2873,..,64,245,138,114,65,22,14,0,661,..,11,83,140,165,87,60,22,16,588,1353,..,..,..,..,..,..,..,..,1353,..,383,..,..,..,..,..,..,..,383,..,206,84,31,26,9,0,0,0,359,..,37,30,11,12,35,50,13,8,192,..,23,28,6,4,0,3,0,0,72
POA2903,..,5,192,384,359,341,388,141,26,1838,..,28,131,96,73,44,28,3,3,405,..,0,4,11,37,17,10,4,5,82,985,..,..,..,..,..,..,..,..,985,..,243,..,..,..,..,..,..,..,243,..,187,104,52,30,8,4,0,0,387,..,24,22,6,8,13,10,5,0,88,..,22,34,10,3,6,3,0,0,69,..,14,46,14,19,12,5,3,0,114,..,5,42,47,45,84,69,40,9,337,10,15,21,12,8,8,8,4,0,88,991,551,599,623,581,530,518,198,45,4635,..,10,235,447,329,357,368,87,15,1855,..,44,136,83,72,51,10,6,0,402,..,5,51,76,70,61,38,16,10,324,854,..,..,..,..,..,..,..,..,854,..,231,..,..,..,..,..,..,..,231,..,96,66,23,11,4,3,0,0,205,..,17,18,10,7,23,18,9,13,94,..,15,21,9,0,7,5,0,0,52
POA2904,..,6,216,578,518,607,576,214,52,2762,..,13,153,101,88,61,45,10,0,473,..,0,10,26,33,24,13,0,0,113,1275,..,..,..,..,..,..,..,..,1275,..,321,..,..,..,..,..,..,..,321,..,268,194,59,26,3,3,0,0,553,..,33,25,8,9,13,12,8,5,104,..,12,33,7,9,0,0,0,0,60,..,14,34,19,7,13,9,3,0,105,..,5,28,40,45,77,85,31,21,330,7,12,11,13,11,12,7,3,0,70,1280,691,709,846,745,808,743,270,82,6173,..,13,299,621,508,657,495,165,30,2781,..,35,158,100,90,58,27,6,0,473,..,4,40,80,118,83,38,22,17,405,1185,..,..,..,..,..,..,..,..,1185,..,348,..,..,..,..,..,..,..,348,..,164,118,37,20,9,0,0,0,354,..,22,14,5,9,21,32,18,9,125,..,23,15,3,0,4,0,0,0,45
POA2905,..,14,578,1111,1071,1222,801,269,55,5121,..,95,485,304,204,162,71,14,0,1329,..,4,22,98,101,61,19,5,3,315,2788,..,..,..,..,..,..,..,..,2788,..,738,..,..,..,..,..,..,..,738,..,691,386,106,51,24,0,0,0,1263,..,76,86,27,22,35,21,12,7,284,..,57,84,14,28,7,5,0,0,202,..,47,104,48,44,45,28,6,0,325,..,18,141,140,173,226,167,58,23,950,38,47,51,28,25,30,17,5,0,244,2826,1796,1937,1883,1715,1806,1128,375,92,13556,..,36,794,1137,1115,1246,601,186,23,5145,..,173,518,269,199,152,52,11,4,1378,..,19,179,266,323,190,56,44,26,1095,2681,..,..,..,..,..,..,..,..,2681,..,697,..,..,..,..,..,..,..,697,..,480,278,51,25,14,9,0,0,858,..,66,59,15,13,73,62,46,29,356,..,45,38,17,9,4,4,0,0,117
POA2906,..,10,370,724,829,833,379,174,30,3352,..,62,282,165,149,84,30,9,0,785,..,4,15,39,63,46,14,0,4,187,1793,..,..,..,..,..,..,..,..,1793,..,474,..,..,..,..,..,..,..,474,..,515,281,51,20,10,0,0,0,885,..,42,34,19,19,26,5,6,3,148,..,34,20,18,16,3,8,4,0,100,..,15,33,18,29,21,13,5,0,137,..,14,89,64,119,128,85,39,21,561,17,33,28,16,12,11,8,0,0,137,1808,1198,1164,1113,1248,1166,552,239,61,8547,..,17,516,782,886,721,312,121,19,3384,..,91,303,167,142,79,28,0,0,809,..,20,112,188,202,118,36,22,9,704,1700,..,..,..,..,..,..,..,..,1700,..,503,..,..,..,..,..,..,..,503,..,363,161,23,15,13,3,0,0,576,..,26,22,8,22,36,39,26,8,175,..,34,25,6,10,5,0,0,0,82
