POA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
POA2612,0,9,23,38,52,91,80,46,21,360,34,176,247,119,54,55,31,15,5,736,0,5,8,18,19,51,58,43,12,214,0,0,0,0,0,5,4,8,7,24,0,3,11,20,27,54,46,22,13,196,0,3,11,8,29,57,87,57,26,278,0,0,4,3,6,14,7,10,4,48,0,9,8,4,13,16,23,13,5,91,20,157,290,145,95,71,34,15,5,832,0,0,0,0,3,6,12,15,10,46,24,82,166,98,93,104,65,42,12,686,663,1706,1868,875,519,389,212,85,7,6324,36,297,257,117,92,69,43,12,10,933,760,2370,2756,1344,883,800,541,268,79,9801,0,22,42,38,68,137,153,122,50,632,35,187,262,124,83,70,61,29,6,857,0,4,10,17,29,44,50,39,15,208,0,0,0,0,0,0,0,12,7,19,0,5,14,16,19,34,31,25,14,158,0,4,9,8,6,16,30,27,22,122
POA2614,0,10,22,47,69,111,156,206,100,721,137,89,122,128,114,83,65,62,21,821,4,0,6,13,29,47,77,132,42,350,0,0,0,4,0,5,13,32,36,90,0,9,14,25,48,69,112,113,43,433,0,6,4,3,30,77,126,177,108,531,5,5,0,7,9,20,15,35,21,117,0,0,0,8,23,18,34,58,32,173,53,117,153,179,158,103,68,34,24,889,0,0,4,3,10,10,32,50,18,127,113,63,76,119,139,162,148,115,59,994,1475,847,1012,939,779,494,289,161,30,6026,118,99,116,74,78,70,38,38,12,643,1870,1189,1440,1408,1322,1029,819,713,262,10052,3,14,30,65,138,218,372,408,197,1445,112,130,156,174,152,122,144,92,37,1119,0,3,4,20,54,63,113,115,39,411,0,0,0,0,0,0,12,44,65,121,3,5,12,23,53,62,87,106,48,399,3,0,0,5,17,36,77,137,103,378
POA2615,5,9,44,134,221,324,409,290,78,1514,514,284,309,360,255,196,159,99,16,2192,3,10,27,38,77,134,220,173,34,716,3,0,0,6,0,4,19,40,20,92,14,26,42,76,204,291,349,200,34,1236,11,10,15,43,98,204,310,253,65,1009,3,3,5,19,29,51,72,56,16,254,4,6,8,18,39,81,116,110,25,407,186,332,384,444,377,241,139,76,20,2199,0,0,4,7,16,40,50,54,16,187,350,185,177,289,353,310,292,161,40,2157,3981,1898,2315,2454,1689,972,608,236,47,14200,320,168,199,197,190,116,78,40,12,1320,5229,2768,3302,3733,3046,2245,1895,996,213,23427,9,24,101,231,395,605,828,522,140,2855,335,309,469,537,437,336,326,161,39,2949,6,3,18,60,113,150,216,125,32,723,0,0,0,3,0,5,16,37,34,95,8,10,39,103,167,250,326,159,33,1095,8,0,14,33,67,112,191,182,64,671
POA2617,0,13,34,70,104,172,259,162,58,872,223,247,326,223,140,103,118,50,21,1451,0,7,13,15,40,73,174,77,38,437,0,0,0,0,3,0,11,42,37,93,3,15,34,61,98,153,211,117,28,720,10,8,7,18,44,99,208,167,73,634,4,4,13,16,13,20,50,35,20,175,3,3,6,7,11,27,67,42,28,194,87,291,375,274,202,141,86,31,8,1495,0,0,0,4,7,14,34,43,26,128,147,145,189,216,193,202,224,102,34,1452,2324,2194,3492,1919,1155,771,540,157,44,12596,186,175,246,155,113,75,73,25,14,1062,2938,2992,4563,2780,1889,1507,1484,665,230,19048,3,31,49,100,180,309,569,326,164,1731,137,320,408,270,180,198,190,91,34,1828,0,8,27,43,51,94,160,97,35,515,0,0,0,0,5,9,16,37,48,115,3,26,26,49,68,124,203,101,38,638,0,5,11,14,22,59,132,137,79,459
POA2618,0,0,0,0,6,6,16,12,4,44,9,7,6,9,9,3,3,3,0,49,0,0,0,0,0,4,3,4,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,8,0,20,0,5,0,0,4,4,4,12,4,33,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,4,3,0,7,0,3,5,8,13,0,0,0,0,29,0,0,0,0,0,0,3,0,0,3,0,0,0,3,7,6,9,8,0,33,105,69,44,50,80,53,31,9,0,441,9,0,0,3,8,3,6,6,0,35,124,85,53,73,118,89,75,51,7,675,0,0,0,0,9,20,20,19,0,68,8,9,8,10,13,11,7,10,0,76,0,0,0,0,4,3,6,8,0,21,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,3,4,0,11,4,0,0,0,0,6,8,3,3,24
POA2900,0,3,4,7,17,13,38,30,10,122,14,16,45,25,11,5,21,10,0,147,0,0,0,5,5,10,18,21,7,66,0,0,0,0,0,0,0,15,11,26,0,0,9,7,18,22,30,17,7,110,0,0,0,3,10,23,47,27,14,124,0,0,0,3,4,0,6,0,3,16,0,0,0,0,3,4,16,8,6,37,5,29,63,34,35,10,9,18,0,203,0,0,0,5,0,3,5,3,6,22,10,11,32,17,15,15,32,31,7,170,183,154,370,209,106,95,57,25,4,1203,15,19,37,4,4,16,13,14,6,128,231,221,526,307,194,182,192,126,43,2022,0,8,13,18,29,45,64,56,28,261,13,41,62,28,29,32,32,16,5,258,0,0,4,3,9,12,16,15,0,59,0,0,0,0,0,0,4,11,8,23,0,0,4,9,7,16,21,18,7,82,0,0,0,0,3,14,22,20,18,77
POA2902,5,3,13,19,83,116,209,105,32,585,117,86,87,107,82,60,77,33,13,662,3,6,7,6,14,45,125,73,18,297,0,0,0,0,0,3,7,10,9,29,0,7,4,21,66,78,153,83,16,428,0,3,8,8,30,71,150,117,20,407,0,0,4,8,6,15,25,22,11,91,0,0,5,5,7,29,58,41,9,154,47,116,110,111,122,102,64,14,0,686,0,0,4,7,3,12,13,19,3,61,97,57,79,86,120,145,138,55,14,791,1168,639,644,677,572,401,290,104,13,4508,107,72,69,62,56,37,41,18,7,469,1522,936,950,1041,1024,867,914,436,93,7783,7,4,29,63,125,218,369,188,46,1049,110,86,124,134,140,126,121,63,11,915,0,0,7,13,42,54,127,54,9,306,0,0,0,0,0,0,3,11,5,19,3,5,14,21,61,63,105,60,11,343,0,0,4,9,21,27,79,64,24,228
POA2903,0,0,7,22,41,63,124,50,11,318,95,61,56,66,56,51,42,13,5,445,0,5,3,9,13,28,47,35,15,155,0,0,0,0,0,0,4,6,5,15,0,3,9,12,33,61,109,39,8,274,7,0,3,5,16,61,104,44,8,248,0,0,0,3,4,8,28,8,0,51,3,0,0,5,9,11,33,9,3,73,37,56,76,67,67,56,42,16,0,417,0,0,6,0,4,3,26,9,0,48,69,42,32,41,67,82,84,28,6,451,784,388,436,435,350,254,173,49,9,2878,57,36,35,35,38,36,27,18,4,286,1018,564,625,649,617,560,562,206,44,4845,0,5,14,33,66,164,214,92,35,623,52,54,75,106,79,84,70,24,6,550,0,3,4,11,12,46,72,22,3,173,0,0,0,0,0,0,0,6,8,14,3,0,15,24,29,71,62,26,15,245,4,0,7,6,5,26,38,31,17,134
POA2904,0,4,10,30,58,118,179,88,32,519,132,67,80,73,61,65,65,30,8,581,0,0,0,8,11,50,65,44,25,203,0,0,0,0,0,0,3,20,17,40,0,4,13,20,45,84,135,58,20,379,0,4,6,7,26,86,157,63,44,393,0,0,5,0,8,16,36,13,11,89,0,0,0,5,6,18,41,28,10,108,33,71,76,90,77,62,45,21,11,486,0,0,0,0,4,10,27,18,12,71,74,42,55,79,86,120,128,56,21,661,1039,508,484,583,445,377,257,63,20,3776,47,40,40,32,34,30,26,11,6,266,1306,707,729,865,764,839,783,300,112,6405,0,4,13,56,94,235,275,173,119,969,76,41,81,113,83,129,85,42,24,674,0,0,0,12,29,57,78,55,27,258,0,0,0,0,0,6,11,37,60,114,0,0,9,22,49,73,87,42,20,302,0,0,3,3,6,27,55,65,64,223
POA2905,0,13,34,77,119,262,243,110,35,893,263,162,207,229,140,134,80,30,12,1257,0,0,6,19,30,109,130,64,19,377,0,0,0,0,0,7,16,11,16,50,5,14,34,62,115,203,224,88,20,765,5,12,11,23,53,152,202,104,32,594,0,3,4,3,10,21,48,29,12,130,0,9,7,12,24,44,73,40,23,232,89,203,199,215,172,152,98,23,14,1165,0,3,3,7,9,24,44,24,5,119,177,114,126,160,196,259,179,60,20,1291,2262,1297,1402,1232,1026,900,397,78,16,8610,190,124,105,116,104,98,55,30,4,826,2919,1862,2015,1965,1776,1897,1195,402,110,14141,0,18,54,114,259,505,399,238,101,1688,176,178,280,275,265,260,178,68,22,1702,5,4,22,32,69,126,131,52,20,461,0,0,0,0,0,0,8,19,23,50,3,11,26,50,107,206,143,83,33,662,3,4,7,18,32,65,97,80,60,366
POA2906,0,6,14,41,87,154,119,63,33,517,132,104,114,108,106,98,47,19,7,735,3,6,12,8,32,75,53,38,13,240,0,0,0,0,0,5,6,15,11,37,6,10,13,30,91,160,102,60,16,488,7,9,8,15,59,90,100,67,34,389,0,3,3,7,17,19,20,18,10,97,0,0,3,8,14,32,38,21,9,125,56,117,139,146,146,110,50,9,3,776,0,4,0,4,9,15,16,14,13,75,116,78,65,109,162,168,97,38,6,839,1458,877,829,737,734,566,201,56,3,5461,101,72,67,51,60,49,27,17,15,459,1844,1223,1215,1141,1295,1207,583,269,83,8860,4,6,32,82,194,287,237,145,54,1041,124,106,195,175,194,150,86,34,14,1078,0,3,8,23,47,67,60,28,14,250,0,0,0,0,0,5,9,9,7,30,5,8,16,39,83,98,79,51,14,393,0,5,3,6,33,38,63,60,33,241
POA2911,0,0,5,14,11,24,12,7,3,76,50,16,31,42,17,12,10,7,0,185,0,0,3,3,4,8,9,12,0,39,0,0,0,0,0,3,5,0,0,8,0,4,0,10,18,16,13,5,0,66,0,0,0,3,7,18,14,16,6,64,0,4,0,0,0,4,0,0,0,8,0,0,0,0,0,0,4,4,0,8,8,11,22,21,19,10,3,9,0,103,0,0,0,0,0,0,0,0,3,3,22,7,19,30,22,22,11,8,0,141,489,174,319,381,212,69,30,18,4,1696,38,9,17,22,4,3,0,3,0,96,607,223,407,515,298,142,97,49,18,2356,0,0,9,12,21,28,41,41,12,164,30,18,39,50,17,12,15,15,3,199,0,0,3,9,0,4,6,9,0,31,0,0,0,0,0,0,0,4,4,8,0,0,3,9,7,17,14,10,0,60,0,7,3,3,0,0,3,12,4,32
