POA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
POA2612,835,209,120,101,26,0,0,0,1304,12,64,23,14,20,0,0,0,133,4,37,44,75,85,88,49,14,391,847,305,188,188,134,88,49,14,1820,1264,2244,1065,619,614,422,210,54,6501,251,206,86,79,49,32,10,8,721,2370,2756,1344,883,800,541,268,79,9043,348,81,48,27,6,0,0,0,516,4,8,3,12,12,0,0,0,39,3,9,13,33,22,11,0,0,107,350,106,64,72,43,11,0,0,655,1541,2374,1049,754,680,527,285,127,7344,131,123,54,22,18,30,19,17,410,2029,2601,1169,852,743,569,308,143,8409,1183,292,170,134,33,0,0,0,1812,12,74,27,25,37,0,0,0,165,4,48,61,103,107,100,49,18,497,1199,415,258,259,180,100,49,18,2476,2810,4621,2120,1372,1297,949,498,179,13842,383,329,142,102,66,58,33,17,1134,4399,5359,2514,1731,1544,1112,581,220,17460
POA2614,4,17,18,15,0,0,0,0,51,5,6,8,20,19,0,0,0,52,3,25,60,88,86,108,128,77,577,19,46,84,118,104,108,128,77,680,1108,1307,1268,1159,874,667,546,158,7104,68,87,55,39,52,39,33,24,398,1189,1440,1408,1322,1029,819,713,262,8181,0,5,7,6,0,0,0,0,22,0,0,3,4,3,0,0,0,12,0,4,11,20,15,19,17,4,95,0,12,23,27,19,19,17,4,133,1088,1337,1404,1276,1031,1029,796,294,8253,33,75,50,37,34,41,48,49,375,1128,1426,1484,1347,1089,1089,855,350,8759,9,18,22,20,3,0,0,0,75,5,8,12,20,22,0,0,0,68,7,33,74,105,100,132,141,82,673,19,57,109,149,126,132,141,82,821,2199,2645,2675,2437,1908,1700,1342,452,15355,101,165,111,73,80,76,85,75,772,2313,2865,2893,2664,2117,1905,1569,610,16948
POA2615,9,32,29,22,14,0,0,0,109,8,28,39,30,29,0,0,0,121,9,70,159,217,261,309,204,62,1298,31,138,224,265,303,309,204,62,1529,2635,3023,3384,2673,1880,1550,759,146,16058,100,140,125,111,55,36,30,9,604,2768,3302,3733,3046,2245,1895,996,213,18196,0,16,17,3,0,0,0,0,38,0,7,5,3,3,0,0,0,20,3,27,43,62,65,54,30,9,293,5,45,66,72,72,54,30,9,349,2454,3264,3767,2947,2347,2147,1021,252,18202,79,123,109,81,58,63,28,10,547,2542,3431,3939,3098,2477,2270,1078,274,19104,17,52,45,21,18,0,0,0,146,5,31,42,33,29,0,0,0,145,9,101,199,280,324,367,236,68,1592,31,180,286,341,373,367,236,68,1887,5093,6287,7147,5618,4230,3694,1783,397,34260,178,262,229,195,116,102,55,18,1159,5307,6734,7672,6151,4718,4169,2072,481,37301
POA2617,14,41,64,52,15,0,0,0,190,5,20,22,13,17,0,0,0,81,13,83,94,101,140,183,116,63,800,36,144,177,170,177,183,116,63,1067,2839,4216,2490,1646,1273,1256,525,158,14407,125,200,113,71,56,44,24,10,639,2992,4563,2780,1889,1507,1484,665,230,16114,13,15,16,11,0,0,0,0,62,5,9,6,10,4,0,0,0,22,9,12,24,30,37,26,14,9,168,24,30,50,47,46,26,14,9,252,3030,4039,2491,1738,1596,1608,731,311,15548,144,183,87,58,52,55,24,20,616,3198,4257,2624,1844,1695,1689,767,341,16413,27,52,82,63,23,0,0,0,251,10,28,22,24,20,0,0,0,104,25,93,120,134,173,208,127,74,962,58,178,226,220,220,208,127,74,1316,5864,8259,4986,3387,2873,2862,1256,473,29948,272,385,191,127,107,97,54,25,1259,6195,8820,5406,3736,3197,3168,1432,577,32527
POA2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,4,10,4,0,35,0,5,0,12,4,10,4,0,35,82,48,67,100,79,63,43,7,496,0,0,3,5,8,4,0,0,24,85,53,73,118,89,75,51,7,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,15,0,0,0,8,5,3,0,0,15,83,50,92,109,79,88,40,5,554,3,3,3,7,3,7,0,0,24,88,53,96,119,84,96,46,5,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,3,9,7,0,45,0,5,5,11,3,9,7,0,45,166,99,158,207,163,154,85,11,1047,3,6,9,14,3,8,3,0,50,171,108,170,239,173,175,94,18,1140
POA2900,0,5,4,0,0,0,0,0,13,0,0,4,0,3,0,0,0,6,3,13,10,15,22,29,31,15,142,3,22,21,22,21,29,31,15,161,206,475,282,165,150,149,75,22,1529,11,29,3,5,8,15,18,6,100,221,526,307,194,182,192,126,43,1794,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,9,7,0,8,0,34,0,0,4,9,7,0,8,0,36,230,505,270,209,218,199,126,44,1805,9,19,10,9,7,8,16,11,88,236,521,285,225,241,213,148,61,1932,0,8,6,0,0,0,0,0,15,0,4,4,0,3,0,0,0,11,3,15,14,25,28,32,40,15,174,0,23,25,28,27,32,40,15,197,436,983,549,376,371,348,203,71,3332,17,47,20,8,17,28,33,17,186,453,1051,590,419,419,408,272,105,3720
POA2902,0,7,4,11,4,0,0,0,30,5,10,11,8,15,0,0,0,50,0,12,47,78,100,183,90,22,536,5,35,65,92,121,183,90,22,624,888,864,925,891,727,711,325,65,5397,39,51,53,36,19,26,20,5,243,936,950,1041,1024,867,914,436,93,6256,0,6,0,0,0,0,0,0,4,0,0,3,4,3,0,0,0,6,0,0,11,21,27,25,15,4,102,0,8,16,27,27,25,15,4,118,791,865,1035,1006,874,1049,423,85,6131,25,27,33,38,19,37,18,14,224,818,905,1086,1078,928,1109,457,98,6465,3,13,8,12,4,0,0,0,39,5,10,15,8,18,0,0,0,58,0,17,59,98,131,202,106,25,637,7,44,76,119,150,202,106,25,734,1682,1736,1964,1901,1603,1752,748,142,11533,63,75,91,73,40,63,35,15,461,1749,1855,2131,2100,1798,2020,887,191,12729
POA2903,0,0,0,14,6,0,0,0,20,0,8,6,6,6,0,0,0,33,0,13,14,40,63,87,43,9,278,0,26,28,58,71,87,43,9,331,548,572,600,537,466,453,149,30,3355,13,21,21,24,24,22,9,0,136,564,625,649,617,560,562,206,44,3822,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,9,26,13,10,0,55,0,4,4,18,26,13,10,0,66,450,566,670,538,609,598,187,63,3680,20,23,20,19,18,12,5,0,123,463,595,695,572,653,622,200,62,3868,0,3,0,12,6,0,0,0,25,0,7,6,4,6,0,0,0,31,0,17,21,53,90,97,56,8,341,3,34,32,67,100,97,56,8,399,994,1142,1268,1071,1078,1052,336,95,7031,33,43,47,45,45,36,15,6,258,1027,1215,1338,1185,1218,1186,404,106,7688
POA2904,3,8,13,18,6,0,0,0,47,0,8,20,7,16,0,0,0,46,9,23,36,66,100,160,65,27,492,11,36,67,89,132,160,65,27,587,682,665,776,661,699,608,221,80,4394,19,26,23,9,12,12,9,11,120,707,729,865,764,839,783,300,112,5098,6,0,6,8,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0,8,4,17,36,27,12,5,107,4,8,14,22,37,27,12,5,120,630,695,878,781,942,793,362,213,5300,11,15,25,10,18,17,24,22,148,648,718,913,816,999,832,399,238,5566,9,8,15,23,6,0,0,0,55,0,8,23,10,17,0,0,0,54,9,30,46,85,137,185,82,29,601,16,46,86,111,168,185,82,29,710,1312,1362,1657,1437,1641,1402,585,292,9687,30,42,40,26,34,33,35,32,266,1357,1451,1773,1577,1837,1615,701,349,10667
POA2905,0,14,14,30,11,0,0,0,72,5,17,25,15,29,0,0,0,85,4,50,89,135,225,233,82,38,853,9,75,128,180,269,233,82,38,1014,1795,1862,1759,1541,1589,935,305,69,9852,56,77,76,56,51,21,17,6,361,1862,2015,1965,1776,1897,1195,402,110,11220,0,3,15,6,7,0,0,0,25,0,6,8,6,4,0,0,0,16,0,14,23,35,70,30,16,3,191,0,22,42,48,77,30,16,3,234,1592,2024,1850,1857,2048,1148,481,185,11192,56,64,68,48,29,28,35,20,342,1649,2108,1961,1952,2158,1205,533,205,11769,0,16,30,33,19,0,0,0,96,5,20,31,20,34,0,0,0,104,5,61,111,171,294,269,98,41,1044,9,94,168,226,342,269,98,41,1246,3385,3887,3608,3399,3631,2078,789,260,21042,110,138,147,104,79,55,48,26,707,3507,4123,3918,3731,4058,2396,931,319,22996
