POA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA2612,0,36,96,601,727,191,39,10,1697,0,39,38,133,17,3,0,7,240,0,158,268,376,82,8,0,3,905,5,197,303,513,107,10,4,5,1138,3,274,304,79,9,0,0,12,675,18,584,676,134,10,0,0,11,1438,14,702,740,208,14,0,0,10,1688,4,588,722,197,9,0,0,11,1526,0,0,0,0,3,0,0,0,3,42,2145,2438,614,43,0,0,40,5332,0,0,0,0,0,0,0,0,0,0,7,4,4,0,0,0,0,15,52,2387,2845,1730,874,202,40,58,8191
POA2614,11,116,343,2290,2244,535,111,40,5689,0,34,482,507,45,5,0,8,1091,0,0,86,151,50,0,6,8,299,0,38,572,658,95,8,6,16,1394,10,129,249,87,6,0,0,6,489,0,29,34,19,0,0,0,0,79,0,59,67,37,0,0,0,4,166,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,12,8,219,356,143,6,0,0,10,738,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,17,366,1271,3089,2350,543,117,66,7830
POA2615,11,98,465,7157,5669,905,172,114,14580,0,95,837,951,79,8,0,20,1987,0,20,74,165,44,0,0,3,300,6,114,912,1119,117,8,0,24,2289,3,45,82,13,0,0,3,3,146,5,44,73,9,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,8,92,157,15,0,0,3,5,279,0,0,0,0,0,0,0,0,0,0,6,3,3,5,0,0,0,15,19,296,1527,8299,5798,911,173,138,17164
POA2617,8,59,171,2926,3008,743,155,67,7134,0,65,412,350,57,3,3,7,897,0,124,616,1305,195,14,0,21,2270,0,186,1025,1649,254,15,6,24,3166,0,65,171,128,27,0,0,5,391,11,245,379,69,0,0,0,6,709,5,1101,881,141,3,0,0,13,2140,11,447,402,76,0,0,0,9,938,5,0,13,4,0,3,0,0,21,22,1854,1841,406,31,3,0,31,4196,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,14,32,2101,3048,4989,3293,767,161,127,14514
POA2618,3,5,22,90,168,73,31,4,409,0,3,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,3,11,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,6,9,34,97,171,76,38,4,434
POA2900,0,0,8,53,10,5,0,0,68,0,0,76,241,28,0,0,6,349,0,10,73,180,96,0,0,3,364,0,11,151,423,124,0,0,5,709,0,5,31,98,13,0,0,0,157,0,24,109,25,3,0,0,0,157,15,218,265,41,0,0,0,10,549,0,239,164,50,0,0,0,5,459,0,0,0,0,0,0,0,0,0,18,491,568,217,13,0,0,15,1320,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,18,499,724,693,148,5,0,24,2107
POA2902,0,18,114,2269,2010,404,83,51,4953,0,25,269,315,46,0,0,4,662,0,0,27,80,6,0,0,0,111,0,25,294,400,51,0,0,7,777,0,4,64,5,0,0,0,8,80,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,5,0,0,0,19,0,24,72,8,5,0,0,8,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,72,481,2683,2067,408,83,62,5852
POA2903,0,14,75,1429,1306,273,40,15,3159,0,33,100,26,14,0,0,3,174,0,35,91,21,0,0,0,0,147,0,69,191,44,12,0,0,5,319,0,12,3,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,3,7,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,99,269,1479,1318,275,40,17,3505
POA2904,0,25,183,1497,2128,473,68,30,4398,0,0,28,149,0,0,0,4,178,0,6,35,76,11,0,0,0,124,0,4,62,224,11,0,0,4,305,0,0,0,5,7,0,0,0,14,0,0,29,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,32,5,13,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,10,0,33,279,1723,2153,473,71,33,4757
POA2905,4,29,219,4541,3210,618,107,71,8800,0,24,241,590,20,0,0,11,873,0,10,95,220,58,0,0,3,397,0,36,338,810,72,3,0,13,1263,0,0,11,194,22,0,0,4,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,16,0,0,20,198,18,0,0,4,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,65,573,5543,3304,620,107,91,10307
POA2906,5,13,63,1997,2162,440,77,49,4802,0,14,244,833,43,0,0,10,1148,0,0,17,122,38,0,0,0,186,0,18,259,953,89,6,0,10,1332,0,20,32,176,17,0,0,6,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,175,17,3,0,6,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,48,359,3134,2267,444,77,57,6393
POA2911,0,8,72,310,639,124,19,9,1170,0,0,0,8,4,5,0,0,20,0,7,131,95,6,0,0,0,244,0,7,131,104,7,5,0,0,261,4,28,9,0,0,0,0,0,45,0,27,54,0,0,0,0,0,89,0,19,65,35,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,4,79,135,41,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,95,335,456,651,129,19,12,1689
POA2912,0,18,12,272,680,132,23,12,1142,0,0,0,36,3,0,0,0,41,12,77,95,173,138,22,0,4,522,12,77,95,208,144,22,0,4,559,0,0,20,0,0,0,0,0,21,0,144,50,3,0,0,0,0,196,0,289,357,24,0,0,0,8,687,0,81,393,112,0,0,0,5,593,0,0,0,0,0,0,0,0,0,0,516,823,139,5,0,0,15,1498,0,0,0,0,0,0,0,0,3,0,5,0,0,4,0,0,0,19,10,617,935,620,832,152,23,38,3225
POA2913,0,23,451,3564,4256,968,118,91,9482,0,28,587,1228,53,3,0,17,1915,0,28,318,885,138,5,0,15,1394,0,55,904,2116,193,12,0,30,3305,0,11,40,7,0,0,0,0,59,0,259,280,45,4,0,0,7,590,0,106,178,61,0,0,0,3,350,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,380,502,118,5,0,0,8,1007,0,0,0,0,0,0,0,0,0,0,0,6,5,12,0,0,0,21,3,453,1863,5799,4457,984,120,133,13809
POA2914,3,30,168,1863,4785,773,77,72,7765,0,4,110,288,31,0,0,3,448,0,69,316,861,244,6,0,14,1509,0,72,427,1143,283,9,0,15,1957,0,12,45,17,3,0,0,0,76,0,126,169,116,31,0,0,11,453,0,252,262,49,24,0,0,7,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,385,481,182,52,0,0,18,1119,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,12,9,491,1079,3195,5116,786,76,105,10857
