POA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA2617,2126,2740,769,69,5698,1134,303,7134,244,120,76,17,460,381,56,897,691,405,211,62,1366,542,354,2270,941,528,292,71,1828,926,412,3166,125,58,27,8,223,114,61,391,203,48,35,17,302,333,73,709,728,172,81,32,1012,960,161,2140,349,84,30,14,478,360,94,938,7,3,0,0,19,10,0,21,1415,368,174,72,2030,1773,389,4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,9,5,14,4479,3639,1233,220,9560,3840,1106,14514
POA2618,130,193,28,0,354,52,8,409,0,0,0,0,5,5,0,15,0,0,0,0,0,0,0,3,4,0,0,0,6,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,9,5,0,9,141,196,28,0,363,64,8,434
POA2900,26,13,5,0,47,20,4,68,98,43,54,5,195,136,10,349,111,81,50,4,248,90,25,364,207,121,104,8,444,231,39,709,57,32,17,0,110,38,8,157,42,17,12,3,73,73,8,157,140,51,42,3,237,295,17,549,119,40,30,8,196,255,13,459,0,0,0,0,0,0,0,0,355,144,103,10,616,663,45,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,589,277,219,21,1111,916,84,2107
POA2902,1460,1771,640,53,3921,921,105,4953,143,78,84,5,314,330,29,662,19,16,16,3,58,50,8,111,163,97,103,13,367,380,32,777,6,0,7,0,15,62,0,80,0,0,0,0,0,18,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,7,6,0,19,12,4,8,4,28,85,3,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1630,1868,752,70,4321,1387,146,5852
POA2903,958,1170,351,28,2519,572,63,3159,29,17,15,6,66,101,9,174,27,17,21,0,63,79,3,147,53,33,39,0,129,176,11,319,3,0,6,0,7,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,5,3,0,6,0,12,15,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,1205,401,37,2658,768,74,3505
POA2904,1335,1745,453,36,3567,761,69,4398,38,20,23,0,85,97,3,178,24,25,30,0,82,41,3,124,67,44,52,0,164,133,9,305,6,0,0,0,9,5,0,14,3,3,0,0,8,20,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,3,0,23,21,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,10,1420,1794,501,39,3754,930,77,4757
POA2905,2304,3524,1118,101,7046,1565,180,8800,165,132,138,7,438,402,22,873,78,92,77,5,249,121,18,397,245,218,214,10,689,530,47,1263,49,46,35,0,127,99,3,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,10,3,0,16,54,48,38,3,137,100,3,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,2600,3791,1373,114,7881,2194,229,10307
POA2906,1242,2193,610,33,4076,668,58,4802,261,210,200,8,674,451,20,1148,48,46,32,0,120,53,12,186,303,251,227,6,796,508,33,1332,44,43,39,4,128,123,7,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,47,39,4,132,123,7,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1592,2490,871,48,4997,1299,100,6393
POA2911,269,664,85,12,1033,104,33,1170,5,8,0,0,14,4,0,20,62,67,21,0,156,64,18,244,66,75,29,0,174,69,18,261,9,3,4,0,22,23,4,45,28,9,6,0,40,45,0,89,35,0,0,0,39,82,0,119,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,6,76,16,6,0,103,145,6,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,756,117,17,1303,327,59,1689
POA2912,234,571,121,16,936,116,89,1142,9,13,6,0,31,9,0,41,152,159,46,8,368,103,53,522,163,174,56,10,397,109,54,559,4,0,6,0,7,18,0,21,57,19,9,0,92,105,5,196,231,99,47,8,386,267,29,687,223,81,40,20,357,194,43,593,0,0,0,0,0,0,0,0,507,210,99,30,843,576,75,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,9,9,0,19,909,956,279,51,2192,814,222,3225
POA2913,2301,4588,912,89,7894,1329,257,9482,414,423,285,22,1135,700,77,1915,368,416,165,17,966,345,80,1394,780,836,447,36,2104,1047,157,3305,20,11,0,0,28,19,11,59,175,87,45,5,313,238,39,590,125,51,19,8,202,115,32,350,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,318,149,65,18,546,376,79,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,0,15,4,4,21,3401,5579,1432,141,10561,2748,493,13809
POA2914,1443,4634,732,62,6867,703,196,7765,98,147,60,8,316,118,12,448,345,522,217,32,1115,312,81,1509,446,674,274,41,1431,429,98,1957,14,18,12,0,48,27,0,76,122,97,39,4,257,157,46,453,202,86,36,8,337,228,34,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,206,83,11,638,409,81,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,12,2228,5509,1089,116,8944,1538,378,10857
