POA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
POA2612,0,25,..,230,12,235,0,235,..,44,0,45,0,45,..,37,0,37,0,37,..,9,4,13,0,10,..,67,21,89,0,89,..,14,0,16,0,16,..,4,0,6,0,6,..,18,8,25,0,25,..,23,4,30,0,30,..,20,0,20,0,20,..,21,0,21,0,21,..,14,0,14,0,14,..,14,0,16,0,16,..,26,0,24,0,24,..,35,0,41,0,41,..,33,0,33,0,33,..,17,0,17,0,20,..,107,0,112,0,112,..,86,11,94,3,99,..,35,0,36,0,36,..,22,6,24,0,24,..,3,0,3,0,3,..,73,13,85,0,85,..,198,18,222,3,224,..,1862,167,2032,15,2047,..,25,6,32,409,441,6673,1887,169,2067,425,9154,13825,..,..,..,..,13825,..,12,0,12,0,12,..,77,8,84,0,84,..,12,0,12,0,12,..,214,11,227,3,228,..,828,85,913,0,913
POA2614,0,8,..,374,25,396,0,398,..,64,11,76,0,79,..,38,0,43,4,44,..,12,6,18,0,18,..,27,0,23,0,23,..,13,0,14,0,14,..,18,0,18,0,18,..,19,8,23,0,23,..,12,0,15,0,15,..,8,4,16,0,16,..,15,0,18,0,21,..,7,0,7,0,7,..,15,7,21,0,21,..,28,0,27,0,27,..,27,4,35,0,35,..,44,0,44,0,44,..,8,0,8,0,8,..,106,7,111,0,111,..,82,17,102,0,106,..,14,0,17,0,16,..,42,3,47,0,47,..,9,0,9,0,9,..,114,34,148,3,148,..,295,33,320,3,328,..,1811,249,2062,17,2079,..,40,4,43,366,415,8051,1859,251,2111,387,10545,15634,..,..,..,..,15634,..,15,0,13,0,13,..,84,17,107,0,107,..,12,0,12,0,12,..,97,22,120,0,120,..,395,85,480,4,484
POA2615,0,28,..,932,73,1005,4,1009,..,128,18,142,0,142,..,52,5,57,0,57,..,36,8,39,0,45,..,22,12,32,0,32,..,23,8,27,0,27,..,46,0,45,0,45,..,46,11,50,0,50,..,51,0,53,0,54,..,24,5,28,0,26,..,49,10,57,3,59,..,27,3,31,3,29,..,37,5,40,0,42,..,106,0,104,0,104,..,57,3,56,0,56,..,177,3,180,0,180,..,33,0,33,0,33,..,374,7,380,0,380,..,241,33,267,0,270,..,47,0,47,0,49,..,63,19,78,0,78,..,13,0,13,0,13,..,286,84,372,0,371,..,757,151,908,19,927,..,4217,623,4842,43,4880,..,79,17,94,649,745,18303,4295,643,4936,693,23932,36574,..,..,..,..,36574,..,73,0,74,0,75,..,338,78,421,5,421,..,42,0,41,0,41,..,190,39,227,6,229,..,521,154,676,5,681
POA2617,0,50,..,1088,49,1134,10,1143,..,136,14,148,0,151,..,62,0,68,0,64,..,19,4,21,0,21,..,150,36,180,0,187,..,33,5,38,0,38,..,70,0,74,0,79,..,70,9,77,0,77,..,53,8,55,0,55,..,41,4,48,0,48,..,40,9,46,0,46,..,37,3,46,0,46,..,53,0,54,0,60,..,87,0,87,0,87,..,78,3,80,0,80,..,122,0,122,0,123,..,37,0,35,0,35,..,318,3,323,0,330,..,210,27,232,6,238,..,110,0,108,0,110,..,84,14,99,0,99,..,10,6,10,0,10,..,306,67,369,7,373,..,690,75,762,9,768,..,5514,596,6107,46,6151,..,87,11,102,622,725,12154,5599,608,6208,668,19026,24533,..,..,..,..,24533,..,36,0,36,0,36,..,333,23,357,0,357,..,22,0,22,0,22,..,456,93,550,6,557,..,2116,365,2480,13,2492
POA2618,0,0,..,5,0,5,0,5,..,5,0,5,0,5,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,46,0,48,0,48,..,5,0,5,30,31,640,43,0,46,30,720,1250,..,..,..,..,1250,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,5,0,5,0,5,..,8,7,16,0,16
POA2900,0,15,..,151,10,158,3,167,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,8,5,17,0,17,..,3,0,3,0,3,..,15,0,15,0,15,..,5,0,5,0,5,..,5,0,5,0,5,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,16,0,16,..,7,0,3,0,3,..,15,0,15,0,15,..,4,0,4,0,4,..,37,0,38,0,38,..,12,0,16,0,16,..,10,0,12,0,12,..,4,3,12,0,14,..,0,0,7,0,7,..,18,4,21,0,21,..,66,7,74,3,77,..,454,47,498,9,505,..,14,0,14,90,108,1542,474,47,515,103,2153,2977,..,..,..,..,2977,..,0,0,0,0,0,..,34,5,38,0,38,..,7,0,7,0,7,..,38,4,43,0,43,..,35,7,45,0,44
POA2902,0,3,..,151,8,169,0,169,..,40,7,43,0,48,..,29,3,25,0,25,..,0,0,0,0,0,..,18,5,28,0,28,..,13,0,13,0,13,..,75,3,83,0,85,..,5,0,6,0,10,..,21,0,25,0,25,..,8,0,8,0,8,..,15,0,15,0,15,..,19,0,19,0,19,..,22,3,23,0,23,..,22,0,22,0,22,..,19,0,19,0,19,..,27,0,27,0,30,..,11,0,11,0,11,..,75,0,75,0,75,..,56,12,63,0,66,..,12,3,12,0,12,..,17,5,27,0,27,..,3,0,3,0,3,..,21,11,36,0,39,..,134,24,157,3,159,..,1001,128,1136,7,1147,..,26,0,27,246,279,6463,1033,130,1161,264,7886,12902,..,..,..,..,12902,..,24,0,24,0,24,..,86,19,105,0,105,..,3,0,3,0,3,..,50,16,60,0,60,..,74,21,91,0,90
POA2903,0,12,..,121,7,134,0,132,..,26,7,35,0,35,..,7,0,10,0,8,..,6,3,3,0,3,..,13,0,17,0,17,..,4,0,4,0,4,..,52,10,62,0,62,..,8,0,8,0,8,..,9,6,15,0,15,..,7,0,8,0,8,..,13,6,13,0,13,..,3,0,3,0,3,..,9,0,11,0,11,..,9,0,9,0,9,..,16,0,16,0,16,..,17,0,17,0,17,..,6,0,6,0,6,..,52,0,52,0,52,..,39,3,47,0,42,..,24,0,24,0,24,..,26,3,28,0,33,..,4,0,6,0,8,..,18,8,24,0,26,..,118,14,133,3,134,..,716,89,808,6,818,..,10,9,15,134,152,3775,731,96,826,150,4750,7717,..,..,..,..,7717,..,7,0,7,0,7,..,70,8,82,0,82,..,20,0,20,0,20,..,36,8,45,0,42,..,85,15,96,0,96
POA2904,0,4,..,162,8,173,0,176,..,35,4,34,0,34,..,17,0,17,0,17,..,4,0,0,0,0,..,10,0,10,0,10,..,8,0,8,0,8,..,43,4,44,0,44,..,21,0,21,0,21,..,9,0,9,0,9,..,4,0,5,0,5,..,9,0,9,0,9,..,10,0,10,0,10,..,20,0,23,0,23,..,14,0,14,0,14,..,7,0,10,0,10,..,27,0,27,0,27,..,8,0,8,0,8,..,50,0,51,0,51,..,64,12,76,0,76,..,29,0,28,0,28,..,15,0,17,0,17,..,0,0,0,0,0,..,59,18,73,0,73,..,131,21,152,9,161,..,1015,109,1123,7,1133,..,27,4,28,147,175,5478,1034,114,1153,156,6790,10744,..,..,..,..,10744,..,39,0,39,0,39,..,172,14,185,0,183,..,11,0,11,0,8,..,47,16,65,0,65,..,104,22,121,0,124
POA2905,0,13,..,344,35,375,6,378,..,59,10,64,0,68,..,14,0,15,0,15,..,3,3,4,0,4,..,17,0,17,0,17,..,26,3,25,0,25,..,134,8,142,0,148,..,19,3,19,0,19,..,39,0,43,0,43,..,21,0,24,0,24,..,28,0,25,0,25,..,34,0,34,0,34,..,51,5,62,0,62,..,58,0,58,0,53,..,13,0,13,0,13,..,104,5,105,0,105,..,26,0,22,0,25,..,194,4,200,3,200,..,96,19,108,4,117,..,46,0,47,0,47,..,37,12,49,0,49,..,0,0,0,0,0,..,119,33,151,3,155,..,304,66,375,3,379,..,2111,275,2383,25,2410,..,45,0,47,380,423,11758,2152,284,2431,405,14593,23248,..,..,..,..,23248,..,38,0,38,4,40,..,383,60,442,4,445,..,19,0,21,0,21,..,114,46,162,0,165,..,133,26,155,3,161
POA2906,0,6,..,268,17,285,9,292,..,35,3,41,0,41,..,12,0,12,0,12,..,4,5,8,0,8,..,6,0,6,0,6,..,15,0,18,0,18,..,82,7,86,0,86,..,13,4,20,0,20,..,31,4,38,0,38,..,17,0,22,0,22,..,8,0,8,0,8,..,12,0,12,0,12,..,19,0,23,0,23,..,48,4,49,0,49,..,14,0,14,0,14,..,62,0,62,0,64,..,21,0,21,0,21,..,142,8,142,0,145,..,52,5,58,0,58,..,30,0,35,0,35,..,31,10,34,0,34,..,0,0,0,0,0,..,60,22,83,0,83,..,182,30,215,3,220,..,1305,141,1446,18,1464,..,20,0,17,240,262,7520,1321,142,1464,259,9245,14848,..,..,..,..,14848,..,16,0,16,0,16,..,152,25,174,0,175,..,8,0,6,0,6,..,74,16,91,0,91,..,78,15,97,0,97
POA2911,0,4,..,234,16,243,4,246,..,11,0,12,0,12,..,12,0,12,0,12,..,3,4,7,0,7,..,14,3,24,0,24,..,4,0,4,0,4,..,20,0,20,0,20,..,5,0,10,0,10,..,0,0,0,0,0,..,13,0,13,0,13,..,4,0,11,0,11,..,0,0,0,0,0,..,15,3,15,0,15,..,8,0,8,0,8,..,6,0,6,0,6,..,19,4,23,0,23,..,0,0,0,0,0,..,27,4,28,0,28,..,17,7,22,0,22,..,22,0,26,0,25,..,8,0,5,0,5,..,0,0,0,0,5,..,25,7,29,0,33,..,112,8,126,3,128,..,833,98,931,10,944,..,16,0,13,52,70,1454,847,100,942,58,2459,2807,..,..,..,..,2807,..,5,0,5,0,5,..,47,0,46,0,49,..,3,0,3,0,3,..,85,21,101,0,106,..,331,66,396,6,394
POA2912,0,18,..,528,25,555,8,559,..,12,0,12,0,12,..,10,0,10,0,10,..,5,0,5,0,5,..,77,50,128,4,126,..,14,0,16,0,16,..,8,0,8,0,8,..,29,6,29,0,29,..,11,0,11,0,11,..,12,0,18,0,18,..,5,0,5,0,5,..,3,0,3,0,3,..,12,0,14,0,14,..,32,0,32,0,32,..,7,0,7,0,7,..,37,0,37,0,37,..,10,0,10,0,10,..,82,0,82,0,82,..,34,12,42,0,42,..,34,0,36,0,33,..,23,0,19,0,19,..,11,4,12,0,12,..,91,25,119,0,119,..,166,26,196,6,199,..,1674,282,1957,16,1979,..,35,3,38,143,185,2100,1710,286,1999,164,4264,4173,..,..,..,..,4173,..,25,0,23,0,23,..,70,14,84,0,87,..,13,0,14,0,14,..,142,36,175,0,177,..,588,247,833,9,840
POA2913,3,72,..,1942,138,2074,24,2100,..,92,7,102,3,104,..,62,3,65,0,70,..,19,6,25,0,25,..,141,68,210,3,211,..,43,8,49,0,49,..,80,3,83,5,88,..,40,12,56,0,56,..,36,6,38,0,39,..,59,3,65,0,65,..,49,0,50,0,45,..,11,5,13,0,14,..,51,8,60,0,60,..,85,0,90,4,92,..,62,3,68,0,68,..,133,3,132,0,132,..,45,0,49,0,49,..,324,9,337,4,342,..,155,25,178,0,182,..,129,7,131,4,136,..,77,9,86,0,84,..,17,0,22,0,20,..,299,92,393,4,391,..,742,116,861,17,880,..,6008,866,6873,83,6958,..,104,19,124,536,662,12199,6105,888,6995,624,19820,24225,..,..,..,..,24225,..,147,0,145,0,145,..,341,51,388,0,390,..,19,5,22,0,22,..,441,122,561,0,561,..,1500,412,1918,16,1925
POA2914,0,81,..,2168,163,2337,13,2349,..,54,3,57,0,57,..,41,0,44,0,44,..,6,3,16,0,16,..,191,76,267,0,267,..,42,3,41,0,41,..,112,3,118,0,118,..,38,7,50,0,50,..,31,0,33,0,33,..,57,5,58,0,58,..,35,8,40,0,40,..,39,0,41,0,41,..,45,6,45,0,50,..,109,0,109,0,110,..,49,0,49,0,49,..,133,4,136,3,138,..,27,0,26,0,25,..,317,7,322,0,326,..,177,14,194,4,196,..,219,15,231,0,232,..,49,13,59,0,59,..,11,0,14,0,16,..,242,64,307,0,307,..,879,104,981,20,1003,..,6155,765,6925,69,6996,..,85,25,111,512,624,9668,6242,790,7035,581,17283,19371,..,..,..,..,19371,..,119,0,119,0,119,..,344,55,394,5,398,..,11,0,11,0,11,..,364,87,453,0,456,..,1300,388,1686,18,1708
