POA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA2612,0,69,0,69,..,38,15,48,0,47,..,12,0,12,0,12,..,127,17,143,0,143,..,395,44,436,9,448,..,3616,300,3917,22,3939,..,61,15,74,1128,1201,13825,3677,316,3989,1153,18965
POA2614,0,25,0,26,..,71,3,75,0,75,..,23,0,26,0,26,..,218,56,276,4,282,..,606,70,672,11,689,..,3599,448,4049,41,4088,..,79,7,81,785,876,15634,3673,452,4129,825,20595
POA2615,0,98,0,101,..,91,23,119,0,121,..,27,4,32,0,28,..,517,159,673,0,680,..,1492,261,1746,31,1780,..,8036,1118,9159,83,9240,..,178,33,206,1332,1537,36574,8209,1155,9363,1414,47356
POA2617,3,215,0,223,..,116,24,138,0,138,..,31,4,36,0,36,..,521,108,623,10,632,..,1334,143,1475,19,1494,..,10824,1164,11991,99,12088,..,155,22,181,1270,1450,24533,10984,1189,12169,1370,38073
POA2618,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,84,5,92,0,92,..,5,0,5,61,59,1250,84,5,94,61,1397
POA2900,0,41,5,42,..,15,6,19,0,23,..,5,5,9,0,11,..,18,4,25,0,25,..,132,7,139,0,142,..,899,72,972,19,993,..,28,4,29,183,212,2977,925,75,1000,202,4177
POA2902,3,27,0,27,..,32,13,42,0,42,..,7,0,7,0,7,..,56,20,72,0,75,..,266,42,316,4,314,..,1931,247,2179,23,2197,..,47,0,46,525,570,12902,1979,250,2225,545,15670
POA2903,0,42,0,42,..,35,8,42,0,41,..,4,0,6,0,7,..,37,7,53,0,55,..,220,29,247,3,247,..,1386,157,1545,11,1560,..,26,8,27,276,304,7717,1408,169,1578,288,9588
POA2904,0,63,0,63,..,27,3,28,0,28,..,0,0,0,0,0,..,106,17,128,0,128,..,254,29,287,8,297,..,1927,184,2107,20,2129,..,47,9,58,268,317,10744,1974,191,2164,290,13196
POA2905,7,91,0,91,..,58,21,77,0,77,..,4,0,4,0,10,..,223,49,278,3,277,..,606,111,719,11,733,..,4065,492,4558,53,4612,..,84,7,84,786,873,23248,4144,500,4646,844,28731
POA2906,0,60,0,60,..,45,13,52,0,52,..,0,0,0,0,0,..,113,27,148,0,144,..,351,65,420,5,430,..,2452,263,2721,24,2746,..,41,4,49,463,509,14848,2494,273,2764,489,18107
POA2911,0,49,6,52,..,8,5,8,0,8,..,7,0,7,0,13,..,45,9,54,0,56,..,238,17,258,3,258,..,1673,173,1852,16,1869,..,25,5,29,110,130,2807,1700,183,1878,126,4804
POA2912,0,68,3,71,..,27,3,29,0,33,..,21,4,21,0,21,..,170,38,211,0,211,..,368,61,425,3,430,..,3403,626,4027,33,4054,..,67,11,77,298,379,4173,3465,638,4103,335,8604
POA2913,18,269,9,270,..,106,22,128,0,128,..,33,0,35,0,42,..,582,151,735,4,735,..,1546,235,1781,51,1832,..,12073,1620,13688,158,13851,..,182,26,205,1107,1314,24225,12251,1646,13894,1268,39396
POA2914,22,482,3,486,..,82,16,98,0,98,..,38,0,36,3,41,..,420,104,530,0,525,..,1777,187,1967,48,2012,..,12357,1443,13801,135,13937,..,179,38,217,1058,1272,19371,12537,1481,14020,1184,34576
