POA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
POA2612,143,817,688,3832,24,5504,3,14,11,176,0,204,1424,30,58,44,10,1566,97,15,12,48,0,172,117,59,46,144,0,366,1191,785,654,3797,24,6451,166,4,36,7,3,216,86,32,14,66,0,198,257,103,87,484,0,931,82,38,15,105,0,240,31,12,8,12,0,63,488,25,23,7,0,543,350,225,203,1884,11,2673,205,100,54,321,3,683,199,4,16,3,0,222,26,10,3,21,0,60,38,12,5,16,0,71,22,9,4,31,5,71,33,6,7,4,0,50,81,29,30,11,0,151,114,22,30,75,0,241,58,4,13,29,0,104,16,8,3,4,0,31,389,225,167,1437,10,2228,43,7,5,8,0,63,49,10,6,0,0,65,76,8,15,11,0,110,67,3,10,7,0,87,194,10,10,9,0,223,52,22,18,79,0,171,1884,253,265,354,12,2768,56,7,8,40,1143,1254,6550,1611,1388,8193,1219,18961
POA2614,200,931,718,4944,33,6826,9,24,11,261,4,309,812,33,68,73,3,989,110,26,23,40,3,202,130,69,40,122,3,364,1330,796,679,4495,37,7337,173,4,31,9,0,217,89,19,17,60,0,185,238,90,70,505,4,907,161,33,17,60,5,276,52,19,3,26,0,100,514,19,11,13,4,561,283,220,155,2056,4,2718,278,90,24,279,3,674,66,0,19,3,0,88,12,18,0,13,0,43,23,5,0,4,0,32,23,8,13,30,0,74,26,16,9,8,0,59,54,34,21,12,0,121,109,28,24,80,0,241,63,11,12,18,0,104,29,6,0,0,0,35,383,194,190,1706,9,2482,47,10,3,9,0,69,34,14,3,8,0,59,78,6,4,13,0,101,60,9,7,8,0,84,268,3,17,12,0,300,58,24,22,107,0,211,2281,271,258,382,20,3212,93,10,5,60,782,950,6686,1670,1351,10005,890,20602
POA2615,502,2042,1621,12937,60,17162,11,66,26,1126,12,1241,1204,46,101,110,4,1465,255,63,21,124,0,463,293,138,87,346,6,870,2600,1754,1273,10805,78,16510,714,19,121,33,9,896,125,19,15,90,0,249,518,221,165,1240,5,2149,246,61,34,186,3,530,97,30,28,65,0,220,1395,30,26,31,0,1482,605,427,291,4412,22,5757,492,167,96,665,8,1428,95,3,13,4,0,115,78,16,8,31,0,133,62,12,0,6,0,80,48,28,15,107,0,198,101,24,17,15,0,157,115,67,64,56,0,302,254,72,40,178,0,544,128,17,26,33,3,207,71,32,10,3,3,119,669,455,318,3360,11,4813,118,14,9,25,3,169,121,29,21,14,0,185,205,21,22,36,0,284,150,13,7,8,0,178,672,14,35,9,4,734,119,54,35,191,0,399,5486,560,534,806,37,7423,216,10,9,184,1311,1730,14784,3652,2819,24578,1522,47355
POA2617,365,1288,1165,7897,59,10774,7,27,30,584,4,652,3509,49,104,94,13,3769,317,32,18,119,5,491,206,100,58,197,3,564,1870,1143,916,6843,60,10832,564,10,74,7,0,655,85,22,14,67,0,188,375,132,117,865,6,1495,242,54,24,180,4,504,74,24,15,37,0,150,1614,24,18,23,3,1682,443,249,204,3005,12,3913,570,151,87,566,7,1381,349,3,14,6,0,372,61,12,6,39,0,118,77,17,0,25,0,119,46,19,9,62,0,136,46,13,13,12,4,88,86,46,46,25,0,203,231,36,28,111,0,406,94,19,16,34,0,163,97,16,7,4,3,127,454,322,253,2439,13,3481,137,20,12,15,0,184,92,17,16,5,0,130,202,14,12,35,0,263,183,7,20,14,3,227,636,9,41,9,3,698,86,34,31,118,0,269,5528,401,426,555,32,6942,222,11,10,134,1304,1681,16316,2436,2112,15714,1491,38069
POA2618,6,73,52,470,11,612,0,0,3,22,0,25,19,0,0,4,0,23,18,7,0,12,0,37,10,0,5,25,0,40,69,54,38,363,9,533,0,0,4,0,0,4,0,0,0,4,0,4,11,7,9,30,0,57,3,0,3,5,0,11,0,5,3,3,0,11,7,0,0,0,0,7,9,11,11,155,0,186,11,6,0,40,0,57,0,0,0,0,0,0,5,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,9,3,3,0,24,18,0,4,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,23,20,124,0,192,6,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,12,52,19,11,27,0,109,0,0,0,5,52,57,240,122,92,877,74,1405
POA2900,44,161,106,811,4,1126,4,11,0,72,7,94,129,3,13,4,0,149,39,4,0,13,0,56,35,20,8,24,0,87,273,138,104,863,10,1388,72,0,11,0,0,83,13,0,3,11,0,27,44,24,10,129,0,207,20,5,0,16,0,41,11,6,0,3,0,20,275,3,3,0,0,281,59,42,14,353,7,475,38,12,9,53,0,112,35,0,0,0,0,35,10,0,0,0,0,10,8,3,0,8,0,19,0,3,0,6,0,9,5,4,0,0,0,9,7,6,0,3,0,16,26,3,3,12,0,44,7,3,3,8,0,21,4,0,0,0,0,4,60,49,27,309,0,445,8,3,0,0,0,11,5,0,0,0,0,5,25,0,0,3,0,28,16,3,3,0,0,22,21,0,0,0,0,21,4,5,0,11,0,20,578,53,31,76,3,741,23,4,0,11,175,213,1621,316,202,1832,204,4175
POA2902,128,702,557,4256,25,5668,12,42,13,396,0,463,223,9,22,37,0,291,99,26,6,34,5,170,123,37,36,120,0,316,1043,626,467,3757,18,5911,146,0,26,0,0,172,41,10,14,29,0,94,216,80,58,495,4,853,56,19,22,57,0,154,36,8,4,30,0,78,363,6,4,8,0,381,236,144,115,1746,7,2248,156,73,30,236,7,502,31,0,14,3,0,48,27,6,7,11,0,51,21,7,0,0,0,28,20,5,4,40,0,69,15,8,6,6,0,35,49,25,22,20,0,116,87,19,20,42,0,168,46,3,7,5,0,61,38,10,4,0,0,52,282,179,125,1325,5,1916,60,8,0,16,0,84,56,6,9,4,0,75,92,8,5,22,0,127,29,0,5,4,0,38,62,0,3,0,0,65,58,20,13,65,0,156,1254,210,181,282,3,1930,62,3,8,44,526,643,4177,1293,1000,8620,587,15677
POA2903,105,418,345,2663,6,3537,3,20,10,299,0,332,191,12,27,19,0,249,48,10,4,23,0,85,84,28,14,66,0,192,564,359,256,2173,19,3371,79,4,16,9,0,108,26,10,7,27,0,70,80,30,33,232,0,375,51,16,9,32,0,108,29,7,3,20,0,59,281,4,4,13,4,306,148,93,61,967,10,1279,135,42,19,140,0,336,36,3,7,8,0,54,10,0,6,3,0,19,15,0,0,7,0,22,11,11,3,18,0,43,10,7,11,8,0,36,39,19,12,17,0,87,50,10,8,24,0,92,30,3,3,11,0,47,23,3,0,0,0,26,173,121,95,699,8,1096,29,5,0,12,0,46,15,14,5,6,0,40,62,13,9,12,0,96,31,5,4,3,0,43,46,4,4,5,0,59,27,9,4,46,0,86,888,107,114,168,7,1284,50,7,6,22,276,361,2775,776,606,5112,322,9591
POA2904,147,552,464,3649,25,4837,7,17,7,259,0,290,272,18,31,42,0,363,110,4,6,56,0,176,112,45,22,104,0,283,850,494,367,3135,28,4874,111,12,22,7,0,152,49,11,12,27,0,99,177,51,37,342,0,607,75,13,10,45,0,143,31,8,9,6,0,54,335,7,7,6,0,355,228,121,92,1242,7,1690,153,54,16,209,4,436,17,0,4,0,0,21,92,10,8,15,0,125,31,4,0,10,0,45,29,10,11,33,4,87,11,19,0,9,0,39,43,18,10,17,0,88,83,17,15,35,0,150,31,5,7,14,0,57,22,3,0,0,0,25,263,101,111,1008,3,1486,61,6,10,13,0,90,64,6,6,9,0,85,74,11,5,26,4,120,56,4,7,0,0,67,130,0,8,0,0,138,53,11,5,37,0,106,1094,147,171,211,6,1629,49,5,0,61,250,365,3975,1027,830,7056,310,13198
POA2905,279,1234,927,8471,46,10957,9,49,24,854,5,941,470,19,60,77,3,629,155,49,12,97,0,313,230,86,69,221,3,609,1613,1036,753,6862,41,10305,431,14,52,26,0,523,58,16,13,51,0,138,315,113,88,760,9,1285,98,24,14,87,0,223,53,10,15,40,0,118,799,19,23,10,4,855,310,220,177,2569,12,3288,273,94,46,420,3,836,34,0,5,3,0,42,132,47,7,27,0,213,54,15,9,31,0,109,86,28,24,79,0,217,61,28,29,18,0,136,84,65,29,22,0,200,166,31,27,90,0,314,55,7,3,21,0,86,103,16,14,7,0,140,414,261,219,2106,14,3014,133,31,15,24,0,203,58,10,16,8,0,92,184,21,12,51,4,272,54,11,9,4,0,78,310,10,21,9,0,350,74,25,9,87,0,195,2401,363,282,469,19,3534,104,15,11,113,773,1016,8023,2243,1693,15872,901,28732
POA2906,199,841,621,5361,31,7053,0,41,23,458,4,526,305,20,26,49,3,403,126,38,12,86,0,262,125,48,26,132,0,331,1079,715,546,4241,27,6608,301,11,30,10,0,352,37,6,6,33,0,82,187,61,57,460,4,769,68,28,13,54,0,163,29,5,10,25,0,69,472,15,8,8,0,503,201,144,115,1557,14,2031,179,75,29,330,3,616,18,0,8,0,0,26,32,22,7,13,0,74,38,6,4,14,0,62,40,15,18,62,0,135,45,15,4,11,0,75,45,63,29,25,6,168,136,30,14,80,0,260,29,3,10,21,0,63,25,8,0,0,0,33,287,152,120,1184,12,1755,58,13,9,24,0,104,58,8,11,4,0,81,110,27,13,24,3,177,62,10,7,3,0,82,164,3,17,0,0,184,27,18,12,62,0,119,1617,231,209,279,5,2341,63,3,13,78,463,620,5055,1477,1134,9896,541,18103
