POA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
POA2612,0,12,0,12,504,66,580,0,22,0,19,1571,196,1785,140,33,0,177,2369,212,2756,350,28,8,382,874,91,1344,251,12,9,273,530,77,883,60,37,7,103,653,49,800,5,90,0,89,414,40,541,0,39,0,41,215,15,268,0,0,0,0,72,9,79,806,266,25,1095,7207,747,9043,0,18,0,21,353,35,408,5,43,0,48,1466,108,1618,194,60,4,264,2217,128,2601,436,36,17,485,629,57,1169,227,37,9,274,555,20,852,25,84,3,114,609,17,743,0,158,0,156,383,27,569,0,39,0,42,256,20,308,0,0,0,0,126,8,143,891,480,37,1403,6585,426,8409,0,32,0,36,854,98,990,5,58,0,68,3038,303,3406,338,96,4,439,4582,340,5359,781,60,27,867,1505,146,2514,480,51,18,543,1086,99,1731,87,121,9,218,1254,68,1544,6,244,0,250,802,66,1112,0,79,0,78,471,32,581,0,4,0,4
POA2614,0,29,0,29,502,11,541,3,17,0,21,573,57,651,238,37,4,273,1069,97,1440,761,26,37,817,531,59,1408,562,21,20,602,673,44,1322,92,61,5,154,825,50,1029,11,150,0,160,624,33,819,4,75,0,74,594,37,713,0,8,0,8,233,22,262,1670,409,60,2135,5625,414,8181,0,44,0,44,482,17,544,20,34,0,55,510,17,585,350,47,18,410,935,74,1426,897,50,62,1006,420,51,1484,517,50,27,593,708,43,1347,32,151,3,187,859,35,1089,8,279,0,291,760,46,1089,0,97,0,104,709,44,855,0,6,0,5,291,54,350,1838,753,109,2698,5678,387,8759,0,74,0,78,979,25,1085,20,48,0,72,1083,79,1236,588,78,19,689,2003,172,2865,1659,71,100,1825,949,113,2893,1080,71,45,1200,1382,84,2664,131,206,5,340,1686,91,2117,21,429,0,445,1381,78,1905,7,173,0,179,1309,83,1569,0,6,0,11
POA2615,3,77,0,82,1299,46,1432,26,44,0,71,1204,65,1337,856,81,18,954,2194,153,3302,2044,68,72,2183,1422,125,3733,1085,82,36,1203,1723,121,3046,175,189,3,363,1810,69,2245,30,383,4,416,1433,46,1895,3,102,0,106,854,35,996,0,4,0,4,204,4,213,4215,1030,136,5379,12138,675,18196,5,142,0,152,1105,38,1290,63,76,0,148,1053,48,1254,1271,147,65,1479,1820,127,3431,2397,119,139,2652,1172,111,3939,1020,168,49,1236,1771,94,3098,71,458,12,544,1864,72,2477,16,607,0,627,1570,72,2270,8,111,0,120,927,28,1078,0,3,0,3,255,12,274,4855,1838,263,6951,11548,605,19104,10,222,0,230,2401,91,2720,92,121,0,213,2261,112,2589,2124,225,82,2435,4018,287,6734,4441,190,206,4835,2589,240,7672,2104,248,89,2439,3498,214,6151,241,651,14,909,3671,142,4718,50,987,3,1042,3005,120,4169,10,215,0,225,1785,65,2072,0,7,0,7
POA2617,3,42,0,44,909,43,996,21,34,0,56,1852,96,1998,470,74,8,552,3787,221,4563,1275,33,47,1355,1309,119,2780,648,34,22,701,1111,74,1889,103,114,0,216,1232,56,1507,22,310,0,336,1104,48,1484,10,80,0,92,545,25,665,0,3,0,4,221,12,230,2552,724,80,3349,12072,688,16114,5,61,0,66,864,38,974,26,82,0,111,1993,126,2225,774,106,23,913,3139,209,4257,1334,64,92,1493,1036,96,2624,581,91,30,703,1084,58,1844,57,313,0,371,1261,56,1695,14,470,3,488,1141,58,1689,5,75,0,85,658,25,767,0,3,0,7,318,18,341,2799,1272,156,4231,11507,679,16413,5,100,0,109,1776,80,1962,49,119,0,168,3846,220,4230,1250,181,37,1464,6925,429,8820,2609,107,139,2849,2349,208,5406,1234,130,50,1405,2190,135,3736,164,422,0,592,2497,113,3197,33,777,5,818,2247,104,3168,12,160,0,172,1207,53,1432,0,9,0,11
POA2618,0,3,0,3,44,0,47,0,0,0,0,33,0,32,12,0,0,17,38,0,53,46,5,0,44,21,3,73,41,0,6,48,61,11,118,8,4,0,8,75,3,89,0,13,0,20,58,6,75,0,8,0,10,42,0,51,0,0,0,0,7,0,7,112,35,6,150,379,24,549,0,5,0,5,51,3,59,0,0,0,0,31,0,34,19,9,0,27,23,3,53,65,0,3,70,26,3,96,37,3,0,39,69,7,119,0,17,0,17,66,0,84,0,27,0,30,61,9,96,0,9,0,9,35,0,46,0,0,0,0,5,0,5,124,67,4,196,373,30,592,0,12,0,12,96,3,108,0,0,0,0,60,0,66,34,10,0,41,59,6,108,110,5,3,113,47,9,170,81,3,3,89,136,16,239,10,20,0,30,141,9,173,6,46,0,48,113,11,175,0,15,0,17,74,7,94,0,0,0,0
POA2900,0,0,0,0,55,0,54,3,4,0,3,138,12,162,67,12,0,81,419,28,526,115,5,4,127,173,6,307,43,4,0,47,140,6,194,8,25,0,32,141,7,182,0,16,0,20,152,21,192,0,17,0,18,96,14,126,0,0,0,0,34,8,43,236,90,3,333,1353,108,1794,0,0,0,0,52,0,49,11,17,0,24,156,6,182,111,33,6,149,350,19,521,118,11,0,132,145,15,285,33,23,0,61,155,6,225,3,42,0,50,177,8,241,4,54,0,57,144,13,213,0,17,0,17,115,17,148,0,0,0,0,48,11,61,283,186,12,479,1355,93,1932,0,0,0,0,105,4,109,14,14,0,26,298,15,345,181,46,6,233,775,45,1051,238,12,8,255,314,22,590,73,29,3,102,298,11,419,14,68,0,79,321,19,419,3,72,0,76,299,33,408,0,33,0,31,209,36,272,0,0,0,0
POA2902,3,29,0,30,435,21,483,10,19,0,28,409,13,444,201,24,10,232,662,51,950,552,27,21,601,390,58,1041,373,21,9,402,580,39,1024,67,88,3,163,687,16,867,10,195,0,202,686,32,914,3,44,0,51,365,19,436,0,4,0,4,81,7,93,1220,451,40,1711,4298,253,6256,0,41,0,41,371,19,429,23,20,0,43,333,10,388,320,39,21,376,493,29,905,678,38,42,755,297,40,1086,341,55,14,409,626,43,1078,29,206,0,241,665,23,928,10,317,0,320,743,39,1109,3,57,0,63,380,13,457,0,0,0,0,80,14,98,1396,770,82,2248,3986,233,6465,3,70,0,73,799,48,913,30,41,0,71,738,28,837,513,72,31,612,1162,80,1855,1225,58,61,1354,687,92,2131,713,77,25,812,1204,82,2100,106,300,5,405,1356,40,1798,15,507,0,520,1429,68,2020,4,101,4,109,746,35,887,0,4,0,6
POA2903,0,23,0,23,283,13,317,6,13,0,16,226,13,248,154,19,0,175,426,25,625,359,14,13,388,237,26,649,243,17,5,264,326,20,617,40,59,0,106,439,20,560,8,132,0,141,403,22,562,0,24,0,24,174,8,206,0,0,0,0,41,0,44,810,297,22,1122,2552,144,3822,3,24,0,24,195,8,226,9,23,0,37,196,7,237,214,30,12,252,319,29,595,450,19,25,488,182,18,695,191,30,9,230,323,22,572,25,150,0,177,454,17,653,3,188,0,196,409,18,622,0,24,0,27,161,10,200,0,0,0,0,64,0,62,894,495,47,1434,2305,132,3868,7,37,0,45,473,21,546,19,33,0,47,422,21,487,361,50,13,427,743,49,1215,804,35,38,875,419,44,1338,433,49,14,495,647,46,1185,65,210,0,283,893,39,1218,12,319,0,335,812,35,1186,0,50,0,52,342,19,404,0,0,0,0
POA2904,0,15,0,15,344,10,362,12,12,0,25,313,11,340,195,18,5,225,485,26,729,552,15,10,568,273,21,865,276,29,9,317,426,15,764,46,97,3,146,675,17,839,6,179,3,191,578,14,783,0,30,0,30,253,18,300,0,6,0,6,83,26,112,1093,397,31,1518,3427,150,5098,0,36,0,35,306,8,350,19,25,0,43,251,5,302,297,24,16,339,365,22,718,596,20,45,661,231,20,913,265,37,4,311,488,10,816,21,244,0,263,713,18,999,8,244,0,259,562,14,832,0,36,0,40,319,45,399,0,0,0,0,171,64,238,1210,672,69,1952,3404,213,5566,0,47,0,51,648,14,714,25,37,0,66,558,15,640,495,42,17,559,850,44,1451,1148,30,54,1230,503,38,1773,544,66,16,627,923,27,1577,66,339,6,417,1386,40,1837,17,428,6,446,1140,36,1615,0,66,0,67,571,59,701,0,7,0,7
POA2905,3,63,0,65,840,39,947,27,33,0,63,826,29,917,575,55,9,645,1295,80,2015,1053,36,52,1147,736,78,1965,593,66,14,673,1044,60,1776,109,206,3,315,1527,61,1897,14,207,0,221,940,26,1195,0,27,0,34,352,17,402,0,0,0,0,106,6,110,2384,690,81,3152,7661,405,11220,0,75,0,70,730,24,833,64,62,3,123,662,31,814,849,92,54,997,1042,68,2108,1173,49,90,1311,577,70,1961,512,153,22,687,1216,51,1952,49,514,4,561,1558,34,2158,12,294,0,311,871,24,1205,0,32,0,33,468,28,533,0,0,0,0,189,19,205,2660,1268,178,4103,7312,357,11769,4,135,0,142,1572,64,1777,94,92,3,187,1481,65,1732,1427,147,64,1641,2333,152,4123,2226,91,146,2456,1311,149,3918,1107,214,39,1360,2260,109,3731,150,716,10,877,3084,99,4058,28,497,0,534,1815,54,2396,5,57,0,65,818,48,931,0,0,0,4
POA2906,0,23,0,22,548,18,594,6,25,0,36,585,19,635,338,29,7,380,788,40,1215,655,28,18,702,398,40,1141,383,54,8,439,815,36,1295,78,140,0,224,963,23,1207,12,92,0,103,455,24,583,3,29,0,31,221,20,269,0,0,0,0,65,12,83,1482,416,40,1929,4847,237,7016,5,53,0,55,492,17,570,36,40,0,78,474,23,574,534,58,19,610,626,34,1276,813,33,44,893,372,41,1305,330,120,11,463,941,26,1434,25,261,3,297,883,15,1195,0,156,0,160,467,23,649,0,22,0,21,296,26,342,0,0,0,0,100,24,124,1744,748,85,2579,4649,228,7462,6,81,0,81,1049,34,1161,47,65,0,108,1061,38,1206,869,88,30,987,1420,80,2484,1472,60,64,1598,767,87,2449,706,170,23,898,1762,64,2724,108,402,3,516,1848,40,2405,12,250,0,260,925,48,1231,3,49,0,54,514,47,610,0,7,0,7
POA2911,0,3,0,3,101,4,108,0,0,0,7,102,7,116,92,13,0,103,289,12,407,305,7,10,321,186,11,515,126,3,0,128,163,5,298,20,9,0,25,120,4,142,0,28,0,25,64,3,97,0,3,0,3,46,3,49,0,0,0,0,11,0,18,542,63,7,616,1083,46,1743,0,8,0,8,94,0,103,9,7,0,12,104,0,123,149,15,5,170,265,25,456,351,9,9,368,170,14,547,88,7,4,101,155,7,254,5,22,0,32,108,3,139,4,41,0,46,80,3,126,0,15,0,16,72,5,88,0,0,0,0,17,0,27,600,125,20,748,1062,57,1865,0,9,0,13,194,4,208,9,8,0,20,211,8,241,236,25,4,270,554,37,861,653,18,19,686,357,21,1060,209,15,5,225,314,11,555,20,35,0,55,222,8,284,5,64,0,70,142,4,218,0,16,0,21,118,9,140,0,0,0,0
POA2912,0,9,0,9,185,23,213,4,8,0,12,375,17,404,164,21,0,186,986,54,1225,296,9,6,312,376,30,719,187,7,3,196,301,27,522,25,17,0,46,261,8,315,4,31,0,35,113,5,157,0,3,0,6,49,10,67,0,0,0,0,13,0,13,684,108,11,800,2666,175,3634,0,8,0,8,212,4,233,17,16,0,36,352,22,416,230,21,5,254,845,60,1160,360,13,10,386,278,31,694,130,18,4,152,302,17,473,18,61,0,75,228,8,310,3,49,3,56,149,3,201,0,6,0,7,66,10,82,0,0,0,0,19,0,19,763,200,18,983,2455,152,3589,0,14,0,14,403,27,448,22,27,0,47,729,35,812,393,42,3,444,1836,111,2390,658,21,17,703,656,64,1415,315,25,3,351,600,47,996,48,75,0,125,493,17,632,6,76,3,85,259,14,357,0,13,0,10,118,12,148,0,0,0,0
POA2913,4,55,0,62,983,40,1086,22,27,0,52,1224,66,1337,737,61,13,811,2471,178,3462,1893,42,48,1987,1352,139,3470,851,36,20,911,1449,69,2429,134,131,0,270,1388,53,1708,17,207,0,218,830,28,1078,0,60,0,54,421,18,498,0,3,0,3,92,8,101,3667,619,87,4371,10212,591,15178,4,77,0,82,940,22,1049,47,71,8,124,1079,47,1242,1239,124,49,1418,2066,153,3633,2131,76,68,2278,1054,110,3445,760,114,21,890,1578,77,2541,40,353,0,400,1405,38,1839,23,340,0,366,883,50,1302,0,71,0,75,459,23,561,0,4,0,7,120,4,126,4251,1234,151,5634,9577,526,15740,11,133,0,141,1928,64,2131,66,100,3,177,2299,109,2583,1982,184,65,2229,4537,334,7091,4033,120,114,4263,2408,251,6922,1610,151,43,1804,3029,141,4975,180,479,3,666,2790,91,3547,39,542,4,584,1709,81,2376,4,131,0,134,882,44,1055,0,5,0,7
POA2914,8,47,0,48,991,33,1073,17,32,0,53,946,56,1054,614,56,17,688,2049,177,2912,2015,54,44,2109,1233,140,3483,963,40,22,1029,1273,73,2370,112,87,0,199,759,34,980,11,107,0,116,389,18,521,0,22,0,22,167,4,199,0,4,0,4,30,3,38,3730,448,79,4261,7826,536,12628,4,92,0,99,926,40,1065,47,72,0,120,876,60,1058,1123,91,29,1236,1638,147,3020,2367,69,78,2508,948,114,3574,771,86,33,888,1245,66,2198,51,187,5,240,763,16,1018,11,192,4,207,384,19,613,0,29,0,37,193,9,234,0,0,0,0,35,0,38,4375,818,136,5329,7011,482,12821,8,136,0,146,1914,77,2138,65,105,0,172,1828,120,2111,1738,147,38,1927,3680,327,5932,4380,129,117,4619,2188,256,7059,1733,126,53,1911,2514,139,4566,160,268,5,433,1517,53,2007,18,294,4,323,769,42,1136,0,52,0,59,357,14,431,0,4,0,4
