POA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
POA2612,0,0,13,17,0,4,0,0,0,37,0,0,18,27,3,0,5,0,0,55,0,0,4,21,0,3,6,0,0,39,0,3,0,13,0,0,0,0,0,20,0,0,11,14,0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,8,0,6,15,49,8,6,11,0,0,100,0,0,8,27,4,5,3,0,4,52,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,6,0,15,45,160,39,35,13,13,0,322,9,14,248,284,70,52,39,15,8,732,291,470,2370,4104,883,800,541,268,79,9810,0,0,0,7,0,0,0,0,0,7,230,404,1426,2274,557,479,347,190,79,5983,0,0,0,15,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,5,0,0,3,6,3,0,0,0,0,15,0,0,4,10,0,0,0,0,0,16,0,3,5,28,13,4,0,0,0,56
POA2614,0,0,0,9,0,3,0,0,0,17,0,4,4,16,8,9,4,3,0,44,6,0,3,24,8,7,7,4,0,50,0,0,0,4,0,0,0,0,0,4,0,0,10,12,3,3,0,0,0,27,0,0,0,5,0,0,0,3,0,14,3,13,14,16,18,13,7,7,4,91,4,3,11,29,19,26,4,0,4,98,0,0,0,0,3,0,0,8,0,15,0,0,0,4,5,0,0,3,0,15,3,32,36,158,55,41,21,43,17,403,18,40,58,134,42,46,31,31,10,406,572,1297,1189,2849,1322,1029,819,713,262,10048,0,3,0,3,0,0,3,0,0,4,500,1067,901,1795,958,711,662,550,198,7356,0,3,0,28,0,0,0,0,0,39,0,0,0,0,0,5,3,0,0,8,0,0,0,4,0,0,0,0,0,6,0,3,0,11,0,0,3,0,0,19,0,0,0,11,8,6,0,0,0,35
POA2615,0,0,0,7,15,5,0,0,0,34,0,3,14,35,17,11,17,0,0,102,0,11,15,47,25,5,11,10,0,121,0,0,3,9,0,0,0,0,0,13,0,4,21,28,0,0,0,0,0,62,0,0,0,6,0,4,0,0,0,7,0,10,14,32,14,14,9,7,0,105,0,10,17,83,35,43,24,4,3,214,0,0,0,3,3,7,6,0,3,27,0,0,3,16,3,8,0,0,0,36,9,52,44,256,97,110,107,68,13,756,42,94,82,244,102,64,43,28,11,715,1690,3535,2768,7035,3046,2245,1895,996,213,23423,0,5,10,23,8,8,4,0,0,57,1458,2926,2073,5028,2151,1644,1439,615,137,17458,0,4,3,39,7,8,3,0,0,61,0,0,0,8,8,7,5,3,3,28,0,0,0,11,0,3,0,0,0,21,0,0,4,12,11,10,7,0,0,40,0,0,0,29,11,7,7,5,0,63
POA2617,0,5,7,21,6,3,7,0,0,56,0,4,11,28,11,3,7,6,0,67,0,5,16,72,20,12,10,0,4,147,0,0,8,41,0,0,0,0,0,50,0,4,14,23,6,0,0,0,0,46,0,0,0,10,0,3,0,0,0,19,3,20,27,43,14,13,15,5,0,132,0,8,27,73,35,44,23,10,4,218,0,0,0,0,5,4,6,0,0,20,0,0,0,6,4,0,0,0,0,18,0,52,84,400,86,73,75,36,13,823,33,59,94,274,68,52,48,23,11,671,1001,1936,2992,7342,1889,1507,1484,665,230,19049,0,0,0,7,0,4,0,0,0,13,873,1409,2117,3370,1118,994,1002,415,193,11484,0,3,12,49,0,6,0,0,0,69,0,0,0,3,3,3,7,4,0,20,0,4,0,30,6,0,5,0,0,41,0,0,6,15,4,4,0,0,0,32,0,0,5,15,14,8,4,3,0,54
POA2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,8,5,0,3,0,0,36,34,88,85,129,118,89,75,51,7,674,0,0,0,0,0,0,0,0,0,0,24,95,84,120,93,66,72,28,4,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2900,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,9,0,0,3,0,4,0,0,0,0,10,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,3,3,19,8,3,5,3,0,52,3,4,11,21,5,7,15,17,11,91,120,113,221,832,194,182,192,126,43,2024,0,0,0,0,0,0,0,0,0,0,106,91,184,443,158,158,146,93,37,1411,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
POA2902,0,0,0,3,3,0,0,0,0,7,0,0,3,12,8,3,3,0,0,28,0,0,0,7,8,8,6,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,9,11,5,0,5,4,0,46,0,0,5,6,3,10,0,0,0,31,0,0,0,8,0,5,4,3,4,14,0,0,0,8,4,6,0,0,0,13,0,21,20,56,37,40,29,28,3,248,12,53,24,93,37,18,32,19,5,289,446,1077,936,1992,1024,867,914,436,93,7780,0,0,0,0,0,0,0,0,0,0,403,897,687,1468,765,639,740,257,61,5920,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,4,0,0,27
POA2903,0,0,0,0,3,3,0,0,0,13,0,0,0,3,6,0,0,0,0,14,0,0,0,5,3,5,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,8,0,0,21,0,0,0,8,3,4,0,0,0,17,0,0,0,0,0,0,3,0,0,4,0,0,0,5,0,0,0,0,0,12,5,10,13,27,27,24,27,14,4,147,6,14,17,35,24,22,23,5,4,146,290,722,564,1267,617,560,562,206,44,4837,0,0,0,0,0,0,0,0,0,0,259,546,403,903,400,460,409,108,28,3515,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,9,0,0,0,4,4,3,0,0,0,12
POA2904,0,0,0,0,7,0,0,0,0,6,0,7,13,13,11,3,7,0,0,57,0,0,5,5,7,13,10,8,0,51,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,0,17,0,0,0,0,0,0,0,0,0,5,0,9,9,10,4,5,0,9,0,48,0,0,0,0,6,18,3,5,3,33,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,5,15,41,27,39,44,30,11,206,5,9,18,33,12,18,17,10,3,119,423,886,707,1595,764,839,783,300,112,6407,0,0,3,6,0,0,0,0,0,16,345,790,572,1218,579,681,533,218,149,5077,0,0,0,8,0,0,0,0,0,11,0,0,0,4,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,8,0,0,0,3,5,5,6,0,0,17
POA2905,0,3,0,3,9,4,4,3,0,21,0,6,3,10,20,10,6,0,0,59,0,0,4,15,12,8,4,4,0,57,0,0,0,3,0,0,0,0,0,6,0,0,11,9,5,6,3,0,0,27,0,0,0,0,7,0,0,0,0,5,0,3,8,15,3,11,10,0,0,52,0,0,0,19,18,39,20,4,0,95,0,0,0,4,5,5,5,0,6,18,0,0,5,0,3,0,0,0,0,19,5,17,26,102,63,79,69,33,8,407,21,58,50,133,53,56,26,17,13,420,968,1954,1862,3975,1776,1897,1195,402,110,14144,0,0,0,3,0,0,0,0,0,5,882,1726,1456,3077,1411,1489,727,285,115,11167,0,0,0,14,7,9,0,0,0,29,0,0,0,3,0,0,5,3,0,8,0,0,0,3,4,0,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,3,0,13,5,6,3,0,0,28
POA2906,0,0,5,3,3,0,0,0,0,12,0,0,8,12,10,5,4,0,0,38,0,0,0,14,14,9,13,4,0,50,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,7,7,11,7,4,0,0,33,0,0,0,6,15,18,6,0,0,53,0,0,0,0,0,3,0,0,0,6,0,0,0,5,3,0,0,0,0,15,0,7,15,48,55,65,38,19,0,250,6,34,13,59,30,24,21,17,16,232,569,1273,1223,2356,1295,1207,583,269,83,8858,0,0,0,3,0,0,0,0,0,10,546,1098,1009,1962,1085,781,390,185,51,7115,0,0,0,10,4,8,0,0,0,23,0,0,0,0,4,0,7,0,0,8,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,12
POA2911,0,0,0,0,0,3,0,0,0,6,0,0,0,8,6,4,0,0,0,15,0,0,3,3,3,3,4,0,0,19,0,0,0,4,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,12,0,0,3,9,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,35,11,7,4,3,0,69,9,13,4,16,0,0,6,5,0,54,218,386,223,919,298,142,97,49,18,2351,0,0,0,7,0,5,0,0,0,12,209,342,151,492,115,65,58,55,15,1499,0,0,0,22,6,5,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,10
