POA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
POA2612,0,0,0,0,13,17,29,22,6,10,15,12,0,0,0,135,3,3,0,5,16,13,3,4,0,0,0,0,0,0,0,37,0,0,0,6,5,9,25,11,4,8,0,4,0,7,0,78,0,0,3,3,8,22,45,10,0,0,4,4,0,0,0,107,0,0,0,5,12,21,15,17,7,3,3,8,0,0,0,94,0,0,0,0,4,5,6,13,4,5,5,3,4,0,3,44,0,0,3,0,4,3,13,10,3,9,3,6,0,0,3,61,13,49,114,81,82,94,177,62,10,9,9,16,17,7,15,767,0,4,5,18,21,37,43,26,8,7,10,18,15,10,0,228,0,0,0,12,21,12,15,31,5,12,6,8,4,0,8,120,12,29,34,59,70,103,163,110,43,53,59,70,47,15,21,881,58,136,261,295,453,647,1083,846,269,332,290,350,183,71,93,5356
POA2614,0,0,0,3,15,24,13,36,4,6,19,4,17,0,0,148,0,4,6,6,10,0,0,0,0,0,0,0,0,0,0,30,0,0,3,7,3,5,6,3,5,0,0,0,0,0,0,39,0,4,0,7,10,11,20,13,0,3,9,5,0,0,0,85,0,0,0,0,14,4,22,23,9,11,0,4,0,0,4,96,0,0,0,0,0,3,3,5,0,0,0,4,0,0,0,14,0,0,0,8,7,3,21,14,0,3,3,8,0,3,3,79,39,117,266,170,103,49,102,56,6,4,3,9,0,3,13,932,4,0,18,24,26,28,36,37,0,0,6,4,4,0,5,199,0,0,0,12,30,32,59,34,15,14,10,9,5,0,9,222,28,36,101,87,101,108,148,160,42,48,65,72,41,8,16,1069,125,318,616,470,553,504,867,775,215,262,288,273,106,21,112,5491
POA2615,0,0,3,13,106,92,161,125,22,17,22,35,9,3,4,602,6,0,10,9,47,11,7,13,0,0,0,0,0,0,0,100,0,3,3,17,13,4,11,9,0,0,0,0,5,0,0,62,0,7,4,13,15,27,63,35,14,12,8,10,8,0,0,207,0,0,3,3,40,19,84,58,10,0,7,5,0,0,0,239,0,0,0,0,3,8,14,8,4,0,0,0,0,0,0,36,0,0,0,8,13,11,55,46,11,10,5,10,0,0,4,171,53,199,386,284,208,81,148,118,10,9,8,8,8,0,29,1558,0,0,15,24,35,31,53,32,7,10,6,4,8,0,0,230,0,0,0,40,103,88,114,76,21,18,11,11,7,5,17,518,31,89,222,217,294,270,539,265,73,73,88,69,24,6,44,2303,173,531,1007,921,1255,1111,2568,1661,399,388,373,333,136,40,192,11079
POA2617,0,0,3,17,31,48,107,112,21,40,31,46,21,0,12,497,5,3,7,15,32,11,15,14,0,4,0,0,0,0,0,94,0,3,10,14,8,13,29,7,6,4,0,6,0,4,8,108,0,4,3,17,13,24,42,18,0,3,5,11,0,6,0,152,0,4,5,12,35,47,70,51,13,12,15,14,10,6,0,296,0,0,0,0,3,12,19,34,12,0,11,6,0,0,0,95,0,0,0,8,11,19,39,32,8,3,9,16,0,0,0,150,23,115,226,168,95,84,138,62,24,11,16,20,5,0,20,1012,0,0,10,22,29,34,66,49,12,21,6,10,5,4,7,271,0,0,10,59,89,75,77,100,14,23,23,17,11,0,20,527,19,46,155,197,193,211,362,362,107,108,187,173,66,7,34,2231,104,361,745,847,951,1154,2372,2487,812,1060,1033,877,349,67,246,13469
POA2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,10,5,3,3,0,0,0,0,0,0,0,0,60,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,4,3,0,0,0,0,0,0,0,0,23,4,15,36,24,24,25,27,8,4,3,0,3,0,0,0,175
POA2900,0,0,0,4,5,3,12,22,3,6,8,3,3,0,0,76,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,3,3,0,0,0,0,0,0,0,16,0,0,0,0,0,3,9,0,0,5,6,3,0,0,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,6,0,0,0,6,3,3,0,0,18,9,15,42,31,29,13,24,9,0,0,0,0,0,0,3,172,0,0,0,7,3,4,5,5,0,0,5,0,0,0,0,26,0,0,0,0,6,0,0,4,0,0,9,3,0,0,0,26,0,13,9,18,13,17,37,30,5,7,0,5,0,0,0,167,15,58,82,100,111,90,243,278,85,73,71,49,19,3,24,1300
POA2902,0,0,7,6,18,18,31,25,4,5,12,5,0,0,4,134,0,3,4,0,20,4,4,4,0,0,0,0,0,0,0,35,0,6,0,3,4,3,5,0,0,0,0,0,0,0,0,23,0,3,0,3,0,7,25,12,0,0,0,0,0,0,0,54,0,0,0,10,17,13,14,6,0,0,4,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,9,9,8,0,0,0,0,0,0,0,37,20,85,194,126,76,42,67,51,3,3,0,0,0,0,20,682,0,0,5,21,9,15,28,15,6,3,3,0,0,0,0,108,0,0,0,13,10,8,14,12,4,0,0,0,0,0,0,64,16,25,97,110,90,62,102,69,17,23,13,13,11,0,11,662,65,208,462,425,391,281,559,455,74,81,95,51,26,0,64,3235
POA2903,0,0,0,6,9,19,13,20,4,6,0,0,0,0,0,69,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,23,0,0,7,0,4,0,3,4,0,0,0,0,0,0,0,18,0,0,3,4,6,7,8,0,0,0,0,0,0,0,0,20,0,0,0,3,11,7,3,8,3,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,10,5,0,0,7,0,0,0,3,46,14,30,104,85,29,24,40,23,6,3,0,0,0,0,5,361,0,0,0,6,11,6,8,4,0,0,3,0,3,0,0,46,0,0,0,5,7,4,9,0,3,0,0,4,0,0,0,47,11,15,51,61,70,52,75,33,11,8,8,13,0,0,13,415,48,105,268,256,239,248,344,273,53,53,79,51,24,3,33,2071
POA2904,0,0,0,8,15,7,19,19,3,0,9,4,0,0,4,96,0,3,8,0,17,5,3,0,0,0,0,0,0,0,0,34,0,3,0,6,9,4,8,4,0,0,0,0,0,0,0,32,0,0,0,3,9,15,17,28,0,0,4,9,0,0,0,96,0,0,5,3,49,15,27,4,0,3,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,3,10,7,13,0,0,0,0,0,0,0,40,28,56,170,114,85,31,53,36,0,5,3,0,0,6,15,598,0,0,0,5,7,12,15,3,0,0,9,9,0,0,0,75,0,0,0,35,26,11,4,3,4,0,0,0,4,0,0,92,20,42,88,88,71,65,97,43,4,8,12,14,3,0,6,544,64,201,402,394,452,309,509,353,41,60,54,55,23,17,72,2999
POA2905,0,0,0,10,55,32,75,96,13,8,12,17,12,4,9,341,0,6,3,3,36,13,10,0,0,0,0,0,0,0,4,77,0,4,3,6,6,3,4,10,3,0,3,0,0,0,3,49,0,0,5,10,12,21,24,25,3,5,0,4,0,0,0,114,0,4,7,14,24,17,38,23,0,0,0,0,0,0,0,126,0,0,0,0,4,4,0,0,0,5,0,0,0,0,0,16,0,0,0,6,24,23,26,4,4,5,0,0,3,0,0,101,18,101,308,172,144,65,109,51,0,0,3,3,9,0,17,998,0,0,5,10,18,20,21,17,6,5,3,4,0,0,0,93,0,0,0,48,84,36,32,19,5,0,0,0,6,0,12,232,8,43,137,217,208,136,189,128,11,24,25,16,7,0,28,1172,52,262,637,714,899,613,1084,826,158,124,128,111,46,21,105,5781
POA2906,0,0,0,10,57,28,64,37,11,12,0,8,0,3,7,242,0,0,3,3,34,14,5,0,0,0,0,0,0,0,0,57,0,0,0,5,8,0,3,3,0,0,0,0,0,0,5,28,0,0,0,8,11,10,14,22,0,0,0,5,0,0,0,72,0,0,8,4,35,32,10,18,0,0,0,0,0,0,0,116,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,6,9,7,21,7,3,0,0,3,0,0,4,69,8,56,207,140,76,36,86,18,0,0,0,0,0,0,14,646,0,0,6,10,10,16,18,10,0,5,3,4,0,5,0,88,0,0,0,30,36,9,17,6,0,5,0,5,0,0,3,116,8,25,84,125,131,86,110,59,9,14,5,7,0,0,10,674,33,140,433,457,598,429,690,441,81,88,58,62,8,12,57,3585
POA2911,0,0,0,5,5,10,7,13,3,6,0,0,3,0,0,61,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,14,0,0,0,0,5,8,9,16,0,0,0,0,0,0,0,30,0,0,0,0,3,7,23,5,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,15,3,10,14,11,18,13,15,14,5,0,3,0,0,0,3,107,0,0,0,3,3,0,4,6,0,0,0,0,0,0,0,26,0,0,0,7,13,5,11,11,4,0,0,3,0,0,0,59,0,9,0,11,20,24,71,43,7,13,4,7,8,0,0,226,3,22,54,64,135,212,642,315,68,77,54,53,26,10,26,1774
POA2912,0,0,0,0,12,19,23,39,5,8,20,4,4,0,0,145,0,0,0,0,3,0,0,4,0,0,0,0,5,0,0,16,0,0,0,0,4,5,8,5,6,0,0,0,5,0,0,32,0,0,0,0,0,4,24,22,0,0,4,0,3,0,0,60,0,0,0,4,10,15,12,6,5,4,0,4,4,0,0,60,0,0,0,0,5,0,13,14,0,0,0,0,0,0,0,34,0,0,0,8,0,7,11,7,3,4,4,0,0,0,0,39,3,11,32,20,13,13,32,23,3,0,14,0,0,0,3,175,0,0,0,6,0,6,6,9,3,4,0,0,0,0,0,38,0,0,0,18,41,36,24,18,9,4,7,12,4,0,3,166,0,0,17,32,47,74,98,92,31,29,26,36,7,0,5,500,5,25,85,119,237,383,821,919,290,368,359,302,123,24,64,4127
POA2913,0,0,4,12,63,78,131,106,14,18,25,30,3,3,3,486,0,0,4,3,32,20,3,4,0,0,3,0,0,0,0,69,0,0,8,12,15,11,33,15,3,5,3,0,0,0,0,108,0,4,3,11,12,30,76,95,10,17,12,6,5,0,3,287,0,0,3,7,61,85,177,90,21,9,9,3,3,0,0,478,0,0,0,0,4,9,19,31,3,0,3,4,4,0,0,82,0,0,0,6,14,28,54,38,4,5,7,0,0,0,3,166,13,77,213,158,80,89,183,86,16,13,16,14,0,0,15,980,0,0,11,20,10,32,55,33,7,3,7,14,4,4,0,201,0,0,0,78,131,95,124,79,20,20,18,13,5,0,20,603,8,26,126,149,236,266,585,280,76,68,70,70,29,3,32,2026,48,234,590,726,1144,1529,3822,2717,556,655,614,606,181,41,221,13682
