POA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2612,..,678,562,55,11,9,7,3,0,1331,..,157,439,270,178,177,174,133,75,1603,9,59,56,23,17,9,12,9,3,191,715,1551,2423,1088,809,701,504,287,116,8195,..,43,829,949,784,783,565,270,65,4292,..,464,1547,409,202,123,62,12,3,2828,..,0,21,84,119,64,19,15,8,330,1432,..,..,..,..,..,..,..,..,1432,..,447,..,..,..,..,..,..,..,447,..,158,99,32,22,11,3,0,0,323,..,75,92,12,0,9,19,15,9,230,..,70,127,14,0,6,0,0,0,224,..,1204,1085,130,35,28,15,7,0,2503,..,283,942,632,373,367,296,190,90,3178,7,86,113,50,37,21,18,7,3,349,1439,2832,4861,2303,1586,1414,990,523,182,16138
POA2614,..,133,125,22,27,18,24,0,3,355,..,26,119,107,125,192,334,293,141,1339,12,26,41,16,10,20,17,15,0,157,1723,1084,1353,1417,1300,1026,1014,781,258,9942,..,31,852,1666,1486,1183,1037,845,190,7297,..,153,621,423,351,149,76,38,4,1817,..,9,71,172,255,128,59,55,40,785,3494,..,..,..,..,..,..,..,..,3494,..,949,..,..,..,..,..,..,..,949,..,473,286,84,90,44,7,0,0,979,..,84,83,28,26,51,49,44,20,385,..,116,171,53,18,17,6,0,0,386,..,274,354,73,52,49,48,12,4,863,..,53,204,224,260,321,462,400,204,2138,31,51,70,40,30,31,29,23,5,320,3523,2206,2719,2761,2563,1971,1768,1421,465,19402
POA2615,..,125,132,40,44,62,27,3,7,440,..,33,166,229,292,440,565,362,120,2215,45,70,48,42,41,29,27,25,0,326,4657,2463,3305,3820,2997,2373,2169,1045,241,23065,..,93,2513,4636,3485,2627,2526,1171,169,17211,..,347,1529,1017,684,392,191,59,6,4211,..,23,237,580,640,351,159,100,42,2131,9653,..,..,..,..,..,..,..,..,9653,..,2226,..,..,..,..,..,..,..,2226,..,1522,792,294,194,60,11,0,0,2872,..,234,240,75,88,120,137,101,33,1017,..,204,242,66,41,30,14,0,0,601,..,275,434,144,118,133,55,16,6,1183,..,71,358,506,589,748,841,517,179,3815,91,138,120,91,78,56,41,34,7,653,9737,5137,6468,7402,5917,4511,3979,1993,438,45577
POA2617,..,582,471,60,39,45,22,8,4,1231,..,158,460,279,218,251,355,254,127,2095,20,91,81,24,19,25,31,12,4,311,2515,2525,4000,2509,1765,1590,1587,686,232,17421,..,149,2492,2944,2003,1831,2054,747,155,12377,..,686,1953,695,391,204,109,23,0,4059,..,24,134,311,356,213,101,63,36,1241,5281,..,..,..,..,..,..,..,..,5281,..,1241,..,..,..,..,..,..,..,1241,..,717,471,185,96,46,6,0,0,1521,..,287,261,63,47,79,77,63,23,895,..,330,533,95,42,34,3,3,3,1049,..,1111,1261,205,107,86,53,12,5,2836,..,306,960,604,463,468,524,359,165,3839,54,175,182,57,51,43,51,18,8,640,5326,5021,8255,5157,3551,3006,2983,1289,393,34981
POA2618,..,0,0,0,0,0,0,0,0,8,..,0,0,0,5,6,13,9,0,41,0,4,0,7,0,0,0,0,0,9,116,83,50,89,110,82,89,40,5,675,..,0,31,81,153,132,130,62,10,593,..,0,17,30,32,12,3,6,0,101,..,0,0,10,7,10,5,0,0,32,233,..,..,..,..,..,..,..,..,233,..,99,..,..,..,..,..,..,..,99,..,56,26,12,12,3,0,0,0,109,..,3,3,5,0,5,0,0,0,19,..,0,6,5,3,0,3,0,0,23,..,0,0,0,0,4,0,4,0,12,..,0,6,0,13,11,13,14,4,61,0,0,0,5,0,0,0,0,0,18,232,167,100,157,220,164,157,91,18,1304
POA2900,..,33,21,11,3,11,0,0,0,81,..,32,118,58,53,75,79,55,30,501,3,6,4,0,10,3,8,0,0,41,216,231,511,277,212,232,201,129,49,2055,..,13,346,249,146,170,188,138,31,1268,..,97,230,69,36,29,23,5,0,483,..,4,32,53,69,31,17,6,7,215,431,..,..,..,..,..,..,..,..,431,..,96,..,..,..,..,..,..,..,96,..,59,44,13,10,6,3,0,0,129,..,23,31,8,4,10,12,0,0,98,..,20,38,9,5,0,0,0,0,65,..,61,63,18,18,22,0,0,0,182,..,46,227,142,114,129,125,82,46,911,10,11,20,9,10,9,8,4,0,78,445,436,1015,578,396,404,371,236,84,3959
POA2902,..,28,34,18,18,19,13,0,0,135,..,16,38,50,103,146,241,161,51,795,16,20,29,11,11,21,21,4,4,141,1369,789,878,1041,1028,886,1030,438,85,7548,..,9,534,1186,1163,1001,1264,521,66,5746,..,104,491,270,227,143,60,32,7,1331,..,11,95,178,216,128,78,35,14,760,2772,..,..,..,..,..,..,..,..,2772,..,793,..,..,..,..,..,..,..,793,..,525,272,126,78,24,8,0,0,1022,..,75,70,24,38,59,60,16,14,365,..,45,75,22,13,12,4,0,0,169,..,68,94,48,41,40,36,8,0,338,..,28,95,131,208,284,349,228,65,1386,40,35,46,39,27,34,35,4,6,276,2816,1689,1781,2017,2005,1726,1896,845,177,14949
POA2903,..,9,18,6,6,8,3,0,0,49,..,6,21,19,54,105,129,75,26,434,3,10,5,3,4,15,13,4,0,57,859,441,568,676,552,629,589,188,64,4569,..,16,428,829,691,700,751,231,40,3694,..,72,262,176,148,98,39,5,5,807,..,7,51,90,101,82,46,20,11,413,1833,..,..,..,..,..,..,..,..,1833,..,474,..,..,..,..,..,..,..,474,..,284,167,74,40,17,6,0,0,588,..,38,43,12,11,30,25,7,15,189,..,39,50,21,3,7,10,0,0,127,..,22,67,22,19,19,12,5,0,162,..,11,65,62,101,189,195,108,38,765,17,22,29,19,15,25,20,4,3,146,1849,992,1168,1299,1137,1159,1107,392,103,9202
POA2904,..,10,18,10,10,15,14,0,0,77,..,10,28,27,39,112,176,125,80,595,5,13,14,6,0,10,14,3,8,74,1189,637,699,893,796,962,798,344,142,6457,..,14,511,1196,1028,1257,1066,377,84,5539,..,50,306,199,183,118,70,14,0,946,..,4,50,105,150,105,57,23,13,515,2465,..,..,..,..,..,..,..,..,2465,..,675,..,..,..,..,..,..,..,675,..,431,312,93,43,15,0,0,0,904,..,56,36,8,20,32,41,29,13,229,..,40,49,11,10,0,0,0,0,111,..,26,49,29,17,31,18,3,0,176,..,13,58,70,89,190,256,161,105,925,11,26,22,15,13,21,22,5,11,149,2473,1329,1404,1735,1545,1773,1533,616,223,12629
POA2905,..,30,56,18,26,37,17,5,0,189,..,19,75,91,159,330,315,181,86,1251,44,35,41,21,20,36,23,9,3,235,2721,1593,2038,1886,1891,2077,1145,477,168,14007,..,47,1372,2249,2189,2464,1406,458,80,10267,..,267,999,576,403,311,124,20,4,2706,..,19,202,364,419,250,77,51,33,1410,5467,..,..,..,..,..,..,..,..,5467,..,1433,..,..,..,..,..,..,..,1433,..,1172,670,160,68,41,15,0,0,2124,..,140,143,44,34,106,79,59,40,643,..,105,123,30,38,14,7,0,0,317,..,77,157,69,72,86,47,14,0,519,..,37,218,232,331,557,480,236,106,2196,75,84,95,53,49,64,45,9,0,474,5548,3393,3976,3773,3602,3881,2273,849,259,27556
POA2906,..,8,20,11,4,15,21,3,0,81,..,14,53,65,102,165,171,125,44,743,30,23,24,15,8,16,7,3,3,130,1730,1111,1232,1262,1392,1162,612,308,84,8887,..,31,884,1509,1719,1559,696,294,53,6733,..,152,585,334,293,157,59,10,0,1592,..,22,125,235,267,163,53,25,11,898,3488,..,..,..,..,..,..,..,..,3488,..,972,..,..,..,..,..,..,..,972,..,885,444,70,34,22,3,0,0,1460,..,64,57,24,38,59,43,36,10,327,..,73,43,23,23,9,10,4,0,182,..,25,51,29,38,33,34,6,0,212,..,30,147,131,219,291,256,168,59,1295,48,59,53,27,21,30,20,7,8,265,3539,2307,2393,2375,2646,2327,1163,546,144,17432
POA2911,..,30,24,6,0,0,0,0,0,59,..,7,30,28,14,24,34,44,16,205,4,0,11,0,0,0,0,0,0,22,584,223,437,533,251,137,119,84,18,2386,..,9,358,799,389,189,141,62,12,1950,..,31,217,81,49,16,4,0,0,401,..,0,21,49,35,9,3,3,0,123,1153,..,..,..,..,..,..,..,..,1153,..,204,..,..,..,..,..,..,..,204,..,79,43,7,10,0,0,0,0,143,..,23,27,6,12,6,21,11,0,103,..,28,40,6,4,0,0,0,0,80,..,51,57,18,9,4,0,4,0,141,..,11,59,62,42,37,46,52,24,326,6,3,13,5,3,3,3,0,0,41,1168,439,835,1040,543,268,211,125,31,4656
POA2912,..,88,100,18,10,13,10,0,0,245,..,45,124,72,59,56,41,25,10,424,9,11,21,10,10,11,7,0,0,75,641,617,1118,659,457,299,192,73,19,4076,..,51,878,802,574,364,197,75,19,2944,..,148,433,143,69,29,15,3,0,841,..,7,40,81,84,48,19,6,7,282,1305,..,..,..,..,..,..,..,..,1305,..,363,..,..,..,..,..,..,..,363,..,174,100,26,13,10,3,0,0,327,..,77,83,22,11,13,23,11,4,240,..,97,199,26,8,6,7,0,0,341,..,185,270,90,48,26,8,0,0,633,..,78,271,147,124,95,58,31,8,817,11,29,37,20,15,11,14,0,0,133,1318,1207,2301,1353,942,604,341,125,33,8229
POA2913,..,142,201,47,23,27,20,3,5,479,..,43,213,228,236,314,319,182,64,1591,30,51,53,30,24,16,24,7,4,243,3962,2233,3487,3343,2479,1777,1230,535,121,19167,..,103,2820,4523,3260,2246,1415,613,83,15064,..,372,1456,755,367,203,80,17,0,3258,..,28,184,430,465,221,80,41,18,1465,8167,..,..,..,..,..,..,..,..,8167,..,1972,..,..,..,..,..,..,..,1972,..,1163,580,138,65,25,10,0,0,1985,..,229,213,65,68,94,134,72,25,904,..,207,386,75,42,16,8,6,0,731,..,327,568,164,83,72,41,8,3,1269,..,90,473,471,456,494,446,243,83,2752,65,95,113,73,43,30,33,13,4,476,8229,4585,6800,6692,4839,3411,2253,1007,224,38037
POA2914,..,111,159,31,16,13,10,0,0,344,..,46,190,133,131,133,126,60,18,837,42,33,38,23,30,14,11,11,0,201,4336,2046,2912,3473,2134,990,585,228,37,16730,..,101,2572,5125,3259,1313,674,244,31,13327,..,304,1038,600,319,104,45,8,0,2423,..,15,150,350,389,145,41,18,0,1115,8782,..,..,..,..,..,..,..,..,8782,..,1988,..,..,..,..,..,..,..,1988,..,894,344,88,38,6,0,0,0,1367,..,212,225,92,47,93,91,58,15,822,..,164,377,80,20,14,4,0,0,663,..,278,528,118,49,29,19,4,0,1022,..,93,384,326,269,200,174,78,17,1535,75,65,71,57,40,22,16,10,0,365,8856,4110,5701,6835,4424,1927,1073,417,70,33406
