POA_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
POA2612,370,5,0,0,0,0,0,37,408,1474,5,0,0,0,0,0,140,1618,1380,43,9,4,0,0,0,100,1532,821,136,40,14,0,0,0,61,1067,384,126,113,16,8,0,0,42,691,199,92,118,38,5,0,0,29,484,159,53,134,61,6,0,0,16,426,130,75,126,58,13,4,0,14,420,111,63,129,63,16,0,0,14,388,84,46,135,52,18,0,3,7,348,59,45,104,47,11,5,4,14,293,47,28,106,54,24,0,0,13,276,32,22,58,44,13,7,3,6,176,11,12,35,36,22,8,3,9,135,20,10,31,30,25,8,9,11,143,5276,752,1128,506,154,41,26,516,8409
POA2614,507,0,0,0,0,0,0,39,544,512,15,3,0,0,0,0,50,585,546,51,27,10,0,0,0,37,676,364,169,125,26,8,0,0,49,745,194,179,282,74,19,6,3,30,786,124,131,276,102,25,3,5,27,696,125,125,282,115,36,11,6,20,713,117,94,257,104,23,5,7,20,634,110,71,193,102,32,15,3,21,550,102,79,182,99,36,9,6,22,542,71,70,178,108,36,10,4,20,501,71,74,202,140,68,8,5,22,591,49,30,185,144,53,15,18,23,509,29,22,100,95,44,14,19,31,347,15,20,87,92,53,22,17,50,350,2930,1132,2389,1211,430,116,89,468,8759
POA2615,1211,8,0,0,0,0,0,75,1290,1105,60,16,0,0,0,0,65,1254,1040,220,138,50,9,0,0,71,1531,719,445,469,134,37,14,9,75,1906,463,374,787,280,74,18,21,62,2075,342,287,707,339,80,30,18,59,1866,261,254,674,316,115,40,19,51,1730,223,192,494,266,114,21,16,42,1371,177,157,459,269,93,27,9,33,1230,136,132,449,326,122,26,15,38,1246,103,125,404,268,105,45,16,39,1109,96,108,457,300,116,25,15,42,1162,51,67,241,175,93,43,20,24,710,18,28,110,96,58,21,24,22,368,14,25,70,67,49,19,24,7,274,5961,2482,5490,2876,1053,336,211,699,19104
POA2617,897,4,0,0,0,0,0,69,974,2014,30,3,0,0,0,0,173,2225,1954,187,63,15,6,7,0,143,2368,1104,382,225,57,17,4,3,103,1889,505,297,420,136,29,5,3,58,1462,305,210,413,158,35,10,8,42,1163,198,146,383,150,39,11,6,33,966,162,148,326,141,38,9,12,41,873,137,107,317,158,50,14,11,28,819,124,116,326,174,58,23,8,35,864,94,95,355,227,79,24,10,32,905,64,102,281,195,76,17,13,30,783,53,36,172,109,46,19,6,14,453,28,31,82,97,47,13,10,7,320,25,24,98,83,52,22,19,18,341,7657,1919,3460,1704,568,178,107,821,16413
POA2618,54,0,0,0,0,0,0,3,59,30,0,0,0,0,0,0,3,34,18,0,0,0,0,0,0,4,23,12,0,5,4,0,0,0,0,30,17,12,16,0,3,0,0,0,46,7,0,18,15,10,0,0,4,51,11,6,24,29,0,0,0,0,72,4,4,26,6,0,0,0,4,48,0,4,22,7,5,0,0,4,51,4,6,15,9,4,3,0,0,38,3,3,19,12,6,0,0,0,54,4,0,10,15,11,0,3,4,43,0,0,3,11,6,3,0,0,25,0,0,10,4,5,0,0,0,19,0,0,0,0,0,0,0,0,5,160,35,168,111,59,9,5,34,592
POA2900,48,0,0,0,0,0,0,0,49,166,3,5,0,0,0,0,11,182,219,34,7,4,0,0,0,9,273,142,56,28,0,3,0,0,13,248,75,45,26,16,0,0,0,10,172,40,27,32,5,6,0,0,8,120,36,14,30,10,0,0,0,0,98,23,22,46,19,5,4,0,6,129,19,18,43,28,15,0,0,11,125,12,12,39,22,11,0,0,4,113,7,14,51,24,0,0,0,4,103,14,12,43,26,11,5,0,8,107,4,3,36,20,11,0,3,14,92,5,3,20,17,12,3,0,7,59,0,4,16,17,9,3,4,10,61,805,274,419,207,84,24,12,109,1932
POA2902,391,0,0,0,0,0,0,35,429,340,16,4,0,0,0,0,28,388,286,52,29,13,4,0,0,19,401,183,120,120,40,14,0,0,21,502,114,93,202,81,25,5,3,24,544,97,75,211,103,29,5,13,15,542,90,65,222,90,40,10,10,24,549,77,76,206,89,39,5,6,20,524,76,55,183,94,28,14,6,15,469,74,62,157,103,27,12,9,11,455,34,43,245,167,61,14,4,30,593,46,44,191,121,55,21,7,19,514,18,31,109,82,29,12,12,9,294,19,11,49,40,25,6,4,12,162,8,11,17,13,13,8,12,13,98,1859,754,1964,1018,391,108,82,287,6465
POA2903,205,6,0,0,0,0,0,21,226,209,14,4,0,0,0,0,16,237,185,43,18,5,0,0,0,16,275,122,83,71,28,9,0,0,16,320,63,58,119,70,22,6,3,17,353,48,56,141,61,16,7,0,8,342,36,42,124,50,12,7,9,7,286,43,40,100,59,14,5,3,12,291,49,32,110,73,25,6,3,3,315,35,34,134,81,34,4,7,16,342,36,31,133,99,41,10,0,16,354,21,24,93,75,29,12,4,3,268,10,13,40,37,12,6,0,10,133,4,13,13,13,5,4,3,0,65,4,3,18,17,10,0,9,0,62,1073,483,1124,673,245,66,45,167,3868
POA2904,331,0,0,0,0,0,0,14,350,269,18,3,0,0,0,0,9,302,211,41,28,9,0,0,0,10,307,143,104,107,37,5,0,0,14,416,79,88,195,77,19,4,0,12,478,56,49,206,95,20,3,5,12,435,48,61,159,92,22,6,4,10,393,57,55,180,84,24,4,10,4,418,56,59,203,88,36,8,0,9,461,48,52,228,136,53,6,14,7,536,35,34,200,131,48,10,0,10,483,29,39,131,116,20,9,4,6,356,9,27,78,52,25,13,3,17,221,8,8,51,54,26,12,6,11,179,8,19,60,55,38,15,16,28,238,1388,661,1825,1019,339,84,59,189,5566
POA2905,777,0,0,0,0,0,0,54,833,675,61,12,5,0,0,0,63,814,625,170,118,30,11,0,0,49,1002,356,252,313,104,35,9,7,33,1103,188,188,415,169,43,11,10,42,1071,135,131,366,159,59,12,8,29,892,121,140,359,211,78,21,9,23,960,129,111,409,210,78,18,17,34,997,129,144,437,261,93,27,17,26,1130,106,98,426,258,85,17,16,16,1026,71,78,256,179,87,13,8,16,706,51,48,173,128,41,19,10,19,500,22,37,97,78,44,12,5,18,314,10,12,52,54,42,17,17,12,216,9,15,48,35,33,15,24,21,205,3398,1500,3484,1876,722,197,139,456,11769
POA2906,533,5,0,0,0,0,0,31,570,511,32,12,0,0,0,0,24,574,392,102,77,25,0,0,0,27,623,200,155,200,47,20,3,6,17,653,117,128,285,115,34,7,3,20,701,88,82,233,118,40,10,5,22,602,98,102,285,120,44,0,4,17,680,82,99,333,159,42,18,5,11,754,91,68,287,177,69,10,9,10,719,56,61,202,96,31,6,6,9,474,38,36,131,87,32,11,6,14,359,18,23,125,66,24,7,12,10,291,9,14,62,53,26,10,3,8,189,6,9,29,42,32,6,8,17,153,5,6,35,19,21,5,11,26,124,2248,924,2293,1135,414,103,75,271,7462
POA2911,94,0,0,0,0,0,0,12,103,112,6,3,0,0,0,0,9,123,134,27,12,3,0,0,0,11,188,123,74,52,10,6,0,0,9,266,67,65,143,33,8,0,0,11,331,31,44,114,25,4,0,0,0,218,27,32,63,17,0,0,0,5,148,23,21,40,11,4,0,0,0,110,15,15,35,15,0,0,0,0,84,7,13,24,5,7,0,0,3,54,7,10,30,19,7,0,0,0,72,7,8,22,6,10,0,0,3,47,0,3,22,15,3,4,0,0,53,0,0,17,12,3,0,0,6,39,0,0,4,10,8,0,0,0,27,648,319,586,184,53,11,3,66,1865
POA2912,218,0,0,0,0,0,0,9,233,360,13,5,0,0,0,0,36,416,523,66,22,4,0,0,0,34,642,288,120,66,18,3,0,0,27,521,124,92,112,33,0,0,0,20,375,74,50,118,51,4,3,3,9,320,50,40,99,34,13,10,5,9,258,33,38,75,46,9,0,0,7,216,27,36,62,28,13,7,0,4,171,17,38,37,33,6,0,0,3,141,6,29,47,24,8,0,0,4,121,10,17,25,22,14,0,0,0,83,0,10,12,11,6,0,3,5,44,0,0,9,11,5,0,5,4,34,0,0,3,6,4,0,0,0,19,1731,554,698,303,95,23,16,175,3589
POA2913,976,0,0,0,0,0,0,63,1049,1112,41,16,3,0,0,0,70,1242,1212,224,119,33,13,0,0,110,1711,778,497,451,103,22,10,0,57,1921,424,400,755,234,53,15,7,62,1946,243,264,628,228,55,22,13,40,1493,214,218,552,222,62,19,7,46,1347,166,196,471,235,72,16,5,29,1192,144,167,397,206,59,8,11,28,1018,103,124,309,191,54,18,4,21,824,62,97,264,151,59,17,15,28,693,46,69,239,162,46,12,7,22,603,7,40,134,90,34,12,11,18,348,10,20,59,62,18,10,13,11,205,3,11,32,23,25,10,13,9,126,5508,2370,4424,1946,580,167,114,622,15740
POA2914,986,0,0,0,0,0,0,81,1065,914,42,20,0,0,0,0,81,1058,909,206,115,23,7,3,0,73,1333,614,454,406,113,24,6,4,76,1688,314,444,739,260,69,17,6,77,1926,212,281,729,290,75,14,7,41,1648,144,192,598,238,76,13,13,41,1312,102,157,362,166,41,9,12,33,887,81,96,247,101,52,9,8,14,596,36,79,167,84,33,10,3,11,420,22,57,145,78,33,4,4,11,357,16,25,104,65,23,10,3,10,258,4,14,60,48,18,10,6,6,154,6,3,29,20,6,3,4,0,75,0,0,20,3,5,3,3,0,38,4351,2068,3728,1486,463,98,81,547,12821
