POA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
POA2612,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,17,0,0,0,0,0,8,10,9,0,6,8,0,9,0,0,47,0,0,4,8,4,17,7,18,3,8,0,11,5,0,0,92,0,6,0,4,27,57,134,193,92,94,67,75,19,0,8,763,0,3,14,5,6,3,0,0,0,0,0,0,0,0,5,42,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,10,0,5,0,6,4,7,7,0,0,0,0,0,0,5,0,31,14,4,8,6,3,11,15,14,0,0,5,4,0,3,0,97,0,9,15,0,0,0,0,7,0,0,0,0,0,0,0,25,0,0,3,3,24,33,42,23,6,7,5,3,0,0,0,143,0,0,0,4,18,32,100,78,20,38,47,51,18,3,13,427,0,0,0,0,6,10,15,11,6,4,10,6,12,0,0,71,0,0,0,0,6,3,8,21
POA2614,0,0,0,0,0,0,3,21,3,0,0,0,0,0,0,31,0,0,0,0,0,3,21,19,3,10,6,8,0,0,0,75,0,0,9,7,15,16,9,5,3,4,0,4,5,0,0,75,0,0,5,4,42,46,129,68,29,25,19,28,7,3,9,404,0,5,27,4,0,4,0,0,0,0,0,0,0,0,3,44,3,0,0,0,0,0,4,5,0,0,0,5,0,0,0,26,0,0,6,3,6,16,9,3,0,0,0,0,0,0,0,40,28,28,12,0,11,8,21,9,0,0,0,3,0,0,0,121,8,16,44,4,0,4,3,0,0,0,0,0,0,0,0,81,0,4,3,9,20,13,5,7,0,0,0,3,0,0,0,73,4,4,11,14,11,27,84,101,29,43,61,55,16,0,14,478,0,3,4,0,11,8,10,6,6,16,5,7,0,0,0,73,0,0,0,0,6,4,17,12
POA2615,0,0,0,0,5,16,36,39,4,6,12,0,0,5,0,138,0,0,0,0,9,15,57,29,9,8,0,6,3,0,3,132,0,0,3,25,12,19,27,11,4,3,0,7,0,0,0,111,5,10,0,5,34,69,178,122,32,30,22,30,8,0,15,554,0,13,61,13,11,10,5,0,0,0,0,0,0,0,0,114,0,5,4,4,6,3,16,13,0,0,9,0,0,0,0,56,0,0,5,11,19,28,52,4,5,0,0,4,5,0,0,139,59,64,37,12,23,18,31,15,7,5,0,3,0,0,3,270,3,19,46,24,0,7,0,3,0,0,0,0,0,0,3,102,0,4,4,10,24,18,26,9,5,0,0,3,0,0,0,111,3,4,8,13,24,56,445,279,81,79,83,78,37,4,14,1191,0,3,5,19,14,15,25,20,0,4,0,5,0,0,0,114,0,0,0,0,5,7,6,29
POA2617,0,0,0,0,0,11,14,29,0,6,0,0,0,0,0,60,0,0,0,0,0,12,39,44,18,14,24,11,3,4,0,168,0,0,7,22,12,13,24,17,6,0,3,3,3,0,0,112,0,3,0,22,76,148,438,589,235,269,221,184,58,3,38,2292,0,11,71,41,11,19,4,0,0,0,0,0,0,0,0,159,0,0,8,6,6,3,5,4,3,0,0,3,0,0,0,40,0,0,0,3,9,20,30,8,0,5,0,0,0,0,0,83,32,29,13,12,18,20,26,8,4,0,0,3,0,0,5,174,3,22,50,23,11,0,0,3,0,0,0,0,0,0,3,120,0,6,3,18,35,34,38,34,5,9,4,7,12,4,0,220,3,0,11,14,53,94,349,303,95,163,162,135,83,0,15,1482,0,3,0,6,8,13,37,24,15,15,18,19,3,0,0,166,0,0,0,0,5,11,32,55
POA2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0
POA2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,12,0,0,0,0,9,8,6,10,4,0,0,0,0,0,5,46,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,5,8,0,0,0,0,0,0,0,14,6,4,4,0,0,0,6,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,4,9,4,3,0,0,0,0,0,3,0,3,31,0,0,6,4,3,15,71,91,34,19,18,20,3,6,6,279,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,4
POA2902,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,10,3,0,0,0,0,0,0,0,21,0,0,6,7,9,9,10,7,0,0,0,0,0,0,0,44,0,0,3,8,9,11,25,15,3,4,4,0,0,0,0,77,0,3,33,4,0,4,0,0,0,0,0,0,0,0,0,49,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,13,0,0,0,0,3,3,4,5,0,0,0,0,0,0,0,18,22,25,23,15,8,0,4,7,0,0,3,0,0,0,0,98,0,6,13,8,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,29,0,0,7,4,8,16,95,99,21,12,29,17,3,0,3,314,0,0,3,3,6,5,12,3,0,0,0,0,0,0,0,37,0,0,0,0,0,0,4,6
POA2903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,4,6,0,0,0,0,0,0,0,0,20,0,0,0,0,10,15,19,11,4,3,0,7,0,0,0,67,0,3,10,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,19,15,10,3,0,0,6,7,0,0,0,0,0,0,0,0,44,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,5,6,7,0,0,0,0,0,0,0,0,0,22,0,0,13,6,0,12,70,87,11,17,33,15,9,0,0,280,0,0,0,7,3,3,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,4
POA2904,0,0,0,0,0,6,12,7,0,0,0,0,0,0,0,23,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,20,0,0,0,3,7,9,4,4,0,0,0,0,0,0,5,35,0,7,3,3,23,17,29,13,0,5,0,3,0,0,3,113,0,4,21,16,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,3,6,0,9,0,0,0,0,0,0,0,0,13,19,22,9,3,8,8,4,0,0,0,0,0,0,0,0,74,0,11,13,6,0,0,0,0,0,0,0,0,0,0,0,32,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,29,0,0,3,13,19,27,85,79,7,14,12,6,10,5,10,295,0,0,0,4,3,0,5,4,0,0,0,0,0,0,0,14,0,0,0,0,3,0,6,4
POA2905,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,16,0,0,0,0,5,22,11,14,0,0,0,0,0,0,0,62,0,0,0,11,11,12,10,6,0,0,6,0,4,0,0,55,0,8,4,12,26,32,48,20,3,0,9,6,0,0,0,172,0,9,39,14,6,8,0,0,0,0,0,0,0,0,0,75,0,0,3,0,0,4,3,5,0,0,0,0,0,0,0,19,0,0,0,0,13,6,15,8,0,0,0,0,0,0,0,52,14,30,8,11,15,7,12,6,0,4,0,0,0,0,6,121,0,10,8,11,0,4,0,0,0,0,0,0,0,0,0,33,0,0,0,5,13,5,13,0,0,0,0,0,0,0,0,42,0,0,9,6,13,40,248,244,42,26,29,35,4,5,7,713,0,0,4,3,9,6,12,0,0,0,0,0,0,0,0,34,0,0,0,0,5,3,9,4
POA2906,0,0,0,0,0,8,5,3,0,0,0,0,0,0,0,18,0,0,0,0,12,13,10,4,0,0,0,0,0,0,0,42,0,0,3,10,5,4,5,4,0,0,0,0,0,0,0,24,0,0,0,6,10,7,27,13,0,0,3,0,0,0,4,79,0,6,21,3,8,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,3,7,0,0,0,0,3,0,0,0,18,0,0,0,0,12,4,6,6,0,0,0,0,0,0,0,29,5,19,14,8,0,11,6,4,0,0,0,0,0,0,0,69,0,0,12,7,0,0,6,0,0,0,0,0,0,0,3,25,0,0,5,7,10,12,3,3,0,0,0,0,0,0,0,44,0,0,9,11,11,23,150,131,16,23,17,16,4,0,7,415,0,0,0,0,7,0,7,3,0,4,0,0,0,0,0,18,0,0,0,0,10,8,6,5
POA2911,0,0,0,0,3,10,6,7,5,0,0,0,0,0,0,21,0,0,0,0,0,27,40,4,0,0,0,0,0,0,0,71,0,0,0,0,3,3,4,3,0,0,0,0,0,0,0,12,0,0,0,3,12,24,159,70,17,21,9,25,4,0,5,350,0,0,8,0,6,0,0,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,12,0,0,0,0,6,4,7,0,0,0,0,0,0,0,0,19,0,0,5,0,0,3,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,9,7,3,0,0,0,0,0,0,0,34,0,0,5,4,5,24,180,46,16,10,12,5,8,4,3,311,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,5,3
POA2912,0,0,0,0,4,10,5,29,0,0,14,5,8,0,0,68,0,0,0,0,5,4,20,9,0,17,7,4,6,0,3,74,0,0,4,0,0,5,0,6,0,0,0,0,0,0,0,13,0,0,0,0,17,62,184,193,66,75,65,49,19,3,16,743,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18,0,0,0,0,0,18,7,0,0,0,0,0,0,0,0,29,0,0,5,0,4,0,6,0,0,0,0,0,0,0,0,17,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,3,7,16,9,14,5,0,4,4,0,0,0,66,0,0,0,0,15,29,134,153,58,64,91,62,16,10,4,641,0,0,0,0,3,3,10,4,0,5,0,0,0,0,0,27,0,0,0,0,9,9,5,21
