POA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
POA2612,0,0,0,0,580,580,15,0,3,0,1768,1785,453,15,23,0,2266,2756,553,31,77,3,678,1344,438,45,105,8,294,883,467,45,115,6,175,800,344,19,80,17,89,541,186,8,32,22,23,268,52,3,8,21,3,79,2506,160,443,77,5862,9043,0,0,0,0,408,408,32,3,0,0,1588,1618,518,20,45,0,2021,2601,540,36,94,5,493,1169,444,48,112,7,235,852,434,27,118,29,128,743,314,29,118,54,55,569,120,9,68,95,22,308,25,0,9,94,8,143,2433,169,570,281,4961,8409,0,0,0,0,990,990,47,3,3,0,3354,3406,966,29,70,0,4289,5359,1091,66,172,10,1173,2514,886,87,221,20,524,1731,901,76,235,31,299,1544,660,43,197,69,145,1112,304,20,100,115,39,581,72,3,12,120,16,220,4936,329,1014,361,10821,17460
POA2614,0,0,0,0,541,541,5,0,0,0,638,651,459,13,15,0,952,1440,884,46,65,0,408,1408,807,62,116,7,327,1322,656,33,129,9,202,1029,570,21,115,27,90,819,520,15,70,91,23,713,160,5,19,77,12,262,4057,193,540,211,3189,8181,0,0,0,0,544,544,36,5,0,0,548,585,561,27,33,0,804,1426,931,44,96,0,404,1484,768,73,182,13,304,1347,662,39,177,41,170,1089,597,32,238,139,88,1089,426,12,115,275,33,855,93,4,22,224,8,350,4074,235,865,700,2895,8759,0,0,0,0,1085,1085,42,6,0,0,1187,1236,1019,39,53,3,1749,2865,1820,94,163,0,807,2893,1574,134,300,19,632,2664,1320,71,306,50,368,2117,1162,47,351,167,178,1905,938,24,189,365,46,1569,251,4,34,303,18,610,8129,424,1401,908,6077,16948
POA2615,0,0,0,0,1428,1432,29,0,0,0,1308,1337,1184,38,59,0,2021,3302,2412,115,174,3,1028,3733,1874,121,325,22,704,3046,1441,99,346,32,328,2245,1379,56,258,73,124,1895,741,25,88,117,24,996,122,0,12,67,4,213,9186,456,1267,323,6966,18196,0,0,0,0,1292,1290,73,4,0,0,1170,1254,1559,79,92,3,1705,3431,2471,161,292,21,989,3939,1805,160,472,54,612,3098,1371,105,575,136,286,2477,1320,85,450,305,112,2270,502,16,162,362,39,1078,54,0,29,177,9,274,9164,611,2067,1054,6205,19104,0,0,3,0,2716,2720,102,6,0,0,2479,2589,2745,118,148,6,3722,6734,4884,271,472,24,2018,7672,3678,285,797,75,1315,6151,2815,208,913,168,610,4718,2696,142,711,384,236,4169,1244,40,245,474,66,2072,181,3,45,240,14,481,18348,1070,3333,1377,13166,37301
POA2617,0,0,0,0,993,996,68,0,0,0,1930,1998,1371,49,48,0,3088,4563,1646,81,140,5,904,2780,1150,65,230,7,436,1889,970,66,228,26,222,1507,1152,46,157,46,84,1484,493,15,55,64,33,665,149,0,9,63,7,230,6988,327,878,211,7706,16114,0,0,0,0,969,974,142,4,8,0,2071,2225,1634,67,75,3,2473,4257,1575,102,180,8,764,2624,1069,89,279,25,381,1844,1026,77,319,71,189,1695,1075,42,276,197,98,1689,344,22,93,275,36,767,71,4,32,228,15,341,6935,407,1261,810,7006,16413,0,0,0,0,1960,1962,204,10,9,0,4006,4230,3003,125,131,4,5560,8820,3217,179,320,20,1669,5406,2216,154,508,38,820,3736,2001,140,547,94,407,3197,2230,82,429,236,183,3168,840,32,148,335,74,1432,212,6,40,297,19,577,13929,731,2140,1020,14709,32527
POA2618,0,0,0,0,47,47,0,0,0,0,32,32,17,0,3,0,34,53,40,0,5,0,27,73,88,3,10,0,18,118,75,0,4,0,7,89,63,0,0,7,4,75,47,0,0,4,0,51,5,0,0,0,0,7,331,9,27,10,173,549,0,0,0,0,59,59,0,0,0,0,34,34,22,0,0,0,30,53,59,0,8,0,31,96,82,3,9,0,18,119,69,3,13,4,8,84,73,0,16,4,0,96,26,0,5,6,0,46,0,0,0,4,0,5,332,12,48,28,181,592,0,0,0,0,108,108,0,0,0,0,64,66,39,0,3,0,68,108,98,0,14,0,55,170,167,13,17,0,38,239,142,3,14,8,11,173,140,5,19,13,5,175,72,0,6,13,0,94,10,0,0,7,0,18,659,19,75,34,346,1140
POA2900,0,0,0,0,54,54,4,0,0,0,155,162,173,11,7,0,344,526,144,11,28,0,110,307,77,25,43,0,48,194,89,13,41,9,26,182,125,9,37,10,12,192,93,3,4,18,6,126,25,0,0,17,0,43,731,76,175,46,768,1794,0,0,0,0,49,49,15,0,0,0,170,182,204,13,15,0,291,521,122,20,25,5,112,285,87,23,55,0,55,225,104,22,80,12,23,241,104,10,60,35,8,213,77,4,26,42,0,148,6,0,0,45,0,61,719,95,265,136,713,1932,0,0,0,0,109,109,18,0,0,0,329,345,376,20,23,0,635,1051,270,35,58,3,222,590,162,47,96,0,107,419,191,38,124,15,53,419,227,21,96,43,20,408,170,5,33,55,12,272,33,0,4,62,0,105,1450,168,440,184,1480,3720
POA2902,0,0,0,0,483,483,8,0,0,0,442,444,262,17,15,0,658,950,605,40,64,8,327,1041,620,32,100,6,258,1024,534,53,123,17,150,867,711,22,116,31,40,914,318,9,46,44,8,436,58,0,10,24,6,93,3116,168,472,132,2362,6256,0,0,0,0,429,429,11,0,0,0,375,388,335,20,23,0,530,905,675,38,76,9,291,1086,613,48,153,18,239,1078,534,48,175,47,120,928,683,29,215,130,52,1109,233,4,71,129,16,457,16,0,15,64,4,98,3097,190,728,402,2050,6465,0,0,0,0,913,913,20,0,0,0,815,837,596,34,41,0,1185,1855,1283,74,143,13,614,2131,1231,83,256,26,499,2100,1065,101,298,64,262,1798,1389,46,329,161,93,2020,555,20,118,172,25,887,75,0,22,89,9,191,6218,360,1203,534,4416,12729
POA2903,0,0,0,0,311,317,3,0,0,0,244,248,207,6,9,0,401,625,396,14,33,0,194,649,373,26,58,0,154,617,369,22,78,12,88,560,428,18,73,14,24,562,153,8,17,23,4,206,26,3,0,7,0,44,1973,84,265,59,1431,3822,0,0,0,0,226,226,16,0,0,0,222,237,257,16,12,0,311,595,463,27,52,3,153,695,336,35,72,10,120,572,378,31,135,28,75,653,405,18,98,76,21,622,93,4,32,61,9,200,12,0,3,47,0,62,1973,118,414,228,1136,3868,0,0,0,0,537,546,20,0,0,0,465,487,467,18,22,0,708,1215,862,41,85,4,350,1338,715,57,133,11,272,1185,750,51,215,41,163,1218,837,35,179,92,46,1186,245,10,47,89,13,404,45,3,4,55,3,106,3949,206,682,289,2569,7688
POA2904,0,0,0,0,362,362,6,0,0,0,334,340,242,10,8,0,472,729,593,27,33,3,203,865,527,33,66,11,122,764,637,25,104,9,66,839,615,17,88,31,34,783,234,9,28,30,10,300,68,0,0,40,6,112,2925,120,332,122,1600,5098,0,0,0,0,350,350,17,0,0,0,285,302,321,10,27,0,363,718,645,31,57,0,177,913,525,52,108,8,117,816,689,34,169,38,71,999,532,25,131,104,37,832,178,6,46,161,4,399,37,5,13,181,0,238,2937,168,555,500,1408,5566,0,0,0,0,716,714,18,0,0,0,618,640,563,15,35,0,834,1451,1232,61,95,4,381,1773,1053,90,175,17,241,1577,1320,56,272,49,137,1837,1153,44,218,140,71,1615,413,16,74,187,18,701,106,5,21,222,3,349,5862,284,883,621,3011,10667
POA2905,0,0,0,0,947,947,18,3,0,0,897,917,630,24,32,5,1322,2015,1168,79,122,0,588,1965,1130,83,194,8,363,1776,1308,71,286,26,212,1897,854,37,161,66,80,1195,292,9,53,50,4,402,66,0,0,46,0,110,5464,305,850,190,4421,11220,0,0,0,0,828,833,38,0,0,0,770,814,846,54,58,0,1145,2108,1183,94,145,8,528,1961,1179,105,316,39,320,1952,1313,92,451,92,204,2158,649,44,280,162,65,1205,208,12,101,184,23,533,28,0,20,152,0,205,5461,403,1368,640,3900,11769,0,0,0,0,1776,1777,58,3,0,0,1668,1732,1485,79,92,4,2471,4123,2353,168,267,11,1122,3918,2307,188,511,42,680,3731,2623,162,737,121,420,4058,1503,86,442,219,149,2396,502,19,148,236,26,931,91,5,24,199,4,319,10926,705,2215,830,8317,22996
POA2906,0,0,0,0,594,594,12,0,0,0,622,635,390,16,24,0,777,1215,751,32,66,8,293,1141,848,60,134,4,251,1295,881,47,130,24,121,1207,411,22,98,26,31,583,192,7,22,36,6,269,48,0,0,30,0,83,3536,191,477,122,2689,7016,0,0,0,0,570,570,22,0,0,0,552,574,534,35,22,3,677,1276,805,75,105,7,311,1305,926,74,221,15,197,1434,761,63,220,55,98,1195,346,33,171,75,28,649,135,9,59,135,6,342,29,0,12,80,3,124,3557,288,809,366,2442,7462,0,0,0,0,1161,1161,32,0,0,0,1170,1206,927,53,47,6,1452,2484,1555,107,170,10,604,2449,1770,131,350,15,447,2724,1643,109,356,77,223,2405,751,56,267,95,62,1231,328,19,79,177,17,610,83,0,9,105,0,208,7090,474,1288,482,5134,14472
POA2911,0,0,0,0,108,108,5,0,0,0,111,116,169,3,5,0,223,407,405,11,24,0,71,515,219,11,16,4,47,298,117,6,10,0,7,142,87,0,0,0,4,97,39,0,4,3,0,49,10,0,0,9,0,18,1048,36,66,17,582,1743,0,0,0,0,103,103,9,0,0,0,119,123,230,7,12,0,210,456,426,11,30,0,82,547,192,4,34,6,26,254,88,4,33,3,17,139,69,9,18,22,9,126,30,0,5,49,3,88,3,0,0,16,0,27,1043,32,140,93,562,1865,0,0,0,0,208,208,9,0,0,0,226,241,398,9,21,0,433,861,835,24,53,0,155,1060,410,15,48,3,78,555,208,8,43,5,21,284,150,10,19,27,11,218,72,4,13,47,3,140,10,0,6,23,0,38,2093,69,206,108,1142,3612
POA2912,0,0,0,0,215,213,16,0,0,0,383,404,500,18,17,0,694,1225,470,39,37,0,173,719,356,37,48,0,82,522,229,21,37,3,28,315,123,4,19,4,8,157,51,0,4,7,0,67,15,0,0,0,0,13,1753,129,161,20,1578,3634,0,0,0,0,233,233,42,3,6,0,363,416,555,22,21,0,563,1160,436,32,51,7,172,694,304,31,76,6,58,473,186,7,75,18,26,310,110,4,42,35,9,201,31,3,7,34,0,82,8,0,0,10,0,19,1677,111,273,105,1423,3589,0,0,0,0,446,448,64,3,6,0,743,812,1057,46,38,0,1255,2390,903,76,84,8,344,1415,660,66,120,6,139,996,414,35,115,18,53,632,238,11,61,38,13,357,86,5,12,40,3,148,19,0,3,16,0,33,3428,239,437,130,3001,7224
POA2913,0,0,0,0,1088,1086,43,0,0,6,1297,1337,1371,40,47,0,2005,3462,2461,86,187,8,732,3470,1760,80,229,18,344,2429,1265,63,195,25,156,1708,824,40,122,54,43,1078,398,9,28,52,11,498,65,0,3,30,0,101,8184,328,811,182,5674,15178,0,0,0,0,1048,1049,82,0,3,0,1157,1242,1871,68,70,8,1617,3633,2357,120,255,17,695,3445,1673,113,366,46,357,2541,1147,79,348,98,172,1839,720,48,267,214,49,1302,259,11,75,205,10,561,25,3,9,83,4,126,8137,440,1394,669,5105,15740,0,0,0,0,2131,2131,123,5,3,6,2457,2583,3241,102,113,8,3621,7091,4819,212,441,25,1424,6922,3434,197,596,59,697,4975,2417,141,536,119,331,3547,1543,82,387,265,97,2376,658,16,101,254,20,1055,89,4,14,111,5,226,16320,765,2204,847,10780,30911
