POA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA2612,9810,9154,18965,291,270,561,470,478,945,580,408,990,1785,1618,3406,2756,2601,5359,1344,1169,2514,883,852,1731,800,743,1544,541,569,1112,268,308,581,79,143,220,9384,8739,18123,424,413,837,110,83,198,5,5,13,9,0,8,121,100,217,6467,5983,12450,2605,2749,5356,7152,6673,13825,1897,2047,3939,7981,7525,15506,79,75,150,447,464,907,474,348,824,1056,967,2023,901,875,1773,7534,7216,14753,220,211,434,371,365,743,93,101,194,73,75,146,14,16,33,7957,8172,16131,2011,1008,3023
POA2614,10048,10545,20595,572,541,1114,1297,1241,2541,541,544,1085,651,585,1236,1440,1426,2865,1408,1484,2893,1322,1347,2664,1029,1089,2117,819,1089,1905,713,855,1569,262,350,610,9673,10178,19847,374,374,750,158,142,298,3,3,4,0,6,7,157,155,311,6984,7356,14336,2661,2836,5491,7586,8051,15634,2002,2079,4088,8639,9186,17826,185,176,359,1240,1192,2435,445,451,900,289,286,580,588,636,1230,6150,6476,12627,338,360,701,787,972,1761,242,265,510,183,238,418,46,40,86,9490,9969,19463,451,437,892
POA2615,23423,23932,47356,1690,1547,3239,3535,3281,6817,1432,1290,2720,1337,1254,2589,3302,3431,6734,3733,3939,7672,3046,3098,6151,2245,2477,4718,1895,2270,4169,996,1078,2072,213,274,481,22697,23272,45973,723,655,1382,603,580,1180,5,10,18,13,19,37,625,605,1234,17433,17458,34887,5277,5802,11079,18271,18303,36574,4359,4880,9240,21122,21529,42644,484,460,951,3399,3131,6531,1116,1053,2168,520,549,1069,1000,1465,2465,12269,13033,25298,1097,1006,2109,2868,3026,5891,712,792,1508,464,492,956,99,148,250,22625,23134,45761,583,603,1194
POA2617,19049,19026,38073,1001,933,1927,1936,1682,3620,996,974,1962,1998,2225,4230,4563,4257,8820,2780,2624,5406,1889,1844,3736,1507,1695,3197,1484,1689,3168,665,767,1432,230,341,577,18343,18396,36738,707,628,1336,334,296,630,9,4,16,4,8,14,352,312,663,11811,11484,23299,6568,6900,13469,12385,12154,24533,5936,6151,12088,14927,14982,29910,262,276,541,1853,1606,3462,803,805,1608,1099,1362,2469,1533,1697,3233,12456,12704,25161,650,538,1182,1466,1625,3089,409,394,804,336,398,734,103,90,200,17555,17436,34993,1473,1656,3127
POA2618,674,720,1397,34,30,63,88,105,194,47,59,108,32,34,66,53,53,108,73,96,170,118,119,239,89,84,173,75,96,175,51,46,94,7,5,18,644,687,1334,30,35,64,10,13,28,0,0,0,0,0,0,10,13,28,565,588,1146,74,96,175,606,640,1250,44,48,92,627,673,1300,8,9,19,87,97,187,46,51,96,13,11,29,18,30,49,342,403,743,25,30,60,102,99,208,29,19,50,16,11,24,0,0,0,642,682,1319,22,30,54
POA2900,2024,2153,4177,120,112,224,113,116,234,54,49,109,162,182,345,526,521,1051,307,285,590,194,225,419,182,241,419,192,213,408,126,148,272,43,61,105,1943,2088,4031,80,65,147,46,44,84,0,0,0,0,10,10,47,48,98,1290,1411,2697,641,655,1300,1432,1542,2977,481,505,993,1694,1787,3482,26,25,47,110,112,216,50,40,93,42,64,108,113,145,255,1306,1354,2657,102,86,187,213,293,506,48,69,118,27,35,54,0,3,8,1919,2060,3983,110,98,209
POA2902,7780,7886,15670,446,413,865,1077,1006,2083,483,429,913,444,388,837,950,905,1855,1041,1086,2131,1024,1078,2100,867,928,1798,914,1109,2020,436,457,887,93,98,191,7482,7595,15080,305,294,594,215,232,446,9,8,12,10,15,22,234,253,484,5966,5920,11891,1526,1707,3235,6433,6463,12902,1051,1147,2197,7099,7225,14322,116,132,247,1007,953,1963,385,348,731,179,174,360,289,407,696,4212,4303,8520,362,328,694,955,1089,2046,247,281,532,199,186,382,24,27,52,7420,7573,14993,240,216,458
POA2903,4837,4750,9588,290,271,561,722,607,1336,317,226,546,248,237,487,625,595,1215,649,695,1338,617,572,1185,560,653,1218,562,622,1186,206,200,404,44,62,106,4651,4604,9256,187,141,329,152,158,311,4,0,5,6,3,11,167,163,334,3710,3515,7227,979,1089,2071,3943,3775,7717,742,818,1560,4450,4344,8796,96,84,180,704,593,1297,243,196,436,90,95,193,173,225,394,2602,2595,5197,227,197,427,591,645,1241,137,155,296,98,116,212,6,15,29,4642,4594,9233,121,119,240
POA2904,6407,6790,13196,423,357,782,886,865,1747,362,350,714,340,302,640,729,718,1451,865,913,1773,764,816,1577,839,999,1837,783,832,1615,300,399,701,112,238,349,6225,6600,12823,179,188,365,161,135,296,6,7,9,0,3,4,160,144,313,4854,5077,9923,1432,1572,2999,5263,5478,10744,1000,1133,2129,6003,6341,12346,138,97,237,869,838,1706,290,297,586,146,147,292,205,287,499,3591,3711,7308,290,277,570,766,985,1746,183,216,406,116,194,307,18,23,45,6218,6501,12717,138,236,379
POA2905,14144,14593,28731,968,907,1875,1954,1915,3865,947,833,1777,917,814,1732,2015,2108,4123,1965,1961,3918,1776,1952,3731,1897,2158,4058,1195,1205,2396,402,533,931,110,205,319,13639,14130,27764,508,461,969,444,451,895,7,12,20,19,13,35,474,471,943,10973,11167,22144,2746,3032,5781,11492,11758,23248,2204,2410,4612,13080,13536,26618,267,268,539,1859,1823,3685,717,633,1353,293,300,596,449,721,1167,7011,7563,14575,767,713,1477,2212,2249,4464,491,501,988,308,328,629,48,65,116,13586,14010,27593,359,392,744
POA2906,8858,9245,18107,569,566,1135,1273,1216,2491,594,570,1161,635,574,1206,1215,1276,2484,1141,1305,2449,1295,1434,2724,1207,1195,2405,583,649,1231,269,342,610,83,124,208,8583,8994,17577,274,248,528,281,265,542,9,5,5,8,9,11,282,277,563,6922,7115,14038,1707,1878,3585,7326,7520,14848,1284,1464,2746,8262,8559,16818,154,167,322,1231,1152,2380,453,462,916,215,198,408,277,469,743,4422,4799,9216,509,483,991,1358,1384,2745,301,335,638,162,176,341,31,42,72,8559,8887,17442,177,254,429
POA2911,2351,2459,4804,218,222,438,386,371,755,108,103,208,116,123,241,407,456,861,515,547,1060,298,254,555,142,139,284,97,126,218,49,88,140,18,27,38,2277,2393,4671,71,65,137,34,50,85,0,0,0,0,0,0,34,50,84,1433,1499,2932,863,907,1774,1357,1454,2807,924,944,1869,2033,2102,4136,71,85,158,361,362,721,100,94,188,49,60,107,142,184,324,1429,1514,2946,70,61,127,140,149,291,42,49,86,20,32,50,5,14,20,2280,2406,4681,36,36,73
POA2912,4342,4264,8604,288,273,560,415,397,817,213,233,448,404,416,812,1225,1160,2390,719,694,1415,522,473,996,315,310,632,157,201,357,67,82,148,13,19,33,4220,4124,8341,125,139,261,72,70,145,0,3,4,0,0,3,73,77,153,2102,2068,4164,2082,2040,4127,2074,2100,4173,2080,1979,4054,2921,2918,5843,69,66,135,395,381,770,163,191,356,182,190,369,391,470,859,2809,2792,5599,156,136,295,303,310,615,98,98,197,66,72,140,38,36,75,4158,4081,8241,173,164,334
POA2913,19571,19820,39396,1543,1460,2998,2856,2628,5482,1086,1049,2131,1337,1242,2583,3462,3633,7091,3470,3445,6922,2429,2541,4975,1708,1839,3547,1078,1302,2376,498,561,1055,101,126,226,19042,19335,38374,531,489,1021,321,331,655,7,7,17,9,11,12,335,345,678,12261,12344,24605,6754,6929,13682,12028,12199,24225,6890,6958,13851,16531,16737,33267,457,440,902,2714,2485,5202,883,877,1758,599,605,1197,1111,1478,2592,11488,11739,23223,745,715,1464,1559,1826,3381,458,473,933,277,366,644,101,111,212,18896,19193,38090,447,449,892
POA2914,17290,17283,34576,1451,1377,2830,3210,3090,6292,1073,1065,2138,1054,1058,2111,2912,3020,5932,3483,3574,7059,2370,2198,4566,980,1018,2007,521,613,1136,199,234,431,38,38,72,16896,16950,33847,392,338,725,242,238,481,4,0,10,11,9,22,256,249,506,10206,10229,20434,6556,6540,13098,9697,9668,19371,6943,6996,13937,14407,14464,28871,442,382,825,3066,2954,6023,914,917,1833,452,502,954,966,1200,2167,9706,9876,19579,653,626,1281,1174,1236,2409,339,322,665,204,216,420,63,88,158,16708,16762,33467,442,451,896
