POA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA2612,125,105,46,30,37,20,15,379,49,31,27,15,29,12,7,171,71,46,30,14,19,4,6,198,247,198,137,87,128,58,20,880,0,0,0,0,0,0,0,0,494,387,239,152,212,92,48,1625,9,15,10,10,15,10,4,75,4,4,0,3,3,7,0,24,0,13,5,4,3,0,0,31,19,27,13,19,16,16,7,119,4,0,0,0,0,0,0,3,41,62,36,36,36,32,14,252,531,448,273,186,249,127,64,1879
POA2614,242,242,126,81,89,43,13,828,86,99,49,47,54,17,9,370,101,95,64,38,53,17,11,384,507,592,367,244,309,86,53,2157,6,0,0,0,0,0,0,9,945,1034,611,411,505,162,87,3751,17,34,22,10,13,7,9,121,15,21,20,8,11,4,5,74,12,14,17,6,12,13,0,73,66,93,78,58,82,18,11,415,0,4,0,0,0,0,0,8,115,163,127,89,123,45,19,687,1063,1197,739,498,635,207,107,4443
POA2615,687,655,367,188,229,130,54,2304,205,229,122,94,91,39,15,796,239,248,132,86,104,47,17,867,1626,1683,956,558,677,196,78,5778,8,7,5,0,0,0,0,16,2762,2824,1576,927,1101,411,167,9762,63,96,60,45,56,36,25,385,53,71,41,29,42,10,5,244,19,26,27,13,26,13,13,132,178,348,273,174,234,69,34,1308,16,13,11,3,3,0,0,46,327,563,409,265,364,122,69,2112,3090,3381,1987,1190,1461,529,241,11881
POA2617,583,486,216,131,146,87,47,1692,136,117,62,44,52,22,16,457,185,153,92,42,55,28,19,568,741,783,410,273,303,140,39,2687,3,0,4,0,0,0,0,11,1646,1544,781,496,557,270,123,5407,44,81,39,36,46,24,15,283,18,28,19,11,23,16,4,123,9,22,10,11,11,0,4,70,107,180,106,82,98,26,23,621,14,3,0,0,0,0,0,14,185,312,176,143,184,66,44,1108,1831,1853,957,638,744,335,160,6523
POA2618,0,5,0,0,0,8,0,19,0,4,4,0,8,4,0,27,4,5,0,4,10,0,0,24,45,57,51,27,43,19,6,253,0,0,0,0,0,0,0,3,49,73,62,36,59,21,9,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,9,55,79,63,40,66,24,9,331
POA2900,101,45,10,0,4,3,0,167,8,8,5,4,0,0,4,25,11,3,3,0,0,5,0,19,59,32,15,13,11,3,0,138,0,0,0,0,0,0,0,0,177,90,26,18,28,13,4,354,4,8,7,0,10,5,0,31,3,4,4,4,0,0,0,13,4,6,0,0,9,3,0,18,24,28,15,9,17,6,0,105,6,0,0,0,0,0,0,6,39,42,19,11,29,15,4,168,217,129,50,30,58,30,9,522
POA2902,138,127,83,39,62,38,11,490,58,87,50,33,31,18,11,277,75,82,49,34,42,22,11,309,436,498,299,183,238,90,51,1798,0,3,0,0,0,0,0,4,707,795,483,283,370,161,82,2881,11,12,13,4,11,10,5,64,18,37,13,11,15,0,0,97,8,11,15,11,18,4,0,56,88,129,76,57,78,17,7,447,0,4,0,3,0,0,0,6,119,187,117,83,121,36,21,682,825,982,598,366,496,199,98,3561
POA2903,101,98,66,38,31,27,18,368,40,51,26,22,34,11,6,190,49,51,38,18,21,7,3,184,301,318,198,128,134,47,22,1150,0,0,0,0,0,0,0,4,485,525,326,204,223,90,53,1898,7,12,8,3,6,8,0,51,4,11,4,0,7,0,0,28,3,8,3,0,4,0,5,21,40,74,63,41,63,9,4,297,5,0,0,0,0,0,0,6,57,100,83,56,86,18,12,406,544,627,408,257,305,108,61,2307
POA2904,122,131,80,53,73,47,32,536,61,58,43,22,33,14,11,238,66,68,42,33,36,17,7,277,446,502,260,143,184,65,46,1643,0,0,4,0,0,0,0,3,700,765,428,255,324,135,97,2710,7,7,12,6,8,11,4,47,7,4,9,10,3,0,0,29,0,5,9,5,4,0,0,24,40,81,66,41,54,19,11,321,3,0,0,0,0,0,0,3,55,100,85,68,69,33,15,425,762,866,515,320,393,169,113,3137
POA2905,268,306,177,111,165,96,26,1143,117,126,62,37,68,32,10,454,112,128,65,39,51,14,9,420,1066,923,569,339,419,119,71,3511,4,8,0,0,0,0,0,17,1562,1492,871,536,700,265,120,5542,17,29,24,15,17,18,11,143,21,48,24,25,28,9,0,156,12,21,14,13,26,10,0,94,185,268,169,114,159,47,14,960,3,7,0,0,4,0,0,21,232,368,237,172,238,83,31,1360,1792,1856,1108,706,939,352,153,6901
POA2906,180,191,102,71,81,43,26,691,53,73,44,20,33,19,10,263,73,91,47,25,40,8,13,296,640,644,351,228,315,105,57,2333,3,0,4,4,0,0,0,7,944,991,542,351,466,185,99,3593,9,15,4,5,16,6,0,60,20,26,18,17,21,10,0,103,9,19,14,9,9,0,4,65,110,188,106,65,104,30,18,625,5,6,0,0,0,0,0,11,150,245,144,107,149,45,31,874,1103,1243,689,462,617,232,130,4464
POA2911,154,193,86,44,52,40,16,587,32,27,5,4,8,3,0,78,33,28,14,10,7,0,0,96,167,157,56,31,31,11,4,456,5,0,0,0,0,0,0,4,395,402,172,88,99,56,21,1229,4,6,4,4,5,0,6,26,0,4,0,0,0,0,0,18,3,3,4,0,4,0,0,21,15,16,9,5,11,3,5,65,0,0,0,0,0,0,0,0,31,29,26,13,17,4,8,129,424,436,191,104,115,62,24,1354
POA2912,285,193,80,49,81,45,20,750,20,20,14,16,13,4,0,78,41,46,14,14,5,3,0,127,122,103,72,53,82,30,9,470,0,0,0,0,0,0,0,0,467,367,172,128,180,79,29,1423,22,24,13,5,20,10,4,94,12,0,0,3,3,0,0,22,0,3,6,3,6,4,0,18,16,19,19,13,17,8,4,97,4,0,0,0,0,0,0,5,54,49,40,24,51,15,8,245,520,411,211,159,225,99,41,1670
POA2913,1170,1140,507,269,352,211,106,3760,187,139,90,54,82,40,10,599,207,197,93,48,74,28,16,665,1074,1012,568,326,430,187,68,3673,5,11,8,0,0,0,0,22,2647,2496,1255,696,938,467,204,8710,75,98,65,18,64,25,16,363,20,52,17,18,39,13,4,165,12,31,26,12,12,5,7,100,146,233,138,97,127,35,7,780,0,3,0,0,0,0,0,12,257,415,251,150,234,80,39,1427,2905,2914,1509,841,1183,550,244,10135
POA2914,1290,1443,726,366,413,229,105,4568,141,164,109,71,73,39,10,606,181,197,123,67,84,29,11,700,878,1120,597,341,464,143,63,3602,13,6,8,0,0,0,0,29,2512,2929,1559,847,1038,435,197,9513,57,84,72,34,62,23,15,346,19,39,32,16,22,10,5,139,13,25,16,17,14,0,0,83,95,197,128,80,109,50,3,664,12,0,0,0,5,0,0,22,196,345,248,150,206,86,22,1250,2708,3270,1806,999,1240,526,223,10765
