POA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA2617,2728,538,345,0,0,3614,2775,942,925,0,0,4644,624,926,2045,0,3,3606,284,215,103,0,0,599,26,18,41,0,0,90,430,329,518,0,0,1276,113,63,88,0,4,268,12,5,4,0,0,21,1493,1556,2798,0,9,5860,66,99,97,0,0,258,77,31,32,0,5,140,7134,3166,4196,0,14,14514
POA2618,193,4,0,0,4,201,128,3,0,0,0,137,23,6,0,0,0,29,0,6,0,0,0,6,0,0,0,0,0,0,34,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,61,9,0,0,4,73,15,0,0,0,3,19,6,0,0,0,0,8,409,19,0,0,9,434
POA2900,38,216,216,0,0,473,17,249,463,0,0,730,11,149,414,0,4,576,0,46,31,0,0,72,0,4,0,0,0,8,3,34,108,0,4,149,0,3,9,0,0,10,0,0,5,0,0,5,16,236,560,0,0,813,0,3,62,0,0,63,0,10,22,0,0,26,68,709,1320,0,3,2107
POA2902,1876,208,8,0,0,2085,2130,244,13,0,0,2387,327,101,11,0,0,436,324,106,70,0,4,496,20,7,0,0,0,31,166,60,7,0,0,236,26,5,0,0,0,33,4,0,0,0,0,9,865,285,90,0,4,1234,37,40,5,0,0,80,46,8,4,0,0,52,4953,777,114,0,4,5852
POA2903,1180,57,4,0,0,1239,1391,65,3,0,0,1455,210,53,6,0,0,271,173,108,3,0,0,285,17,0,0,0,0,19,134,18,0,0,0,160,9,0,0,0,0,7,0,0,0,0,0,0,538,187,15,0,0,746,24,4,0,0,0,33,18,5,0,0,0,23,3159,319,23,0,0,3505
POA2904,1721,87,9,0,0,1820,1964,94,0,0,0,2059,257,50,0,0,0,308,113,32,26,0,0,172,6,0,0,0,0,11,153,27,3,0,0,186,13,0,0,0,0,10,4,0,0,0,0,4,550,110,31,0,0,691,133,11,4,0,3,147,31,0,0,0,0,34,4398,305,50,0,10,4757
POA2905,2595,262,88,0,0,2945,4536,405,91,0,0,5035,604,228,26,0,0,853,461,166,11,0,0,636,17,4,0,0,0,22,409,108,22,0,0,542,52,15,0,0,0,61,3,0,0,0,0,3,1545,517,57,0,0,2122,60,66,4,0,0,128,63,13,3,0,0,77,8800,1263,240,0,5,10307
POA2906,1270,286,56,0,0,1612,2822,570,88,0,0,3481,288,173,32,0,0,492,137,119,52,0,0,306,9,43,0,0,0,47,164,73,19,0,0,255,45,23,0,0,0,71,4,6,0,0,0,8,647,425,107,0,0,1177,28,41,0,0,0,70,41,13,7,0,0,60,4802,1332,257,0,4,6393
POA2911,162,13,47,0,0,225,646,107,58,0,0,806,152,77,64,0,0,296,17,5,0,0,0,21,21,24,0,0,0,48,52,26,13,0,0,90,107,5,0,0,0,114,0,0,0,0,0,5,349,138,81,0,0,571,7,0,62,0,0,72,11,0,0,0,0,18,1170,261,250,0,0,1689
POA2912,243,50,132,0,0,428,443,143,447,0,0,1038,230,245,616,0,11,1096,11,8,88,0,0,105,0,0,23,0,0,29,86,76,126,0,3,292,107,28,34,0,0,165,0,0,3,0,0,6,436,354,889,0,14,1695,9,7,21,0,0,33,11,13,14,0,0,36,1142,559,1498,3,19,3225
POA2913,2340,505,57,0,4,2906,4961,1350,295,0,10,6610,1092,770,448,0,0,2310,235,216,6,0,0,461,22,18,4,0,0,41,404,260,138,0,0,807,270,46,30,0,0,343,7,4,0,0,0,16,2028,1310,631,0,8,3977,43,114,16,0,0,177,105,28,8,0,0,139,9482,3305,1007,0,21,13809
POA2914,1146,137,36,0,0,1312,4588,984,343,0,0,5915,972,490,504,0,4,1972,150,115,69,0,0,329,82,29,26,0,0,140,295,121,100,0,0,517,412,45,18,0,0,479,3,3,4,0,0,10,1916,809,723,0,9,3452,45,11,8,0,5,75,73,19,19,0,0,104,7765,1957,1119,0,12,10857
