suburb,year_2006,year_2011,year_2016,year_2021
Theodore,0.0,0.0,0.0,0.0
Torrens,0.0,0.0,0.004509582863585118,0.0032537960954446853
Turner,0.0016685205784204673,0.0029211295034079843,0.0021929824561403508,0.0011966493817311527
Wanniassa,0.0013218770654329147,0.0026101141924959217,0.00327653997378768,0.003837543971858011
Waramanga,0.0,0.003469210754553339,0.0051635111876075735,0.007563025210084034
Watson,0.001937046004842615,0.0013066202090592336,0.003827018752391887,0.003401360544217687
Weetangera,0.0,0.0,0.0,0.0
Weston,0.0036258158085569255,0.012977649603460706,0.0,0.010572139303482588
Yarralumla,0.0022727272727272726,0.004573170731707317,0.006396588486140725,0.0063025210084033615
Casey,,0.0,0.0,0.003849443969204448
Crace,,0.03680981595092025,0.012455516014234875,0.0269209197980931
Forde,,0.004597701149425287,0.006228373702422145,0.011042097998619738
Beard,,,,
Canberra Airport,,,0.0,0.0
Capital Hill,,,,0.0
Coombs,,,0.0,0.002641310089804543
Denman Prospect,,,,0.004633920296570899
Jacka,,,0.012244897959183673,0.043137254901960784
Molonglo,,,,
Moncrieff,,,0.0,0.005827505827505828
Throsby,,,,0.006631299734748011
Uriarra Village,,,0.0,0.0
Wright,,,0.0,0.002466091245376079
Macnamara,,,,
Strathnairn,,,,0.0
Taylor,,,,0.008784773060029283
Whitlam,,,,
