Australian Bureau of Statistics

"2006 Census - Counting Dwellings, Place of Enumeration"
"State Suburbs by LLDD Landlord Type"
"Counting: Dwellings Place of Enumeration"

Filters:
"Default Summation","Dwellings Place of Enumeration"

"LLDD Landlord Type","Real estate agent","State or territory housing authority","Person not in the same household-parent/other relative","Person not in the same household-other person","Residential park (includes caravan parks and marinas)","Employer-Government (includes Defence Housing Authority)","Employer-other employer","Housing co-operative/community/church group","Not stated","Not applicable","Total",
"Mitchell - ACT",0,0,0,0,0,0,3,0,0,0,3,
"Monash - ACT",208,52,32,84,0,6,3,3,3,1616,2019,
"Narrabundah",336,354,24,151,0,9,18,36,16,1583,2523,
"Ngunnawal",444,155,87,189,0,42,7,7,5,2664,3610,
"Nicholls",174,43,27,55,0,107,7,0,0,1921,2346,
"O'Connor - ACT",298,239,34,214,0,4,8,15,14,1388,2225,
"O'Malley",9,0,0,3,0,0,0,0,3,224,239,
"Oaks Estate",16,36,5,6,0,0,0,0,0,139,208,
"Oxley - ACT",51,82,8,27,0,0,0,0,3,470,642,
"Page",153,85,21,105,0,0,12,9,3,813,1196,
"Palmerston",315,84,36,143,0,20,18,3,9,1544,2177,
"Parkes - ACT",0,0,0,0,0,0,0,0,0,0,0,
"Pearce",139,52,16,48,0,3,5,27,10,823,1125,
"Phillip",385,75,28,112,0,9,9,4,6,645,1284,
"Pialligo",0,0,3,18,0,0,0,0,0,28,51,
"Red Hill - ACT",113,120,10,57,0,0,11,20,7,905,1250,
"Reid",108,226,10,45,0,6,4,9,7,563,980,
"Richardson",56,166,21,29,0,3,0,7,0,890,1167,
"Rivett",98,126,15,50,0,0,0,0,7,1003,1302,
"Russell",0,0,0,0,0,0,0,0,0,0,0,
"Scullin",115,126,19,82,0,0,3,3,9,891,1247,
"Spence",44,112,14,22,0,0,4,3,3,772,972,
"Stirling - ACT",46,65,8,23,0,37,0,9,5,614,807,
"Symonston",0,0,0,21,28,0,0,0,0,242,301,
"Tharwa",0,3,0,3,0,0,0,0,0,21,21,
"Theodore",101,96,19,51,0,11,3,0,3,1119,1399,
"Torrens",104,66,16,53,0,0,4,0,8,677,919,
"Turner",444,223,34,188,0,18,10,3,12,864,1798,
"Wanniassa",175,292,50,105,0,0,14,4,15,2375,3026,
"Waramanga",109,128,21,53,0,4,4,0,5,827,1147,
"Watson",328,160,36,143,3,18,7,4,5,1361,2065,
"Weetangera",57,0,9,43,0,0,0,0,5,865,978,
"Weston - ACT",134,76,18,68,0,0,3,5,3,1060,1379,
"Yarralumla",114,100,22,64,0,5,7,3,4,996,1320,
"ACT Unclassified",19,23,9,37,0,22,31,4,8,168,317,
"Total",14410,9313,2047,6715,45,1034,543,457,580,96445,131590,

"Dataset: Census of Population and Housing, 2006, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
