Australian Bureau of Statistics

"2016 Census - Counting Dwellings, Place of Enumeration (MB)"
"SSC by LLDD Landlord Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"LLDD Landlord Type","Real estate agent","State or territory housing authority","Person not in the same household-parent/other relative","Person not in the same household-other person","Residential park (includes caravan parks and marinas)","Employer-Government (includes Defence Housing Authority)","Employer-other employer","Housing co-operative/community/church group","Not stated","Not applicable","Total",
"Calwell",189,57,43,80,0,5,6,3,3,1763,2147,
"Campbell",253,30,4,62,0,138,5,3,8,1095,1597,
"Canberra Airport",15,3,0,10,0,0,7,0,0,6,50,
"Capital Hill",0,0,0,0,0,0,0,0,0,0,0,
"Casey",333,28,21,81,0,40,9,0,5,1687,2209,
"Chapman",53,31,11,17,0,0,0,0,3,907,1013,
"Charnwood",92,167,34,52,0,0,5,0,4,900,1254,
"Chifley (ACT)",192,49,15,64,0,3,13,3,0,781,1133,
"Chisholm (ACT)",102,142,39,60,0,0,5,7,3,1598,1951,
"City",626,4,27,143,0,5,12,0,4,815,1643,
"Conder",119,107,32,42,0,27,0,11,4,1491,1830,
"Cook",154,61,23,45,0,0,9,0,3,1045,1330,
"Coombs",41,3,9,15,0,8,4,0,0,620,706,
"Crace",245,10,13,66,0,117,11,21,0,1201,1686,
"Curtin",291,80,33,66,0,0,6,4,8,1658,2150,
"Deakin",141,47,9,57,0,7,0,0,10,1079,1352,
"Denman Prospect",0,0,0,0,0,0,0,0,0,0,0,
"Dickson",242,68,19,112,0,0,6,5,3,616,1073,
"Downer",219,136,33,121,0,0,13,0,7,1023,1557,
"Duffy",97,84,9,31,0,13,3,0,3,1049,1288,
"Dunlop",195,114,38,70,0,16,4,3,3,2116,2557,
"Evatt",149,101,42,81,0,0,9,0,6,1666,2054,
"Fadden",59,0,7,15,0,0,0,0,0,1015,1100,
"Farrer",116,36,21,49,0,0,4,0,4,1088,1316,
"Fisher (ACT)",101,48,18,51,0,0,7,4,3,1064,1286,
"Florey",224,250,38,104,0,0,17,3,11,1326,1973,
"Flynn (ACT)",76,44,14,35,0,0,4,4,6,1060,1254,
"Forde",198,12,17,53,0,10,4,9,0,1131,1445,
"Forrest (ACT)",172,11,7,28,0,0,6,0,0,613,834,
"Franklin (ACT)",540,31,31,208,0,76,33,0,8,1501,2441,
"Fraser",32,21,11,14,0,0,0,0,0,684,765,
"Fyshwick",0,0,0,0,0,0,0,0,0,5,10,
"Garran",228,50,16,50,0,9,7,5,3,962,1348,
"Gilmore (ACT)",96,95,18,27,0,5,0,5,8,755,1004,
"Giralang",116,50,16,57,0,0,8,4,4,1036,1280,
"Gordon (ACT)",282,150,52,87,0,13,8,20,7,2373,2987,
"Gowrie (ACT)",65,70,11,29,0,0,4,0,3,978,1155,
"Greenway",307,35,17,73,0,0,12,0,0,586,1032,
"Griffith (ACT)",536,170,41,94,0,18,8,0,9,1567,2443,
"Gungahlin",671,53,30,222,0,96,29,25,10,1194,2332,
"Hackett",148,67,19,44,0,0,4,5,3,976,1275,
"Hall",14,9,0,0,0,0,0,0,0,96,116,
"Harrison",659,32,33,164,0,175,23,10,0,1708,2811,
"Hawker (ACT)",161,49,12,48,0,0,8,9,0,982,1263,
"Higgins",78,81,11,54,0,0,6,3,0,996,1240,
"Holder (ACT)",126,32,10,38,0,0,6,5,0,922,1133,
"Holt",242,147,53,73,0,3,13,18,11,1632,2196,
"Hughes (ACT)",125,62,14,49,0,0,6,6,0,949,1213,
"Hume",0,0,0,0,0,0,0,0,0,0,0,
"Isaacs",98,27,11,25,0,0,6,3,0,808,983,
"Isabella Plains",168,44,29,93,5,4,14,0,9,1360,1718,
"Jacka",32,14,0,0,0,0,0,3,0,196,245,
"Kaleen",240,125,29,154,0,4,14,6,4,2198,2774,
"Kambah",390,497,104,183,0,0,15,13,16,4835,6052,
"Kingston (ACT)",977,59,46,207,0,20,9,5,10,1519,2850,
"Latham (ACT)",113,80,29,40,0,0,4,0,0,1189,1455,
"Lawson (ACT)",3,5,0,5,0,0,3,0,0,48,65,
"Lyneham",673,214,31,207,0,24,24,13,9,1438,2639,
"Lyons (ACT)",322,129,14,76,0,13,18,9,8,929,1525,
"Macarthur (ACT)",24,6,9,10,0,0,0,0,0,458,503,
"Macgregor (ACT)",278,81,49,85,0,0,11,4,0,2084,2598,
"Macquarie",219,116,24,80,3,4,7,0,3,740,1194,
"Mawson",294,92,29,87,0,0,7,6,5,978,1499,
"McKellar",65,79,14,27,0,0,4,4,5,836,1027,
"Melba",92,88,24,34,0,0,8,0,0,1009,1260,
"Mitchell (ACT)",0,0,0,0,0,0,0,0,0,0,0,
"Molonglo",0,0,0,0,0,0,0,0,0,0,0,
"Monash (ACT)",194,39,35,79,0,8,8,9,10,1827,2203,
"Moncrieff",0,0,0,0,0,0,0,0,0,57,55,
"Narrabundah",379,273,34,162,0,5,14,49,11,1752,2686,
"Ngunnawal",581,158,110,181,5,25,18,4,7,3076,4158,
"Nicholls",180,45,25,51,0,57,7,0,7,2028,2384,
"O'Connor (ACT)",370,224,45,177,0,3,14,17,18,1553,2423,
"O'Malley",15,0,0,4,0,0,4,0,0,319,352,
"Oaks Estate",14,30,6,6,0,0,0,10,0,111,182,
"Oxley (ACT)",51,72,5,16,0,0,0,0,0,500,650,
"Page",194,65,14,108,0,3,8,16,5,886,1300,
"Palmerston (ACT)",331,101,36,94,0,14,15,0,8,1577,2172,
"Parkes (ACT)",0,0,0,0,0,0,0,0,0,5,5,
"Pearce",126,49,15,47,3,0,8,27,8,845,1121,
"Phillip",577,71,35,159,0,0,16,4,6,859,1718,
"Pialligo",0,0,5,6,0,0,0,0,0,32,46,
"Red Hill (ACT)",143,82,8,69,0,3,13,11,4,954,1276,
"Reid (ACT)",149,181,12,60,0,0,9,18,7,545,985,
"Richardson",75,137,18,37,0,0,5,7,0,890,1170,
"Rivett",93,159,23,47,0,0,5,4,0,1031,1356,
"Russell",0,0,0,0,0,0,0,0,0,0,0,
"Scullin",165,108,19,83,0,0,3,3,0,873,1258,
"Spence (ACT)",61,89,12,31,0,0,3,5,0,789,991,
"Stirling (ACT)",48,56,4,23,0,29,0,3,3,650,827,
"Symonston",4,13,0,8,76,0,0,0,4,262,364,
"Tharwa",0,0,0,4,0,0,0,0,0,19,19,
"Theodore (ACT)",94,88,27,40,0,5,4,0,5,1154,1410,
"Throsby",0,0,0,0,0,0,0,0,0,0,0,
"Torrens",88,54,12,39,0,0,0,4,11,686,887,
"Turner",664,233,43,212,0,13,12,5,10,1094,2280,
"Uriarra Village",0,8,3,0,0,0,0,0,0,91,103,
"Wanniassa",201,242,45,87,0,0,11,10,6,2453,3052,
"Waramanga",116,130,7,42,0,0,0,6,5,855,1162,
"Watson",507,149,40,173,0,30,21,10,13,1673,2613,
"Weetangera",68,4,13,34,0,0,7,0,0,835,964,
"Weston (ACT)",140,78,20,49,0,35,5,0,3,1109,1436,
"Wright",176,0,13,31,0,3,7,0,3,1024,1260,
"Yarralumla",136,71,13,53,0,8,4,9,7,1117,1407,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,0,0,0,0,6,6,
"Total",23726,8663,2457,7870,101,1389,842,665,508,117324,163539,

"Dataset: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
