SAL_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SAL80060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
SAL80061,7,0,0,0,6,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,8,0,3,0,8,3,0,3,0,8,10,0,0,0,11,11,0,5,0,18,8,0,8,5,21,25,10,7,0,44,19,6,3,0,36,15,12,7,0,35,45,30,27,0,105,32,27,7,0,71,29,50,8,0,83,16,36,0,0,58,93,287,12,0,397,15,25,5,0,43,0,0,0,0,0,347,495,102,10,948
SAL80062,0,0,0,0,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,4,0,8,5,0,7,0,15,10,4,7,0,16,5,4,10,0,19,9,13,4,0,31,27,4,8,0,37,12,13,12,0,41,17,18,18,0,43,48,41,15,0,109,37,43,12,3,93,35,54,5,0,94,17,47,0,0,69,46,112,5,0,168,7,17,4,0,37,0,0,3,0,0,279,374,129,4,788
SAL80063,0,4,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,24,0,11,0,40,16,0,7,0,29,22,8,13,0,46,28,12,3,3,47,23,7,5,5,40,22,20,14,0,53,46,49,17,4,116,50,45,10,0,105,26,67,5,4,101,25,48,0,0,78,58,166,14,0,239,7,13,8,0,33,5,0,0,0,5,362,442,136,16,955
SAL80064,13,0,5,0,22,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,10,0,7,0,15,4,8,13,0,24,35,14,28,0,73,43,3,21,0,64,39,14,30,4,91,60,25,39,0,129,40,34,48,0,121,45,37,27,5,112,116,97,68,0,285,100,124,22,7,255,83,157,28,4,275,43,125,12,0,182,121,346,20,0,484,20,66,23,0,106,7,4,0,0,14,787,1050,398,25,2257
SAL80065,4,0,0,0,7,0,0,0,0,5,0,4,3,0,5,0,0,5,0,8,0,0,5,0,9,4,0,0,0,8,18,4,4,0,23,15,0,7,0,27,27,6,8,0,45,30,4,0,0,42,18,9,12,0,32,18,14,10,0,50,55,34,16,4,105,47,49,13,3,111,42,54,18,0,110,18,55,0,0,75,53,179,8,0,234,10,31,15,0,49,5,0,0,0,10,355,437,138,8,938
SAL80066,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,9,0,10,6,0,7,0,14,27,0,6,0,34,16,7,13,0,38,32,7,14,0,48,40,9,19,4,76,36,19,24,0,77,44,18,23,3,85,109,43,33,9,200,92,28,17,0,144,70,20,10,0,104,39,21,0,0,63,58,89,7,3,163,18,17,19,0,49,6,0,0,0,7,594,274,214,22,1116
SAL80067,4,0,0,0,5,3,0,0,0,3,0,0,0,0,0,3,0,0,0,4,4,0,0,0,8,0,0,4,0,3,8,0,6,0,11,11,4,9,0,21,7,3,10,0,23,35,4,10,3,47,31,12,8,4,50,36,11,11,0,58,83,24,30,3,141,85,27,10,4,126,71,30,12,6,123,46,37,4,0,95,223,329,25,0,580,29,35,8,0,76,4,3,0,0,9,683,514,152,22,1376
SAL80068,22,0,0,0,26,7,6,0,0,8,0,3,0,0,10,0,3,3,0,8,9,0,4,0,19,13,3,16,0,36,39,8,17,0,59,31,26,17,0,78,51,29,26,0,106,86,47,26,5,161,72,35,25,5,135,63,55,18,5,135,201,107,41,12,358,111,90,21,7,228,77,100,8,3,191,44,83,11,0,137,100,302,25,8,436,29,60,18,3,115,9,0,4,0,14,958,961,280,53,2253
SAL80069,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,6,0,0,0,0,3,10,0,4,0,15,8,0,5,0,19,11,5,3,0,15,21,3,8,4,32,18,12,10,0,41,14,5,11,4,33,38,18,17,0,78,27,23,11,0,55,21,40,5,4,71,20,46,6,0,75,68,256,12,0,334,16,21,15,0,46,4,0,0,0,8,272,444,114,14,841
