SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL80083,6,12,11,3,21,26,11,13,0,106,0,8,5,3,12,14,0,11,7,72,190,293,264,217,1111,1231,388,709,32,4425
SAL80084,4,14,6,0,16,11,6,11,0,62,4,4,0,0,4,5,4,4,9,30,93,246,194,157,473,420,114,189,16,1900
SAL80085,0,7,10,3,16,10,0,0,0,52,0,12,12,0,5,10,0,4,15,54,69,199,229,107,591,405,108,135,25,1877
SAL80086,0,24,10,7,10,14,6,3,0,75,0,7,6,3,8,11,0,8,23,66,106,416,387,197,920,714,239,329,36,3348
SAL80087,0,5,4,3,3,9,3,0,0,43,0,0,6,3,9,0,4,0,15,39,66,184,225,149,438,364,114,181,24,1742
SAL80088,0,3,7,0,3,5,5,0,0,21,0,4,3,0,0,0,0,0,6,13,37,80,99,53,160,180,61,74,9,745
SAL80089,5,17,17,11,34,26,12,21,0,137,0,11,4,4,20,12,3,7,17,82,180,383,395,277,1075,796,244,387,37,3776
SAL80090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80091,0,11,5,0,12,4,4,3,0,37,0,7,0,0,7,4,0,0,3,28,75,187,159,100,420,331,118,155,12,1555
SAL80092,0,5,13,4,13,8,0,4,0,48,0,0,7,0,7,7,0,0,4,27,80,197,228,128,460,398,91,209,14,1805
SAL80093,0,7,11,4,9,10,5,0,3,55,0,4,3,0,7,0,0,0,6,21,64,164,138,102,333,291,97,174,14,1362
SAL80094,3,11,7,4,10,14,8,7,0,61,0,13,0,5,8,8,6,0,3,32,100,213,177,112,415,360,100,167,9,1649
SAL80095,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SAL80096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80097,3,13,21,11,11,18,5,9,0,90,5,5,3,3,10,9,4,3,6,50,139,294,275,196,678,605,182,282,26,2683
SAL80098,3,8,17,0,22,13,5,11,0,82,0,10,4,4,16,8,3,0,11,59,87,270,242,195,919,711,141,225,40,2826
SAL80099,0,13,15,11,13,14,4,5,0,78,0,12,5,0,17,19,3,3,12,75,140,379,296,211,735,772,250,403,23,3214
SAL80100,9,24,28,15,51,43,18,9,0,198,3,6,11,3,29,18,3,13,30,113,278,662,586,460,1750,1282,387,553,63,6017
SAL80101,4,18,12,8,29,27,3,19,3,121,6,7,8,0,6,3,0,4,12,51,174,504,363,231,886,853,240,450,25,3731
SAL80102,4,21,8,0,12,12,7,3,0,67,0,8,5,7,10,9,0,0,7,53,136,560,385,247,685,685,260,406,24,3382
SAL80103,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,5,0,4,22,71,49,24,99,97,37,84,0,480
SAL80104,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,8,15,10,45,36,12,17,0,147
SAL80105,0,5,0,0,4,3,5,4,0,17,0,4,0,0,0,8,0,3,0,12,37,103,78,65,224,182,56,78,4,830
SAL80106,0,13,4,5,7,11,4,3,0,45,0,0,3,0,0,6,5,0,14,30,64,190,169,107,364,290,81,107,28,1392
SAL80107,5,11,19,5,16,20,0,9,0,86,0,10,7,6,11,12,4,5,14,67,136,334,333,191,848,677,187,267,33,3000
SAL80108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,6,3,5,0,8,3,0,6,0,35,0,4,0,0,0,6,0,0,0,19,69,163,144,124,307,287,98,182,10,1384
SAL80110,0,4,12,8,16,24,4,8,5,84,5,0,6,0,16,17,5,0,16,69,130,242,300,223,1223,860,233,289,45,3548
SAL80111,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,3,0,11,13,9,6,17,6,12,0,81
SAL80112,0,6,5,4,9,9,6,4,0,35,6,3,3,3,5,7,0,5,6,32,65,256,156,113,260,368,112,307,10,1629
SAL80113,0,4,0,0,9,7,0,0,0,20,0,0,0,0,4,0,0,0,3,14,53,129,81,46,236,162,51,111,13,880
SAL80114,0,4,5,6,9,19,5,7,0,57,0,6,0,3,7,11,3,3,9,44,94,157,135,112,411,392,97,163,20,1591
SAL80115,4,7,9,11,12,5,0,0,0,46,0,0,0,0,3,6,3,5,0,20,92,196,173,146,362,352,125,170,7,1618
SAL80116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,0,12,8,0,6,8,3,5,0,48,0,0,0,0,9,6,0,0,3,28,82,202,163,126,401,337,106,111,17,1533
SAL80118,0,11,4,5,6,9,0,0,0,48,0,0,0,0,9,3,0,6,4,25,67,171,136,99,299,279,89,144,13,1304
SAL80119,0,7,4,5,3,7,0,7,0,23,0,5,0,5,0,0,0,0,0,7,33,124,100,86,233,214,51,98,8,946
SAL80120,0,0,6,0,8,0,0,0,0,14,3,0,0,0,0,3,0,0,0,9,18,50,47,33,140,99,18,31,4,437
SAL80121,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,8,8,27,20,17,47,40,13,14,3,193
SAL80122,0,9,6,0,11,5,0,3,0,31,0,5,0,3,10,3,0,0,16,44,62,92,113,93,394,243,66,69,30,1156
SAL80123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,0,11,3,9,0,46
SAL80124,6,9,10,4,19,19,14,11,0,89,0,7,3,0,8,11,3,3,3,48,118,236,185,154,593,506,149,229,14,2191
SAL80125,0,3,7,0,11,8,5,0,5,30,0,0,4,4,14,5,0,0,12,50,56,99,128,84,398,336,79,114,25,1321
SAL80126,0,4,5,3,7,9,4,3,0,40,0,0,0,0,6,9,0,0,6,21,55,157,123,82,270,278,96,152,12,1227
SAL80127,0,16,3,0,14,8,0,5,0,48,0,5,0,4,11,13,0,4,6,37,120,350,250,149,854,754,219,322,19,3040
SAL80128,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,7,14,15,19,14,43,52,12,8,0,186
SAL80129,6,17,14,5,25,24,13,7,0,114,0,0,3,5,16,15,8,10,17,63,212,470,430,280,990,864,256,390,43,3937
SAL80130,0,14,4,0,8,5,4,8,0,49,0,3,3,0,8,10,0,0,3,29,67,180,126,106,310,327,108,132,10,1365
SAL80131,3,34,7,14,22,14,0,3,0,104,4,4,6,5,11,21,3,9,11,65,196,479,422,288,989,864,299,375,28,3940
SAL80132,0,0,7,6,8,4,0,4,0,28,0,0,0,0,3,6,0,3,4,19,66,234,140,102,325,297,92,162,4,1427
SAL80133,0,11,8,8,10,9,0,4,0,41,3,0,4,4,7,7,0,3,8,43,101,226,197,143,425,447,125,218,24,1903
SAL80134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80135,0,6,6,5,11,19,0,9,0,48,0,4,3,4,14,17,0,0,7,46,91,194,207,147,752,607,149,244,21,2424
SAL80136,0,9,9,3,6,14,0,0,0,36,4,10,0,3,0,7,0,6,7,33,64,227,149,103,229,328,110,260,11,1483
SAL89494,0,0,6,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,16,45,20,12,45,33,12,25,3,216
SAL89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
