SAL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SAL80046,21,31,51,90,75,163,9,7,13,6,7,21,106,91,190,50,54,101,3,8,10,11,5,13,66,64,132,0,3,5,12,12,25,13,11,27,21,31,49,0,0,0,43,61,105,100,137,231,41,49,86,25,38,61,51,73,131,0,0,0,215,300,516,262,357,621,4,8,13,4,19,23,0,0,0,6,21,30,52,58,109,511,624,1137
SAL80047,54,45,97,130,117,248,36,25,63,11,17,32,180,157,338,97,80,181,11,26,36,13,16,28,126,117,244,7,3,14,14,28,40,16,9,22,22,42,65,0,0,0,58,76,142,81,101,182,47,62,105,10,25,39,61,68,124,0,0,0,194,256,450,253,337,595,9,8,18,12,19,35,0,0,0,22,31,51,78,72,149,715,759,1475
SAL80048,31,37,65,92,87,177,61,38,97,16,10,20,165,131,292,76,73,155,41,48,94,17,19,31,138,139,284,3,7,8,3,8,8,13,9,23,12,17,30,0,0,0,34,36,67,44,34,75,17,21,34,9,17,22,24,42,64,0,0,0,92,102,197,125,140,267,10,9,16,9,11,18,0,0,0,15,21,28,40,56,95,519,520,1036
SAL80049,97,76,172,293,276,572,114,111,228,19,28,52,428,421,846,201,175,375,107,105,215,17,15,37,334,298,624,10,11,25,13,10,28,40,15,58,41,64,105,0,0,0,110,101,213,53,50,103,14,33,46,10,21,32,33,78,115,0,0,0,108,186,293,219,288,501,12,18,31,35,26,60,0,0,0,43,44,90,105,97,202,1220,1221,2439
SAL80050,71,53,125,230,159,388,52,57,111,17,19,34,301,236,539,136,111,245,71,55,127,14,15,27,219,178,400,4,8,7,10,10,19,25,15,38,30,50,85,0,0,0,70,76,148,57,67,130,20,29,43,16,13,21,36,58,89,0,0,0,131,165,290,195,244,442,10,5,12,27,22,42,0,0,0,35,25,53,65,52,123,893,788,1683
SAL80051,31,24,59,69,85,156,40,52,95,12,24,34,124,168,289,44,49,89,51,65,116,27,16,40,121,125,246,0,0,7,3,0,6,9,0,9,8,14,25,0,0,0,23,25,44,32,45,81,13,12,19,9,11,17,15,24,40,0,0,0,68,86,154,97,106,201,0,3,5,4,8,10,0,0,0,10,10,19,23,21,43,404,447,847
SAL80052,35,29,57,121,108,229,41,42,84,16,13,30,180,163,339,80,73,151,55,27,83,25,22,50,158,121,283,0,4,5,12,0,10,14,11,26,15,21,31,0,0,0,35,35,78,42,50,97,7,15,25,13,14,29,27,32,59,0,0,0,93,116,210,130,152,286,7,3,14,13,12,30,0,0,0,22,17,39,83,74,162,611,554,1167
SAL80053,38,39,79,101,107,210,39,33,76,17,18,38,158,160,319,73,59,134,37,39,75,19,17,34,127,114,238,0,3,3,9,5,11,13,6,16,20,15,32,0,0,0,37,23,61,21,26,51,12,13,29,3,0,6,16,25,45,0,0,0,54,72,127,95,98,186,5,0,8,8,7,19,0,0,0,14,8,26,60,67,125,484,485,972
SAL80054,41,44,86,124,145,268,39,45,85,14,21,31,177,215,392,104,95,194,32,35,70,17,7,25,152,145,293,8,11,15,11,13,27,13,13,23,30,29,59,0,0,0,62,67,128,43,54,99,26,33,65,16,12,21,20,43,71,0,0,0,110,150,258,165,220,389,12,15,21,25,29,53,0,0,0,34,42,76,64,73,135,639,732,1371
SAL80055,34,34,69,136,133,270,34,48,81,10,14,27,187,195,376,81,75,150,38,57,93,14,12,25,133,140,269,0,7,7,9,3,12,15,4,20,14,13,34,0,0,0,45,30,78,36,36,73,10,13,25,8,7,18,37,49,83,0,0,0,95,104,197,138,135,277,5,0,8,15,24,36,0,0,0,19,23,47,54,49,101,568,572,1139
