SAL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SAL80107,2301,2361,4662,22,15,38,45,55,97,15,17,28,18,11,30,0,0,0,0,0,0,0,0,0,0,0,0,221,211,429,0,0,0,302,295,593,15,17,30,3,6,8,338,334,667,90,85,178,2724,2785,5513
SAL80108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,1070,1095,2163,14,7,19,29,26,61,15,9,22,5,0,9,0,0,0,6,3,10,0,0,0,0,0,0,131,128,263,0,0,0,182,173,355,22,14,30,0,0,4,215,200,413,44,44,85,1326,1338,2662
SAL80110,1476,1596,3067,70,83,149,209,201,407,48,41,90,29,48,69,9,15,26,8,9,19,3,9,9,3,6,13,441,507,945,0,0,0,756,829,1579,37,44,86,9,9,14,864,964,1828,124,85,205,2461,2645,5104
SAL80111,53,61,112,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,6,7,9,0,0,0,0,0,0,6,7,9,6,4,12,69,68,138
SAL80112,1231,1241,2470,11,14,21,45,46,87,19,17,37,14,7,21,0,5,5,7,3,8,0,0,0,0,0,0,157,152,308,0,0,0,235,233,468,32,29,63,5,0,5,286,277,560,50,51,104,1562,1567,3132
SAL80113,580,527,1102,5,4,15,36,15,51,8,11,19,11,0,11,0,0,0,3,3,6,0,0,0,0,0,0,92,104,196,0,0,0,151,140,292,11,8,25,4,0,8,173,155,333,58,40,95,807,723,1532
SAL80114,1330,1290,2619,5,4,12,30,25,55,0,0,0,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,92,87,181,0,0,0,129,125,250,8,0,16,3,0,12,148,140,287,57,56,114,1525,1490,3019
SAL80115,1349,1466,2817,5,5,15,23,14,42,8,7,16,0,0,4,6,0,3,0,0,0,0,0,0,0,0,0,128,140,271,0,0,0,171,163,335,8,6,9,0,0,0,178,179,356,72,67,139,1603,1712,3317
SAL80116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,1259,1235,2493,8,14,30,25,34,56,7,10,17,3,7,10,0,0,0,5,4,7,0,6,5,0,0,0,137,137,273,0,0,0,187,188,368,11,8,18,7,9,14,211,219,429,57,49,112,1529,1504,3033
SAL80118,1124,1126,2253,0,0,6,9,17,27,0,12,7,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,67,78,143,0,0,0,86,111,191,10,7,16,0,0,4,95,121,214,49,48,95,1260,1298,2556
SAL80119,871,973,1842,11,8,14,14,13,29,3,0,5,4,5,8,0,0,5,0,0,0,0,0,0,0,0,0,76,70,150,0,0,0,103,103,202,10,11,19,10,7,15,126,124,247,41,39,80,1038,1138,2173
SAL80120,97,100,203,0,0,0,15,14,28,0,0,0,3,3,3,0,0,6,0,0,0,0,0,0,0,0,0,188,220,411,0,0,0,205,238,448,7,5,13,0,0,3,215,247,463,10,22,30,323,369,695
SAL80121,213,170,385,0,0,4,9,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,11,9,22,0,0,0,24,21,40,0,6,8,0,0,0,27,26,52,140,83,214,377,272,654
SAL80122,599,612,1215,6,17,19,36,37,68,15,10,32,4,6,16,0,0,0,0,0,5,0,0,0,4,3,3,346,342,685,0,0,0,409,400,805,15,18,33,6,4,10,433,432,867,43,38,79,1080,1085,2159
SAL80123,32,33,70,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,5,7,0,0,0,0,0,0,3,8,10,0,0,0,38,40,77
SAL80124,1618,1678,3296,12,13,21,37,23,59,9,6,10,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,121,120,244,0,0,0,172,152,320,5,3,12,8,3,12,193,173,361,46,40,89,1857,1894,3748
SAL80125,812,765,1574,9,9,17,39,40,79,25,16,39,7,7,14,3,0,7,0,0,0,0,0,0,6,0,6,279,256,529,0,0,0,354,325,680,4,14,19,3,0,6,374,342,717,31,22,47,1209,1135,2346
SAL80126,970,991,1960,6,14,20,25,26,46,11,8,20,0,4,9,4,0,3,0,0,0,0,0,0,0,0,0,119,101,223,0,0,0,158,142,299,9,8,23,4,3,5,185,166,349,46,37,82,1199,1190,2392
SAL80127,1361,1477,2838,46,53,100,128,143,267,53,64,113,28,32,60,9,9,15,7,7,15,3,3,4,10,0,10,349,424,780,0,0,0,593,678,1272,28,39,70,11,9,18,676,783,1457,68,74,147,2104,2331,4436
SAL80128,145,131,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,0,0,0,10,9,8,0,0,0,0,0,6,9,11,18,10,9,21,160,147,305
SAL80129,3371,3369,6739,29,27,56,49,66,118,16,7,24,14,11,23,4,3,9,0,0,0,0,0,5,5,0,7,279,250,525,0,0,0,370,348,713,18,15,27,4,0,9,418,388,812,134,111,240,3922,3868,7791
SAL80130,1128,1201,2327,6,7,12,22,23,42,7,3,12,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,102,102,206,0,0,0,135,131,263,16,7,23,0,0,6,159,151,302,62,58,117,1343,1407,2750
SAL80131,2392,2561,4949,86,104,192,137,119,259,32,37,61,20,24,41,11,12,25,9,3,9,3,3,3,0,0,5,369,400,770,0,0,0,572,604,1176,43,47,89,7,4,7,707,763,1468,111,118,232,3211,3434,6651
SAL80132,1172,1218,2394,14,11,25,21,19,40,11,3,19,3,7,12,0,0,0,0,0,6,0,0,0,0,0,0,102,100,205,0,0,0,145,132,277,9,4,13,0,0,0,164,145,313,34,31,65,1370,1395,2766
SAL80133,1560,1694,3249,11,13,22,37,43,75,20,15,35,4,8,15,4,0,4,0,5,8,0,0,0,0,0,0,148,151,294,0,0,0,208,219,431,65,48,114,3,6,12,287,285,567,68,70,133,1911,2042,3954
SAL80134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,3,5,3,0,0,0,0,0,0,3,5,3,0,0,0,3,5,3
SAL80135,1189,1321,2512,35,46,80,84,89,175,23,27,49,15,20,31,7,5,7,5,0,8,0,0,0,0,0,0,327,359,685,0,0,0,463,493,948,44,35,80,5,4,10,540,573,1114,61,69,129,1795,1963,3758
SAL80136,1177,1286,2467,17,27,44,31,50,79,12,17,28,8,9,20,7,10,20,3,0,3,0,0,0,0,0,4,134,131,265,0,0,0,205,220,424,27,27,54,7,3,8,250,273,526,55,61,117,1486,1621,3106
SAL89494,78,45,120,17,29,45,22,37,56,19,13,26,12,0,8,0,4,4,0,0,4,0,0,5,0,0,0,70,92,159,0,0,0,127,147,273,12,10,26,5,0,0,153,189,348,98,36,135,331,273,601
SAL89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
