SAL_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
SAL80033,16,29,70,53,29,18,21,8,0,233,4,51,96,76,33,33,14,4,0,318,3,47,163,135,54,39,18,3,0,463,0,45,151,154,76,36,18,0,0,482,0,21,168,168,84,38,12,0,0,488,0,4,120,172,71,40,5,0,0,416,0,3,151,358,181,61,8,0,0,768,0,0,30,78,37,23,3,0,0,159,0,0,19,94,60,23,4,0,0,194,4,15,43,48,12,23,8,0,0,159,337,351,1211,1472,717,423,226,56,13,4797
SAL80034,0,8,4,8,6,19,36,24,14,116,0,12,20,14,15,19,26,27,9,132,0,14,10,16,16,18,44,33,0,157,0,13,24,13,29,36,38,28,4,182,0,7,26,27,25,27,28,18,4,161,0,0,14,26,36,42,18,11,0,145,0,0,23,110,122,79,39,14,4,392,0,0,4,20,30,22,3,4,0,85,0,0,5,61,112,61,26,0,0,270,0,9,6,11,0,12,15,12,6,73,186,127,152,351,431,390,381,273,62,2348
SAL80035,7,19,25,26,22,13,21,5,3,140,3,16,49,44,28,18,21,15,0,200,0,22,79,50,60,34,13,3,0,257,0,15,70,60,34,27,14,3,0,218,0,6,60,70,50,30,14,0,0,233,0,0,40,43,31,13,9,0,0,141,0,3,31,68,53,32,12,0,0,192,0,0,3,3,11,3,5,0,0,23,0,0,7,5,7,6,0,0,0,20,6,8,34,16,20,9,18,5,0,121,170,158,495,505,391,293,241,111,30,2407
SAL80036,5,18,36,8,10,13,15,14,5,130,4,24,58,29,15,22,17,14,6,192,0,21,72,28,23,23,28,24,8,226,0,22,60,31,18,22,21,8,4,177,0,13,61,36,32,24,17,8,0,189,0,0,35,40,17,15,14,3,0,136,0,3,65,106,78,51,9,0,4,323,0,0,14,41,24,11,5,0,0,90,0,0,10,40,28,23,6,4,0,110,6,9,20,14,10,7,7,12,4,90,132,172,503,405,329,269,202,174,54,2250
SAL80037,6,35,39,36,25,44,46,18,0,245,5,46,65,49,41,67,47,9,0,324,0,35,93,82,64,80,49,10,4,413,3,33,103,59,61,59,38,4,0,364,0,16,94,86,77,72,25,4,0,379,0,9,63,73,62,74,19,0,0,302,0,0,87,141,146,121,24,0,0,515,0,0,14,16,28,17,3,0,0,72,0,0,6,36,30,40,0,0,0,118,17,18,37,30,20,20,13,4,3,152,307,316,715,710,639,793,496,163,24,4174
SAL80038,21,69,75,15,0,6,12,8,0,209,11,59,73,15,13,6,17,5,0,202,0,83,157,29,13,20,16,4,0,332,4,65,165,43,14,9,19,4,0,316,0,44,174,52,26,24,22,8,0,344,0,20,125,39,26,28,11,8,0,253,6,14,244,116,87,39,21,8,0,538,0,0,28,37,19,18,7,0,0,111,0,3,33,80,78,62,12,7,0,273,121,193,129,51,20,20,7,5,4,545,613,1196,1452,525,351,275,184,71,23,4686
SAL80039,19,46,36,26,31,32,23,16,7,236,6,27,58,26,44,45,36,11,0,257,9,50,84,60,72,76,25,8,0,377,4,39,109,74,71,56,21,3,0,366,0,31,80,91,118,85,17,3,0,414,0,6,47,83,90,68,18,0,0,306,0,0,68,160,205,119,12,0,0,576,0,3,6,16,28,24,0,0,0,76,0,0,11,34,48,33,5,0,0,136,15,14,27,25,27,19,18,12,7,149,364,347,637,681,831,692,349,145,41,4090
SAL80040,4,16,22,17,14,9,18,23,3,126,0,12,30,16,6,32,30,24,11,159,5,13,47,38,26,30,34,30,6,231,0,14,34,28,20,39,26,17,0,182,0,3,54,36,48,24,33,16,7,219,0,0,23,46,39,29,13,11,0,164,0,0,61,146,138,60,27,6,0,441,0,0,11,20,38,12,9,0,0,81,0,0,6,30,56,18,5,6,0,122,3,7,18,15,9,8,11,8,7,94,135,128,374,443,445,327,295,224,73,2450
SAL80041,3,34,66,25,13,8,6,0,0,174,0,60,121,66,25,12,12,5,0,301,3,49,148,90,33,13,14,0,0,352,0,31,170,90,42,16,6,0,3,364,0,27,179,115,37,19,5,0,0,373,0,5,133,119,44,18,0,0,0,322,0,6,184,246,114,40,6,0,0,605,0,0,25,48,28,13,0,0,0,108,0,0,18,73,48,7,0,0,0,151,13,11,48,25,21,7,11,0,0,139,226,324,1261,1031,460,223,113,39,11,3680
