SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL80072,1242,1279,2520,505,408,916,220,283,500,31,41,75,36,23,56,789,757,1551,402,483,889,4.6,3.2,3.9,63.8,59.2,61.5,60.9,57.3,59.1,199,183,384,66,85,147,327,362,688,80,142,225,123,70,196,12,11,30,13,30,43,148,117,263,1214,1272,2488,205,197,399,899,931,1827,461,489,947
SAL80073,1320,1339,2656,621,463,1089,184,290,470,46,61,111,37,30,67,893,843,1737,394,460,854,4.4,3.5,4,67.5,63.3,65.4,64.5,61.1,62.8,121,106,227,39,69,115,234,281,509,117,145,263,291,152,447,19,15,29,12,37,50,324,202,527,1384,1398,2780,191,208,403,949,947,1897,551,566,1111
SAL80074,1082,1205,2287,532,425,954,138,267,408,38,49,85,26,23,53,731,766,1499,313,400,711,3.8,3.1,3.5,67.6,63.4,65.4,65,61.4,63.1,146,145,295,60,84,142,268,332,598,110,124,239,148,66,222,10,13,21,11,29,35,168,111,275,1120,1217,2333,171,180,346,775,852,1629,459,474,932
SAL80075,2162,2387,4550,1082,838,1913,289,494,783,69,113,182,75,62,135,1515,1501,3017,574,814,1385,4.8,4,4.4,70.2,62.8,66.3,66.8,60.3,63.4,186,201,381,45,102,150,391,534,925,180,263,444,434,296,736,24,32,51,27,62,88,488,390,882,2176,2289,4467,435,452,890,1270,1345,2615,1174,1237,2406
SAL80076,1213,1404,2617,560,428,990,168,312,485,27,46,72,32,27,62,790,820,1606,384,536,919,3.9,3.8,3.9,65.2,58.3,61.5,62.6,56.1,59.1,275,227,502,67,99,162,349,404,754,72,129,203,104,56,158,9,5,10,13,24,35,122,90,207,1192,1350,2538,263,267,531,784,905,1689,611,620,1227
SAL80077,361,22,390,3,0,3,0,0,4,0,0,0,0,0,0,5,3,6,358,25,378,16.7,0,12.5,1.6,8.3,2.1,1.4,8.3,1.8,0,0,0,0,0,0,27,4,34,0,0,0,24,0,30,0,0,0,0,0,0,24,0,30,8,3,10,3,0,0,8,3,9,6,0,7
SAL80078,970,1062,2031,420,336,751,123,202,321,19,26,44,24,30,52,570,594,1167,364,443,809,3.7,4.7,4.2,59.1,56,57.5,57,53.3,55.1,213,154,372,45,66,112,240,300,536,60,92,156,99,58,156,8,9,23,11,31,40,124,102,220,975,1056,2033,128,126,260,656,752,1405,417,400,817
SAL80079,1648,1777,3429,853,662,1516,212,381,593,70,96,165,44,37,80,1181,1175,2357,420,562,983,3.9,3,3.4,71.6,66.2,68.8,68.9,64.2,66.5,82,99,177,25,58,89,239,308,552,164,212,377,385,233,616,22,34,53,26,54,81,430,316,752,1757,1886,3646,226,273,497,1220,1323,2546,644,713,1363
SAL80080,224,272,492,143,117,263,29,64,97,6,17,28,9,6,9,188,204,393,27,56,83,3.2,2.9,3.1,83.9,76.9,80,81.2,74.6,77.6,35,39,71,3,10,10,47,73,118,22,35,50,41,24,63,3,7,9,0,3,9,42,29,77,276,290,562,51,59,106,175,175,346,126,144,267
SAL80081,3203,3088,6295,1409,916,2328,497,749,1242,94,121,216,96,66,158,2093,1852,3940,1000,1136,2131,4.4,3.6,4,65.4,59.9,62.7,62.5,57.7,60.1,397,338,734,128,180,315,675,746,1417,261,322,579,486,240,724,30,40,72,45,79,131,563,364,924,3265,3129,6391,507,469,973,2257,2232,4488,1325,1181,2509
SAL80082,6256,6465,12729,2780,2031,4803,934,1482,2420,198,262,458,203,137,334,4110,3907,8019,1916,2347,4262,4.9,3.5,4.2,65.6,60.5,63,62.4,58.4,60.4,531,478,1003,188,351,543,1117,1432,2551,580,787,1372,1209,635,1837,59,99,163,112,160,273,1382,896,2276,6513,6737,13250,874,805,1675,4735,4966,9697,2294,2244,4538
SAL80083,2895,3124,6016,1778,1657,3433,299,468,769,84,143,223,55,55,105,2213,2321,4532,388,523,916,2.4,2.4,2.4,76.5,74.2,75.3,74.6,72.5,73.5,634,697,1327,153,272,428,954,1060,2016,191,225,420,199,102,298,7,21,24,12,30,46,216,156,372,1827,1982,3811,983,1087,2074,566,641,1205,2180,2345,4522
