SAL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SAL80021,0,0,0,71,0,0,0,0,0,0,0,0,0,0,7,10,0,0,5,0,0,0,0,0,0,0,0,3,160,16,11,76,15,42,7,18,7,94,7,438
SAL80022,5,7,0,118,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,126,5,0,31,8,44,4,10,6,59,13,323
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,0,3,0,119,7,0,0,4,0,0,0,0,0,0,40,48,0,0,0,0,0,0,0,0,0,0,7,9,435,92,7,280,24,168,20,79,10,193,46,1343
SAL80025,0,0,0,73,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,4,5,178,21,4,63,12,37,4,21,4,70,19,423
SAL80026,0,0,0,39,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,84,14,0,53,3,39,0,29,0,97,13,338
SAL80027,0,12,0,270,0,0,0,3,0,0,0,0,0,0,45,49,0,0,0,0,0,0,0,0,0,0,3,6,489,45,8,168,24,102,7,38,9,100,52,1032
SAL80028,5,17,0,146,0,0,0,3,0,0,0,0,0,5,17,24,0,0,0,0,0,0,0,0,0,0,3,7,284,67,4,138,16,81,3,62,11,195,27,889
SAL80029,3,3,0,87,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,156,19,0,70,13,74,6,38,11,142,20,553
SAL80030,0,28,0,234,0,0,0,0,0,0,0,0,0,0,27,26,0,0,0,0,0,0,0,0,0,0,0,0,223,27,0,63,14,66,7,50,3,146,27,637
SAL80031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,8
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,0,0,0,82,0,0,0,0,0,0,0,0,0,0,23,24,0,0,0,0,0,0,0,0,0,0,10,8,208,19,0,87,13,43,3,23,3,71,28,493
SAL80034,0,8,0,78,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,3,48,15,3,18,7,36,0,21,3,190,12,355
SAL80035,0,0,0,21,0,0,0,0,0,0,0,0,0,5,6,10,0,0,0,0,0,0,0,0,0,0,4,4,88,4,4,27,8,26,4,12,0,71,10,258
SAL80036,0,3,0,46,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,4,87,16,3,21,10,16,0,18,4,96,14,285
SAL80037,0,5,0,64,0,0,0,0,0,0,0,0,0,6,10,16,0,0,0,0,0,0,0,0,0,0,4,4,134,16,7,54,9,79,0,43,4,160,18,521
SAL80038,5,5,0,176,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,276,25,6,112,12,65,6,32,6,75,20,633
SAL80039,0,3,0,80,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,4,0,4,150,10,0,46,14,47,5,20,13,142,17,474
SAL80040,0,3,0,78,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,78,11,3,52,7,31,5,21,4,119,13,340
SAL80041,0,4,0,87,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,3,212,24,4,70,9,24,3,17,0,56,9,419
SAL80042,0,4,0,104,0,0,0,0,0,4,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,167,10,0,54,17,49,5,25,7,87,10,427
SAL80043,3,19,0,157,0,0,0,0,0,0,0,0,0,0,20,25,0,0,0,0,0,0,0,0,0,4,0,0,145,22,0,52,14,43,4,39,6,226,22,573
SAL80044,0,16,0,119,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,69,13,0,37,3,34,3,34,0,143,14,352
SAL80045,0,3,0,89,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,142,8,0,38,6,21,0,6,4,22,3,253
SAL80046,0,0,0,88,0,0,0,0,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,177,31,0,67,3,38,0,17,7,44,17,399
SAL80047,0,3,0,85,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,128,27,3,58,5,35,3,26,5,105,18,410
SAL80048,6,8,0,82,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,3,86,6,0,36,6,28,0,26,10,133,16,348
SAL80049,0,0,0,73,0,0,0,0,0,0,0,0,0,0,17,24,0,0,0,0,0,0,0,0,0,4,0,4,178,13,3,87,16,68,8,34,6,139,21,578
SAL80050,0,9,0,75,0,0,0,0,0,0,0,0,0,0,14,20,0,0,0,0,0,0,0,0,0,0,0,0,136,30,7,71,12,43,4,37,8,214,20,574
SAL80051,0,5,0,86,0,0,0,0,0,0,0,0,0,4,9,12,0,0,0,0,0,0,0,0,0,0,0,0,69,10,0,36,4,40,0,29,7,143,9,364
SAL80052,0,5,0,79,0,0,0,0,0,0,0,0,0,3,9,12,0,0,0,0,0,0,0,0,0,0,0,0,78,11,0,36,6,37,4,31,5,193,9,406
SAL80053,0,5,0,62,0,0,0,0,0,0,0,0,0,4,5,10,0,0,0,0,0,0,0,0,0,3,0,5,81,8,3,33,5,30,0,20,3,117,12,319
SAL80054,0,6,0,65,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,4,0,10,116,23,3,62,6,57,4,25,9,208,22,534
SAL80055,0,0,0,59,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,3,0,3,91,5,0,31,11,32,0,21,8,142,6,356
SAL80056,0,0,0,86,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,3,7,118,7,0,41,5,32,0,21,9,61,12,309
SAL80057,0,23,0,137,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,89,12,0,34,7,34,0,20,3,75,20,296
SAL80058,0,0,0,75,0,0,0,0,0,0,0,0,0,0,26,25,0,0,0,0,0,0,0,0,0,0,0,0,264,51,4,169,14,73,7,35,0,77,26,723
SAL80059,0,10,0,37,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,30,0,20,3,18,5,112,4,229
SAL80060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80061,0,12,0,93,0,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,68,20,0,35,0,27,4,35,0,143,13,347
SAL80062,0,5,0,46,4,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,81,18,4,34,13,27,0,13,0,80,3,279
