SAL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SAL80072,0,0,0,0,0,0,0,0,0,53,25,8,88,0,0,4,88,29,0,113
SAL80073,0,0,0,0,0,0,0,0,0,57,26,8,85,7,5,6,99,47,0,143
SAL80074,0,0,0,0,0,0,0,0,3,55,29,6,85,0,0,0,88,32,0,121
SAL80075,0,0,0,0,0,0,0,0,0,96,48,6,147,3,9,10,161,84,4,250
SAL80076,0,0,0,0,0,0,0,0,0,51,10,8,73,0,0,0,72,32,0,107
SAL80077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80078,0,0,0,0,0,0,0,0,0,36,8,3,47,4,0,3,55,28,0,86
SAL80079,0,0,0,0,0,0,0,0,0,100,41,9,154,5,3,7,162,54,0,217
SAL80080,0,0,0,0,0,0,0,0,0,13,5,0,22,0,0,0,22,13,0,31
SAL80081,0,0,0,0,0,0,0,6,0,115,50,12,170,7,6,7,185,96,3,284
SAL80082,0,3,0,0,0,3,0,0,8,318,158,33,504,8,10,15,521,237,4,761
SAL80083,0,0,0,0,0,0,0,0,0,118,31,5,151,0,3,8,159,40,0,201
SAL80084,0,0,0,0,0,0,0,0,0,70,41,6,120,0,0,4,118,60,0,178
SAL80085,0,0,0,0,0,0,0,0,0,31,11,0,47,0,0,0,47,14,0,65
SAL80086,0,0,0,0,0,0,0,3,3,83,32,5,122,5,0,5,118,58,3,183
SAL80087,0,0,0,0,0,0,0,0,0,53,13,6,73,7,0,7,81,33,0,115
SAL80088,0,0,0,0,0,0,0,0,0,20,11,0,32,0,0,0,32,14,0,47
SAL80089,0,0,0,0,0,0,0,0,0,155,61,8,228,7,3,12,239,87,5,325
SAL80090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80091,0,0,0,0,0,0,0,0,0,50,22,7,78,4,0,5,80,49,0,134
SAL80092,0,0,0,0,0,0,0,0,0,63,24,5,88,4,3,3,86,36,6,128
SAL80093,0,0,0,0,0,0,0,0,0,34,22,0,54,0,0,0,54,43,0,99
SAL80094,0,0,0,0,0,0,0,0,0,49,31,10,83,4,3,7,87,47,0,136
SAL80095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80097,0,0,0,0,0,0,0,0,0,124,34,15,168,4,0,3,175,74,0,248
SAL80098,0,0,0,0,0,0,0,0,0,89,30,8,127,5,3,7,130,42,0,175
SAL80099,0,0,0,0,0,0,0,5,7,127,44,11,184,7,4,9,195,70,5,269
SAL80100,0,0,0,0,0,0,0,7,7,256,97,18,369,3,3,8,374,124,6,508
SAL80101,0,4,0,0,0,4,0,0,5,91,31,10,126,0,0,8,131,55,0,181
SAL80102,0,0,0,0,0,0,0,5,5,76,38,9,119,7,3,7,121,71,5,202
SAL80103,0,0,0,0,0,0,0,0,0,4,4,0,8,0,0,0,8,13,0,18
SAL80104,0,0,0,0,0,0,0,0,0,6,3,0,12,0,0,0,11,3,0,11
SAL80105,0,0,0,0,0,0,0,0,0,30,11,0,44,0,5,8,47,26,0,79
SAL80106,0,0,0,0,0,0,0,0,0,44,31,0,76,0,6,6,82,36,3,126
SAL80107,0,0,0,0,0,0,0,0,0,121,47,13,181,4,0,7,187,79,0,267
SAL80108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,0,0,0,0,0,0,0,0,0,47,21,0,70,0,0,0,73,24,0,96
SAL80110,0,0,0,0,0,0,0,0,0,90,26,8,123,4,6,4,130,32,0,162
SAL80111,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,3,0,4
SAL80112,0,0,0,0,0,0,0,0,0,38,18,0,56,0,0,0,62,26,0,84
SAL80113,0,0,0,0,0,0,0,0,0,16,3,5,19,0,0,0,21,15,0,38
SAL80114,0,0,0,0,0,0,0,0,0,78,31,7,120,0,6,9,124,64,0,186
SAL80115,0,0,0,0,0,0,0,0,0,69,30,0,100,0,6,5,110,56,0,163
SAL80116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,0,0,0,0,0,0,0,0,0,64,30,0,96,3,3,7,103,39,0,136
SAL80118,0,0,0,0,0,0,0,0,0,34,26,8,66,3,0,0,69,28,0,106
SAL80119,0,0,0,0,0,0,0,0,0,37,17,4,60,0,0,0,61,23,0,84
SAL80120,0,0,0,0,0,0,0,0,0,14,5,0,12,0,0,6,20,0,0,18
SAL80121,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,7,9,0,18
SAL80122,0,0,0,0,0,0,0,0,0,18,15,4,41,5,0,3,38,30,0,74
SAL80123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
SAL80124,0,0,0,0,0,0,0,0,0,86,39,8,134,0,5,11,138,40,0,179
SAL80125,0,0,0,0,0,0,0,0,0,23,6,0,34,4,3,5,32,22,0,53
SAL80126,0,0,0,0,0,0,0,4,4,36,21,0,51,3,0,3,50,29,4,84
SAL80127,0,0,0,0,0,0,0,0,0,46,11,5,60,0,0,4,63,23,3,94
SAL80128,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,12
SAL80129,0,0,0,0,0,0,0,3,3,124,61,13,203,3,4,12,215,120,3,338
SAL80130,0,0,0,0,0,0,0,0,0,44,19,4,68,0,0,0,69,46,0,113
SAL80131,0,0,0,0,0,0,0,0,3,148,50,9,203,0,0,8,208,60,0,274
SAL80132,0,0,0,0,0,0,0,0,0,33,11,0,54,0,0,0,51,22,0,73
SAL80133,0,0,0,0,0,0,0,0,0,74,26,4,106,0,0,0,105,34,0,141
SAL80134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80135,0,0,0,0,0,0,0,0,0,73,23,3,100,0,0,0,98,23,0,122
SAL80136,0,0,0,0,0,0,0,0,0,35,14,0,49,0,0,0,53,25,0,77
SAL89494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
