SAL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SAL80048,9,19,8,8,20,0,0,0,0,73,32,24,16,19,30,4,4,3,0,127,26,16,73,34,32,12,4,20,0,223,7,4,0,0,5,0,0,3,0,18,6,6,0,0,5,0,0,0,0,16,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,335,514,118,101,190,38,17,37,17,1379
SAL80049,36,36,16,25,52,10,5,4,3,187,76,67,38,52,70,11,9,5,6,326,91,63,250,123,130,27,33,30,10,749,11,9,3,19,9,11,4,8,0,73,7,4,9,19,29,0,3,6,0,78,3,7,0,3,3,0,0,0,0,22,6,5,4,3,20,0,0,6,3,50,487,806,362,349,464,92,55,80,43,2750
SAL80050,25,19,11,15,13,5,3,0,0,95,44,40,23,38,53,8,3,9,4,218,55,55,189,54,82,20,21,39,5,518,4,0,10,3,11,4,0,3,0,34,14,6,4,4,13,3,4,5,0,51,0,0,4,3,0,0,0,4,0,17,4,10,0,3,5,3,4,4,8,40,427,771,274,172,314,73,39,78,40,2194
SAL80051,30,23,10,9,17,0,4,0,0,94,22,19,5,10,23,11,0,0,5,89,40,17,63,19,34,4,6,12,0,187,4,5,4,0,4,4,0,0,0,23,3,4,3,7,14,0,0,0,0,28,0,0,4,0,3,0,0,0,0,7,3,7,0,0,0,0,0,5,0,21,329,485,102,90,177,29,18,11,10,1256
SAL80052,18,21,5,14,11,5,0,5,0,82,27,25,7,17,17,3,0,0,8,104,30,11,54,23,27,7,7,6,5,162,0,0,0,4,0,0,0,0,0,10,10,4,0,3,5,0,0,0,0,19,0,0,0,0,3,0,0,0,0,8,0,5,3,0,5,3,0,5,6,13,356,542,108,93,156,26,11,34,34,1364
SAL80053,11,27,6,13,13,0,0,4,5,77,21,23,13,22,26,3,3,4,0,122,19,12,68,26,25,8,11,8,3,184,0,0,4,0,0,3,0,0,0,5,4,10,0,0,4,0,0,0,0,26,0,4,0,6,0,0,0,0,0,7,0,7,0,4,0,0,0,0,3,18,263,477,118,119,162,24,21,18,18,1226
SAL80054,15,21,9,12,22,0,0,4,3,80,29,23,8,36,27,11,6,3,4,156,26,22,106,52,49,9,18,17,8,316,4,0,4,5,14,0,0,4,0,29,0,4,3,4,10,0,6,0,0,33,0,0,4,0,0,0,0,0,0,10,0,6,0,4,4,0,0,0,3,22,285,623,184,189,269,61,43,68,34,1755
SAL80055,9,19,3,6,6,0,0,5,4,63,32,35,18,29,29,7,0,3,5,162,37,30,145,27,51,19,9,17,5,335,0,3,3,0,0,0,0,4,0,19,0,7,6,4,6,0,0,3,0,31,5,0,0,0,3,0,0,0,0,11,6,6,3,5,0,0,0,0,0,19,250,476,200,127,193,64,28,48,19,1399
SAL80056,29,19,12,8,22,0,3,0,0,95,44,41,6,30,28,9,0,9,0,182,51,23,68,31,46,15,3,5,3,247,0,0,3,3,4,3,0,0,0,12,13,7,3,8,8,0,0,0,0,41,0,7,0,0,4,0,0,0,0,10,7,6,5,6,4,0,0,0,0,26,489,776,126,160,258,66,16,37,42,1982
SAL80057,13,8,0,0,7,4,0,0,0,44,14,10,0,4,4,3,0,0,0,40,9,5,13,5,8,7,0,0,0,44,0,0,0,0,0,0,0,0,0,4,4,0,0,0,5,5,0,0,0,8,0,6,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,7,263,431,23,30,103,30,0,8,22,907
