SAL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SAL80098,..,173,173,357,31,383,343,8,357,419,6,424,181,0,181,82,0,82,1382,223,1604
SAL80099,..,743,743,678,85,759,367,18,386,388,8,395,120,4,127,36,0,38,1586,862,2446
SAL80100,..,990,990,1110,79,1189,694,27,721,728,17,743,290,5,289,108,0,113,2932,1122,4053
SAL80101,..,311,311,750,27,772,411,4,419,488,4,491,202,3,205,67,0,70,1923,354,2276
SAL80102,..,592,592,627,90,721,277,94,370,334,52,385,130,9,132,38,9,52,1407,845,2253
SAL80103,..,44,44,120,0,122,61,0,61,42,0,46,25,4,27,23,0,23,266,51,318
SAL80104,..,67,67,25,4,29,21,0,21,9,0,14,3,0,7,0,0,3,60,79,141
SAL80105,..,121,121,198,8,206,117,0,111,99,0,100,36,0,36,26,0,26,480,127,606
SAL80106,..,413,413,303,50,344,152,23,171,163,8,170,43,9,49,24,0,24,689,491,1180
SAL80107,..,444,444,619,48,666,358,12,372,339,3,348,131,7,136,58,0,64,1522,512,2038
SAL80108,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,..,321,321,297,22,314,167,0,165,162,0,166,65,0,65,21,0,21,713,339,1055
SAL80110,..,1162,1162,776,117,899,285,33,317,187,4,187,44,0,41,12,0,12,1310,1312,2623
SAL80111,..,4,4,9,0,11,8,0,8,11,0,11,3,0,3,5,0,5,31,9,38
SAL80112,..,195,195,293,20,308,153,8,166,216,7,228,86,6,88,29,0,28,784,228,1011
SAL80113,..,285,285,205,41,245,65,9,74,43,11,59,21,5,22,5,0,8,334,357,697
SAL80114,..,254,254,325,22,347,201,9,204,187,0,187,79,0,81,34,0,34,831,278,1108
SAL80115,..,331,331,405,20,428,190,3,197,219,0,219,81,0,81,28,0,28,924,355,1278
SAL80116,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,..,312,312,312,27,333,201,8,211,191,6,196,59,0,59,31,3,35,791,354,1147
SAL80118,..,195,195,299,23,315,140,3,147,169,0,169,72,0,74,30,0,30,700,224,926
SAL80119,..,187,187,250,16,264,119,7,116,119,0,119,59,0,59,24,0,24,567,207,770
SAL80120,..,44,44,65,8,74,38,0,38,49,0,49,21,0,21,11,0,11,187,57,239
SAL80121,..,158,158,63,15,76,11,0,11,7,0,7,7,0,7,3,0,3,85,169,262
SAL80122,..,59,59,130,6,133,140,6,146,151,0,149,71,0,77,60,0,60,555,76,629
SAL80123,..,10,10,10,0,10,0,0,3,4,0,4,4,0,4,4,0,4,16,5,31
SAL80124,..,243,243,382,21,405,260,5,264,266,0,267,97,0,97,46,0,46,1051,268,1320
SAL80125,..,61,61,143,8,151,165,6,174,212,6,217,68,5,73,35,3,39,635,89,713
SAL80126,..,191,191,239,16,257,130,3,132,181,8,185,54,0,54,36,0,36,637,217,858
SAL80127,..,824,824,654,187,843,180,93,276,116,26,141,42,6,45,10,7,12,1003,1137,2138
SAL80128,..,6,6,22,0,22,11,0,11,29,0,29,9,0,9,7,0,7,86,6,92
SAL80129,..,651,651,921,50,977,470,8,482,488,0,494,206,0,210,89,0,91,2182,719,2897
SAL80130,..,296,296,312,21,340,163,9,169,172,0,176,70,0,70,20,0,20,740,334,1073
SAL80131,..,730,730,790,85,875,398,59,455,422,18,443,119,4,124,26,3,29,1759,898,2658
SAL80132,..,153,153,281,11,287,150,9,159,207,4,211,78,4,78,43,0,41,750,181,930
SAL80133,..,381,381,456,28,484,231,7,236,247,5,246,85,0,85,35,0,35,1048,421,1469
SAL80134,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80135,..,397,397,414,66,477,244,22,261,243,4,249,54,0,54,35,0,38,992,483,1481
SAL80136,..,328,328,463,14,474,152,13,163,178,4,182,61,0,64,30,0,30,881,351,1233
SAL89494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL89797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
