SA2_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
801091099,37,2383,1191,450,2940,0.8,2347,2.4
801091100,41,2600,1341,450,3673,0.8,2886,2.6
801091101,43,2600,1223,450,3226,0.8,2540,2.6
801091102,41,2600,1349,550,3513,0.8,2985,2.7
801091103,43,2700,1298,400,3669,0.8,2797,2.6
801091104,49,2300,1307,520,3148,0.7,2670,2.5
801091105,36,2383,1097,360,2629,0.9,2062,2.3
801091106,38,2167,1158,400,2653,0.9,2204,2.4
801091107,51,3413,1497,975,4567,0.6,4476,2.9
801091108,43,2383,1222,430,3302,0.8,2362,2.5
801091109,32,1608,1342,440,2473,1.1,2075,1.9
801091110,39,2470,1286,478,3322,0.8,2612,2.7
801101134,65,0,1624,0,0,1,1125,1
801101135,30,2000,1358,480,2913,0.9,2634,2.7
801101136,31,2400,1655,498,3606,0.9,3219,2.8
801101137,0,0,0,0,0,0,0,0
801101139,32,1950,1446,461,3150,1,2559,2.5
801101145,57,0,0,0,0,0,0,0
801101146,27,2750,75,0,900,1.5,900,6
801111140,35,2292,1358,385,3109,0.9,3134,3.1
801111141,27,4333,1270,400,2687,1.3,2812,3.3
897979799,0,0,0,0,0,0,0,0
899999499,0,0,0,0,0,0,0,0
