SA2_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
801091104,27,38,66,120,125,241,0,0,0,4,10,7,0,0,0,231,298,528,0,0,0,34,24,63,0,9,14,0,0,5,13,17,29,0,3,3,7,4,12,12,18,30,26,25,44,0,3,7,3,5,4,30,42,70,42,50,92,0,0,0,531,622,1148,67,85,148,39,45,85,5,3,5,0,0,0,7,5,12,0,6,8,11,12,23,408,366,773,5,0,8,0,0,4,412,374,785,56,62,112,1149,1230,2379
801091105,110,97,204,105,123,228,0,0,0,11,13,26,0,0,0,235,319,554,0,4,4,22,22,51,0,5,7,0,3,4,7,16,19,0,0,0,5,6,13,0,4,3,18,35,54,0,0,0,0,0,0,30,28,55,40,38,85,4,0,3,490,615,1106,148,138,285,56,42,97,8,3,10,0,0,0,16,15,36,5,9,13,26,26,47,674,631,1304,9,5,17,0,3,7,687,641,1327,89,93,185,1605,1663,3271
801091106,70,80,155,142,147,290,0,0,0,13,23,31,0,0,0,307,385,702,0,0,3,13,33,45,0,3,5,0,3,5,6,11,17,0,0,0,5,4,10,16,15,32,17,25,46,3,7,7,3,0,5,30,34,63,25,35,52,0,3,0,591,727,1316,152,128,286,55,47,102,6,8,10,0,0,0,37,21,61,7,4,13,44,30,73,644,639,1278,7,5,19,4,12,15,655,654,1310,103,85,187,1680,1755,3440
801091107,6,9,14,35,37,72,0,0,0,5,5,9,0,0,0,112,116,230,0,0,0,37,53,96,0,0,0,0,0,0,0,0,0,8,0,9,0,3,5,0,0,0,13,10,18,0,0,0,3,4,4,3,9,15,8,5,17,0,0,0,223,254,480,35,41,71,22,39,60,7,0,6,0,0,0,4,5,11,0,0,0,4,5,11,136,109,245,0,0,0,0,0,0,130,110,246,21,21,38,451,476,928
801091108,13,14,29,99,138,237,0,0,0,10,14,26,0,0,0,418,377,790,0,0,0,30,42,77,6,3,10,4,11,17,10,11,16,0,8,7,4,0,10,5,8,6,22,32,45,0,0,4,0,0,0,27,37,65,14,21,38,0,0,0,652,690,1345,52,42,93,21,15,40,0,0,10,0,0,0,5,8,16,0,0,0,5,8,15,520,493,1014,3,6,13,0,0,7,528,501,1031,61,68,131,1340,1348,2687
801091109,91,137,224,108,121,225,0,0,0,24,23,46,0,0,0,428,539,972,5,0,3,36,40,77,0,5,5,11,4,16,6,7,14,18,23,38,6,22,34,32,33,61,20,25,48,4,3,3,0,7,8,24,34,58,60,71,128,0,0,5,782,945,1727,274,263,538,85,93,181,0,4,6,0,0,0,24,37,60,13,11,28,39,43,84,1016,1036,2055,22,16,41,3,10,9,1044,1055,2100,197,138,337,2515,2678,5197
801091110,11,24,39,74,93,167,0,0,0,12,5,20,0,0,0,308,309,620,0,0,0,21,34,53,0,4,3,3,3,0,4,15,17,5,0,3,11,15,26,12,9,25,15,18,28,0,0,0,0,0,0,8,28,33,29,27,59,6,0,6,512,545,1059,40,43,83,28,25,56,0,3,5,0,0,0,11,7,19,3,0,8,12,13,24,527,483,1014,6,10,11,0,0,0,539,483,1027,67,66,134,1215,1205,2424
801101134,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,9,5,13
801101135,88,105,200,85,85,167,0,0,0,27,28,57,0,0,0,386,450,841,0,0,4,31,25,55,3,4,9,0,4,4,5,9,14,16,22,37,26,25,48,23,38,67,20,20,43,0,0,3,5,12,16,15,27,38,58,90,146,0,0,0,711,838,1548,305,259,561,203,193,393,3,0,9,0,0,0,74,67,139,11,22,36,87,89,176,873,835,1711,5,8,16,0,5,9,883,851,1731,119,114,235,2399,2455,4851
801101136,69,88,152,59,76,136,0,0,0,9,7,15,0,0,0,205,227,433,0,0,0,20,20,32,0,3,0,0,0,0,0,3,3,3,5,6,9,3,12,12,11,26,9,10,18,0,0,0,0,0,0,12,11,27,39,45,90,0,0,0,385,419,808,187,193,384,99,80,176,0,5,3,0,0,0,27,23,41,7,5,16,30,21,60,552,508,1060,8,4,9,8,3,8,561,511,1078,50,59,105,1382,1379,2759
801101137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101139,48,80,128,79,101,178,0,0,3,19,24,45,0,0,0,279,358,642,0,0,3,23,21,40,0,0,4,8,9,18,3,9,7,13,11,26,11,16,26,10,15,24,17,16,30,0,0,0,3,11,15,25,28,52,45,49,93,0,0,0,541,666,1199,216,220,430,114,109,221,0,0,0,0,0,0,40,33,77,10,10,18,55,43,95,742,759,1504,11,9,27,5,6,11,761,774,1538,92,100,188,1820,1989,3808
801101145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
801101146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7
801111140,0,3,3,37,33,66,0,0,0,0,3,3,0,0,0,45,58,103,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,9,14,0,0,0,6,6,14,0,0,0,0,0,0,0,0,3,4,13,16,0,0,0,106,118,221,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,6,6,4,7,163,126,287,0,0,0,0,0,0,164,132,291,17,11,26,285,274,556
801111141,0,0,0,4,5,11,0,0,0,0,0,0,0,0,0,11,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,26,0,0,0,0,0,0,15,6,26,10,5,16,42,26,63
897979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899999499,4,9,8,12,20,35,0,0,0,0,0,3,0,0,0,37,31,66,0,0,0,0,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,3,5,7,8,0,7,6,0,6,0,0,0,3,6,7,13,13,24,0,0,0,80,88,161,6,4,5,9,6,14,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,139,129,260,0,0,0,0,0,0,140,128,265,101,40,143,336,273,605
