SA2_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
801061069,399,30,11,0,0,0,0,443
801061070,349,8,5,0,0,0,0,366
801061129,90,3,0,0,0,0,0,103
801061130,0,0,0,0,0,0,0,5
801061131,313,42,3,0,0,0,0,353
801071071,619,52,53,4,3,0,0,730
801071072,420,30,22,0,0,0,6,479
801071073,677,59,38,7,0,0,0,786
801071074,601,54,32,5,5,0,0,697
801071075,618,50,43,15,0,0,5,727
801071076,415,21,16,3,0,0,4,454
801071077,316,28,19,4,0,0,0,374
801071078,907,94,32,12,0,0,0,1050
801071079,383,31,15,5,0,0,0,437
801071080,234,33,6,0,0,0,5,274
801071081,503,40,26,6,3,0,0,581
801071082,1599,162,85,16,4,0,9,1878
801071083,202,15,4,0,0,0,0,222
801071084,590,54,25,7,0,0,6,690
801071085,0,0,0,0,0,0,0,0
801071086,185,19,10,5,0,0,3,220
801071087,316,24,21,6,0,0,6,371
801071088,469,39,18,3,0,0,6,536
801071089,6,0,0,0,0,0,0,6
801071090,864,71,53,4,0,0,9,998
801071132,0,0,0,0,0,0,0,0
801081091,374,19,4,0,0,0,0,401
801081092,415,33,5,5,0,0,0,462
801081093,370,31,21,5,0,0,0,422
801081094,311,19,12,0,0,0,3,343
801081095,365,22,10,0,0,0,0,410
801081096,228,19,12,5,0,0,0,263
801081097,320,16,9,0,0,0,0,355
801081098,446,30,11,0,0,0,0,486
801081133,0,0,0,0,0,0,0,0
801091099,271,25,3,0,0,0,0,302
801091100,681,37,13,9,3,0,0,741
801091101,454,30,12,4,0,0,0,505
801091102,459,22,6,5,0,0,0,495
801091103,394,19,6,0,0,0,0,417
801091104,260,17,8,0,0,0,0,292
801091105,326,11,3,6,0,0,0,349
801091106,338,19,10,8,0,0,4,377
801091107,123,5,4,0,0,0,0,130
801091108,314,16,11,4,0,0,0,340
801091109,358,21,6,0,0,0,0,387
801091110,310,12,8,0,0,0,0,339
801101134,0,0,0,0,0,0,0,0
801101135,619,42,11,6,0,0,0,680
801101136,395,21,12,4,0,0,0,431
801101137,0,0,0,0,0,0,0,0
801101139,441,23,3,7,0,0,0,481
801101145,0,0,0,0,0,0,0,0
801101146,0,0,0,0,0,0,0,0
801111140,66,4,3,0,0,0,0,73
801111141,6,0,0,0,0,0,0,4
897979799,0,0,0,0,0,0,0,0
899999499,0,0,0,0,0,0,0,0
