SAL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SAL80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,11,20,5,10,16,12,0,0,68
SAL80013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80014,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,5,7,18,6,8,3,0,3,54
SAL80015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,3,6,5,14,12,13,0,0,44
SAL80016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80017,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,254,209,28,3,0,0,0,0,0,500,1450,1060,267,51,7,0,0,0,0,2844
SAL80018,4,0,3,3,4,11,19,17,29,93,0,0,4,8,0,0,3,10,8,31,10,7,21,17,14,35,24,25,22,185,109,391,603,694,736,690,512,316,250,4289
SAL80019,0,4,4,7,6,11,12,19,3,60,0,0,0,3,0,0,6,0,0,16,15,13,40,35,24,11,5,3,0,154,184,399,784,957,1062,562,321,139,34,4441
SAL80020,0,0,0,0,3,0,3,10,5,27,0,0,0,0,0,0,0,0,0,4,3,12,11,10,3,6,18,17,4,80,35,164,270,345,340,339,241,197,62,1992
SAL80021,0,0,5,0,4,8,15,13,9,62,0,0,0,0,3,5,0,0,3,17,5,6,34,25,15,10,11,15,5,121,140,351,754,772,777,591,271,128,29,3812
SAL80022,0,0,0,0,4,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,12,64,43,41,26,26,14,0,216,11,128,518,292,262,241,233,87,12,1781
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
SAL80024,0,0,8,13,5,10,21,16,15,95,0,3,17,3,0,3,0,0,0,33,12,61,174,62,40,22,11,19,16,419,156,1323,3217,1207,592,407,324,272,184,7684
SAL80025,0,0,5,13,8,13,28,16,0,78,0,0,0,8,4,6,0,4,0,20,17,26,51,54,27,12,11,3,0,203,185,427,1147,1602,885,345,225,92,13,4923
SAL80026,0,0,9,5,3,8,18,19,10,67,0,0,0,0,0,0,5,3,0,15,7,4,17,22,26,14,17,5,3,105,109,231,514,536,546,500,336,157,43,2972
SAL80027,0,0,5,5,5,5,5,9,6,43,0,0,5,0,3,3,4,0,0,16,7,50,146,52,19,14,22,8,4,314,62,1062,2570,1028,471,391,263,127,46,6002
SAL80028,0,0,5,0,4,4,6,17,15,47,0,3,13,3,4,3,7,3,0,37,20,41,71,29,13,23,22,13,21,248,430,1334,1966,973,574,470,437,264,134,6587
SAL80029,0,0,0,3,3,14,20,18,21,81,0,0,0,0,0,3,6,7,0,18,4,13,23,33,15,13,17,23,16,161,130,370,810,734,755,835,464,197,101,4395
SAL80030,0,0,4,0,3,0,9,12,6,30,0,0,0,0,0,0,0,0,0,3,81,210,126,49,48,31,23,17,18,602,542,1426,1065,662,674,583,406,227,115,5699
SAL80031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,3,10,3,0,0,29,6,5,17,24,16,22,3,4,0,103
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
SAL80033,3,0,8,4,9,11,13,11,3,57,0,0,8,7,3,11,3,5,0,24,4,14,40,42,16,23,8,0,0,145,111,350,1211,1465,717,423,226,56,13,4577
SAL80034,0,0,0,3,0,7,10,19,3,46,0,0,0,0,0,0,0,0,0,3,0,5,6,8,6,5,15,21,6,72,48,127,152,351,431,390,382,273,62,2210
SAL80035,0,0,3,6,10,15,21,7,3,77,5,0,4,0,7,12,3,6,0,36,6,4,28,22,21,5,11,3,0,101,83,158,495,505,391,293,242,111,30,2314
SAL80036,0,0,0,0,0,8,9,23,9,53,0,0,3,5,0,0,0,0,0,5,3,9,15,8,13,8,3,7,3,73,51,172,503,405,329,269,202,175,54,2164
SAL80037,4,0,0,4,4,25,26,17,9,96,0,0,0,0,0,5,3,0,0,7,14,11,31,25,19,14,19,11,3,137,132,316,715,710,639,793,496,166,24,3995
SAL80038,0,0,0,0,0,0,0,3,0,5,0,3,3,0,5,0,0,0,0,5,119,191,132,49,14,20,10,10,6,537,593,1194,1454,525,351,275,184,71,23,4659
SAL80039,0,0,7,7,7,18,13,22,7,75,0,0,0,6,4,8,7,0,0,25,12,5,17,19,22,15,14,8,0,121,144,347,637,681,831,692,349,145,41,3871
SAL80040,0,0,0,0,3,8,7,16,8,40,0,0,0,0,0,0,5,4,0,8,0,7,17,13,7,7,14,11,8,88,34,128,372,443,445,327,295,224,73,2349
SAL80041,0,0,0,0,7,4,4,6,0,24,0,0,0,0,0,7,3,0,0,15,8,10,53,21,17,8,9,0,0,133,94,324,1261,1031,460,223,113,39,11,3546
SAL80042,0,0,0,5,0,6,9,11,3,40,0,0,7,3,0,4,3,0,0,20,8,3,28,21,13,6,9,10,0,90,82,241,862,1057,552,284,218,140,38,3471
SAL80043,0,0,0,0,0,5,8,26,33,68,0,0,0,0,4,0,5,6,0,19,5,3,13,24,25,20,19,19,4,134,113,298,593,783,780,682,460,366,196,4282
SAL80044,0,0,0,0,0,4,8,8,11,31,0,0,0,0,0,0,0,5,0,7,14,16,21,4,17,14,18,7,6,120,67,164,254,381,445,372,362,258,141,2444
SAL80045,0,0,0,3,0,0,4,4,0,17,0,0,0,0,0,0,0,0,0,0,5,3,17,19,6,3,0,0,0,56,40,147,664,668,244,129,60,15,0,1967
SAL80046,0,0,5,0,5,7,6,12,13,34,0,0,0,0,4,3,3,0,0,7,3,20,36,16,4,10,6,4,3,102,38,503,935,487,341,251,128,80,35,2800
SAL80047,0,0,0,5,11,16,19,19,13,77,0,0,3,7,4,0,3,5,9,30,3,23,29,30,15,19,15,12,3,144,72,372,751,775,519,374,293,179,74,3403
SAL80048,0,0,0,3,3,4,9,19,7,45,0,0,3,3,0,0,4,0,4,15,3,10,12,13,13,19,20,9,7,98,87,195,377,463,519,389,301,209,59,2587
SAL80049,3,0,7,10,11,23,22,23,3,113,0,0,4,11,10,14,4,3,0,41,27,13,27,26,32,26,5,6,6,172,212,402,857,1227,1128,759,435,174,40,5231
SAL80050,0,3,4,8,6,9,37,24,8,96,0,0,0,3,0,0,0,0,4,19,10,13,16,18,18,18,8,10,0,115,132,315,774,799,760,596,577,185,49,4197
