SAL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL80037,1098,620,715,710,639,793,496,163,24,5268
SAL80038,151,1810,1452,525,351,275,184,71,23,4835
SAL80039,1019,715,637,681,831,692,349,145,41,5108
SAL80040,509,267,374,443,445,327,295,224,73,2965
SAL80041,1172,552,1261,1031,460,223,113,39,11,4851
SAL80042,1195,447,863,1057,552,284,218,140,38,4800
SAL80043,1090,612,593,783,780,682,460,366,196,5569
SAL80044,522,382,254,379,445,372,362,258,141,3124
SAL80045,724,256,664,668,245,129,60,15,0,2759
SAL80046,425,613,935,485,341,251,128,80,35,3292
SAL80047,769,565,751,775,519,374,293,179,74,4296
SAL80048,664,421,377,463,519,389,301,209,59,3395
SAL80049,1703,944,857,1227,1128,759,435,174,40,7265
SAL80050,1130,651,774,799,760,596,577,188,49,5531
SAL80051,578,335,235,419,402,465,422,122,28,3006
SAL80052,683,435,372,455,512,431,334,369,191,3787
SAL80053,694,302,377,478,466,294,287,248,82,3219
SAL80054,823,537,695,681,557,674,514,231,69,4781
SAL80055,770,436,479,525,487,406,359,177,30,3671
SAL80056,1185,554,468,901,759,313,184,59,11,4435
SAL80057,203,187,277,187,282,270,239,149,36,1827
SAL80058,1511,975,1938,1484,864,409,222,58,14,7484
SAL80059,424,247,198,310,289,243,303,99,16,2126
SAL80060,0,5,16,13,11,9,3,0,0,52
SAL80061,766,353,350,583,485,390,342,301,140,3706
SAL80062,545,317,366,399,342,403,247,65,27,2706
SAL80063,703,320,476,550,384,347,422,145,27,3372
SAL80064,1530,958,1093,996,1123,1115,604,336,138,7892
SAL80065,661,327,425,455,352,383,378,135,32,3140
SAL80066,456,453,1045,591,405,412,394,276,105,4129
SAL80067,692,608,1095,708,720,638,448,261,157,5328
SAL80068,1377,1252,2390,1413,993,625,360,148,33,8586
SAL80069,676,354,337,476,520,376,241,167,87,3227
SAL80070,54,35,16,28,55,41,47,26,6,298
SAL80071,1889,1107,1739,1617,1074,481,228,89,19,8244
SAL80072,489,377,375,353,412,338,336,260,66,3008
SAL80073,664,370,481,489,439,324,275,238,46,3321
SAL80074,525,283,334,421,406,303,284,200,63,2816
SAL80075,1079,578,1001,896,675,448,516,312,123,5628
SAL80076,598,353,321,417,426,384,290,214,207,3210
SAL80077,3,45,154,103,56,16,6,10,0,395
SAL80078,346,230,206,271,290,383,342,243,67,2379
SAL80079,902,476,688,601,503,564,325,188,83,4329
SAL80080,221,73,134,167,77,17,15,4,0,712
SAL80081,1381,865,1018,1105,900,864,988,415,130,7672
SAL80082,2942,1749,1855,2131,2100,1798,2020,887,191,15670
SAL80083,565,609,1996,1202,744,685,516,217,42,6579
SAL80084,780,397,523,577,502,389,384,174,32,3767
SAL80085,353,573,1036,438,176,91,52,12,4,2739
SAL80086,647,784,1369,825,610,516,447,284,212,5703
SAL80087,548,363,621,476,408,294,211,239,109,3271
SAL80088,301,143,159,198,184,198,178,35,14,1405
SAL80089,1715,696,1126,1393,834,565,491,197,32,7049
SAL80090,0,0,0,0,0,0,0,0,0,0
SAL80091,508,374,540,473,354,310,275,224,60,3104
SAL80092,613,342,571,515,395,396,294,243,75,3440
SAL80093,452,320,325,324,351,414,369,132,45,2740
SAL80094,751,374,383,502,457,346,325,215,35,3383
SAL80095,3,0,0,0,5,0,0,0,0,7
SAL80096,0,0,0,0,0,0,0,0,0,0
SAL80097,988,549,631,710,636,784,646,406,281,5644
SAL80098,1597,541,1149,1227,468,190,107,32,0,5310
SAL80099,1146,716,805,934,883,790,595,356,230,6455
SAL80100,2372,1266,1963,1868,1344,944,686,409,92,10957
SAL80101,1146,944,579,724,1147,1026,711,340,61,6680
SAL80102,916,1069,932,694,864,672,485,195,89,5917
SAL80103,124,119,62,70,150,141,150,94,20,928
SAL80104,53,24,76,71,60,56,30,4,3,375
SAL80105,333,205,215,201,216,267,205,42,15,1703
SAL80106,481,294,517,403,324,236,242,304,246,3054
SAL80107,1138,641,852,878,751,647,462,170,52,5579
SAL80108,0,0,0,0,0,0,0,0,0,0
SAL80109,465,335,269,320,393,344,267,223,68,2687
SAL80110,579,582,1875,898,488,378,239,113,42,5197
SAL80111,23,20,3,12,27,22,11,5,5,138
SAL80112,588,491,238,360,468,414,312,152,131,3146
SAL80113,127,250,306,175,167,230,178,95,18,1544
SAL80114,613,379,471,430,403,389,262,86,24,3058
SAL80115,688,337,420,496,443,336,354,215,66,3354
SAL80116,0,0,0,0,0,0,0,0,0,0
SAL80117,637,329,512,513,386,268,239,145,31,3069
SAL80118,520,310,305,404,343,251,300,131,26,2587
SAL80119,378,213,205,258,291,236,288,198,134,2191
SAL80120,174,81,202,154,56,20,16,0,0,714
SAL80121,46,49,58,78,93,145,117,61,7,655
SAL80122,637,205,549,495,152,98,69,18,3,2220
SAL80123,21,3,18,6,9,14,8,0,0,82
SAL80124,726,527,565,502,540,569,262,78,22,3798
SAL80125,712,191,514,582,236,91,50,19,3,2405
SAL80126,523,294,255,338,365,269,185,151,43,2424
SAL80127,350,856,1416,649,415,337,272,131,43,4470
SAL80128,80,40,38,66,45,29,6,3,0,309
SAL80129,1561,825,1005,1141,972,954,979,357,92,7885
SAL80130,579,286,359,421,359,266,263,201,50,2785
SAL80131,1346,764,1273,1244,858,609,364,210,74,6727
SAL80132,514,372,284,357,404,291,276,219,77,2795
SAL80133,760,397,420,568,547,372,402,367,175,4000
SAL80134,4,0,0,6,0,0,0,0,0,7
SAL80135,770,424,1019,810,385,237,132,37,9,3808
SAL80136,480,325,209,344,416,463,529,268,84,3120
SAL89494,50,148,108,104,77,78,34,10,4,605
SAL89797,0,0,0,0,0,0,0,0,0,0
