SAL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SAL80038,30,17,10,3,0,0,0,64,0,0,3,0,0,0,0,9,14,3,0,0,0,0,0,18,15,5,0,0,0,0,0,25,0,0,0,0,0,0,0,0,60,31,14,3,5,3,0,116,4,4,4,0,4,0,5,22,0,4,0,0,4,0,0,7,0,0,0,0,0,5,0,9,3,0,3,4,5,4,0,12,0,0,0,0,0,0,0,0,4,6,3,9,12,12,5,55,64,38,18,9,12,16,6,169
SAL80039,46,42,24,16,23,16,9,176,22,29,9,4,16,8,6,101,25,21,12,3,18,0,6,88,164,187,105,59,85,39,20,659,0,0,0,4,0,0,0,4,250,283,156,88,140,64,44,1022,5,9,0,5,7,0,0,28,6,5,4,0,3,4,0,27,0,4,5,3,7,0,0,24,26,66,30,24,40,3,3,193,6,0,0,0,0,0,0,0,43,86,40,32,54,8,9,271,296,367,195,119,199,72,54,1298
SAL80040,11,21,10,12,10,5,0,72,15,17,11,12,14,4,0,73,16,24,3,5,5,5,0,55,96,79,45,40,39,12,0,312,0,0,0,0,0,0,0,0,144,134,76,60,69,18,4,507,0,0,0,4,0,0,0,12,5,3,3,0,3,0,0,19,0,11,0,0,0,0,0,13,9,11,8,5,13,3,3,52,0,0,0,0,0,0,0,0,11,24,16,9,20,9,6,96,159,158,94,74,86,24,9,604
SAL80041,227,237,94,62,58,31,17,721,23,27,3,4,9,0,0,64,31,15,9,6,3,0,5,57,113,82,34,18,28,4,3,285,0,0,0,0,0,0,0,0,389,357,144,91,90,39,20,1132,4,26,8,9,14,7,3,67,3,12,0,0,0,0,0,19,4,7,6,0,0,0,0,16,26,29,18,10,5,3,0,93,0,0,0,0,0,0,0,0,35,72,24,17,27,13,6,196,426,428,169,105,117,49,26,1327
SAL80042,154,193,86,44,52,40,16,587,32,27,5,4,8,3,0,78,33,28,14,10,7,0,0,96,167,157,56,31,31,11,4,456,5,0,0,0,0,0,0,4,395,402,172,88,99,56,21,1229,4,6,4,4,5,0,6,26,0,4,0,0,0,0,0,18,3,3,4,0,4,0,0,21,15,16,9,5,11,3,5,65,0,0,0,0,0,0,0,0,31,29,26,13,17,4,8,129,424,436,191,104,115,62,24,1354
SAL80043,33,49,28,12,18,9,9,162,32,40,32,13,16,9,4,139,32,50,37,19,17,11,8,165,157,200,120,76,106,42,34,739,3,3,0,0,0,0,0,5,260,340,218,118,152,76,53,1215,0,8,4,8,7,3,0,26,0,4,3,6,7,3,0,27,0,4,5,0,5,4,0,11,10,16,17,16,13,10,0,87,0,5,0,0,0,0,0,3,9,34,31,27,23,19,4,158,272,378,253,144,175,95,56,1368
SAL80044,23,47,22,13,13,4,0,129,9,16,16,7,11,4,4,69,14,25,15,11,18,3,3,90,71,77,51,36,47,26,14,319,0,0,0,0,0,0,0,0,120,161,103,63,93,44,21,606,0,3,0,5,0,0,0,5,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,7,3,11,9,9,13,4,0,47,0,0,0,0,0,0,0,0,3,15,15,8,20,4,7,76,125,175,118,77,118,49,28,685
SAL80045,123,164,71,29,30,18,4,434,27,10,0,0,5,0,0,45,15,17,6,0,0,0,0,35,90,61,17,13,12,6,0,193,0,0,0,0,0,4,0,0,248,254,89,42,50,24,4,712,0,11,0,0,6,0,3,22,0,3,0,0,6,0,0,10,0,0,0,0,0,0,0,6,6,22,11,4,4,3,0,55,0,0,0,0,0,0,0,0,11,32,19,3,21,5,0,86,257,286,103,51,63,28,8,797
SAL80046,32,29,23,11,11,5,9,114,13,15,7,5,7,0,0,53,13,11,10,3,4,3,0,47,72,48,29,15,25,0,3,190,0,0,0,0,0,0,0,0,126,104,69,32,45,14,14,398,3,6,9,3,8,0,0,20,0,3,3,0,0,0,0,16,0,5,3,0,0,4,0,13,7,13,8,4,3,0,0,37,0,0,0,0,0,0,0,0,11,23,22,10,9,7,0,88,134,128,91,42,58,20,11,486
SAL80047,46,41,20,20,22,9,3,169,26,29,13,7,3,0,0,84,39,28,17,5,11,5,4,107,117,100,61,48,45,18,7,389,0,0,0,0,0,0,0,0,225,201,116,82,86,33,10,751,9,10,7,3,7,4,0,44,10,3,0,0,0,0,0,28,0,0,0,0,4,4,0,10,12,17,8,8,14,5,5,66,3,0,3,0,0,0,0,8,34,34,21,21,22,10,4,150,263,239,137,96,106,42,17,903
SAL80048,23,16,16,14,14,9,3,89,21,25,11,12,5,3,0,83,22,20,10,10,16,12,7,88,109,128,67,59,69,31,3,465,0,0,0,0,0,0,0,0,174,193,101,91,97,49,19,729,5,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10,7,24,12,18,17,3,0,88,0,0,0,0,0,0,0,3,12,21,16,26,25,3,0,107,190,214,123,116,123,53,21,840
SAL80049,79,106,70,37,58,20,12,385,24,38,17,9,13,0,0,111,46,50,27,20,26,11,0,168,264,323,185,109,155,36,10,1092,0,0,0,0,0,0,0,0,415,521,291,182,257,65,27,1755,13,18,11,7,13,10,11,78,11,17,4,3,0,0,0,45,3,5,9,4,6,0,0,28,25,49,40,21,33,7,3,175,0,4,0,0,0,0,0,8,49,96,66,41,56,13,12,331,465,609,362,221,312,82,42,2087
