SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL80019,475,950,20,95,121,540,21,110,535,2049,694,2799,53,223,103,387,132,421,287,1036,979,3835,3,7,18,46,5,19,86,197,108,263,13,35,30,68,67,153,106,250,219,518,16,39,1688,5340
SAL80020,277,559,0,0,35,156,3,23,210,807,248,986,24,97,44,139,41,130,104,370,357,1355,0,0,8,25,5,7,26,60,34,93,5,11,12,19,26,54,42,91,77,183,3,13,718,2107
SAL80021,438,897,5,31,71,311,29,129,383,1495,479,1956,42,177,58,195,155,502,253,874,730,2832,3,17,17,61,8,31,96,244,126,349,17,42,29,64,85,180,129,283,251,634,8,22,1433,4382
SAL80022,323,634,0,0,4,23,0,3,62,215,66,247,4,9,11,39,17,54,31,105,103,349,0,0,0,4,0,0,10,26,13,24,6,0,5,16,8,15,18,38,29,66,4,13,459,1057
SAL80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80024,1343,2695,0,0,20,75,3,7,372,1246,385,1328,3,18,17,56,21,67,46,146,431,1474,3,8,7,22,3,13,129,298,150,340,6,13,36,68,65,127,106,209,247,543,69,144,2095,4856
SAL80025,423,862,22,111,123,567,23,107,812,3269,981,4053,49,222,78,276,86,290,216,788,1197,4839,15,54,26,88,7,22,121,326,162,493,9,37,29,65,50,119,91,216,249,710,25,60,1894,6476
SAL80026,338,678,6,39,49,233,8,49,255,978,320,1298,28,122,41,132,92,305,158,565,479,1868,3,11,18,53,8,31,72,184,106,276,12,46,20,40,81,172,109,255,217,534,22,44,1062,3129
SAL80027,1032,2034,0,0,16,60,3,4,176,610,193,684,3,19,12,52,19,65,39,135,233,815,0,0,3,18,0,0,46,91,48,109,0,3,26,43,28,58,52,106,107,208,29,58,1405,3112
SAL80028,889,1789,4,24,36,155,5,23,352,1303,400,1500,7,33,63,206,57,167,127,409,525,1906,0,4,15,34,0,8,73,169,84,210,7,20,26,51,53,107,83,177,170,382,54,104,1628,4187
SAL80029,553,1105,5,42,82,378,20,76,410,1596,520,2098,40,153,63,217,167,536,269,903,786,3000,3,10,19,78,4,23,83,205,119,321,8,37,25,43,101,219,131,307,253,620,23,49,1611,4774
SAL80030,637,1255,5,51,54,232,5,22,305,1138,375,1435,29,108,70,234,63,189,156,529,532,1968,0,0,10,25,0,3,39,89,46,115,7,19,21,42,21,42,48,103,101,221,15,29,1281,3467
SAL80031,8,22,0,0,5,7,0,0,4,24,9,35,0,0,4,10,0,0,4,10,12,46,0,0,0,0,0,0,6,10,6,10,0,0,0,0,0,0,0,0,3,7,0,0,27,73
SAL80032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80033,493,989,13,64,80,342,11,31,748,2830,844,3271,27,113,76,252,92,296,199,659,1045,3927,0,10,23,68,9,31,106,255,142,356,18,61,26,62,52,107,91,227,232,582,13,37,1784,5537
SAL80034,355,703,7,36,52,229,0,8,196,781,258,1059,25,89,50,189,67,209,144,486,401,1539,4,6,3,14,0,4,22,68,36,94,3,14,14,27,44,103,60,147,97,243,6,13,853,2500
SAL80035,258,529,3,14,21,104,22,95,222,840,267,1058,5,36,17,44,57,181,76,258,347,1317,6,31,18,39,5,19,73,202,98,291,9,28,20,33,90,199,118,262,214,556,16,32,831,2428
SAL80036,285,574,0,12,23,114,0,3,184,702,211,830,13,58,27,96,47,146,91,304,302,1139,0,14,7,21,0,0,32,81,41,108,7,24,11,18,39,82,55,124,94,228,22,40,697,1983
SAL80037,521,1056,7,69,71,346,14,67,381,1484,479,1969,26,119,39,138,146,488,221,745,697,2710,0,11,16,61,10,26,85,231,115,331,10,38,22,45,91,191,119,267,230,600,18,35,1473,4405
SAL80038,633,1258,0,0,4,11,0,0,76,249,79,267,0,7,5,20,16,39,22,57,102,329,0,0,5,12,0,0,20,42,22,49,0,4,19,44,7,22,31,67,58,113,19,41,811,1740
SAL80039,474,956,13,81,55,239,22,110,350,1385,446,1817,58,243,70,253,153,498,282,989,727,2802,7,42,25,93,4,18,89,242,130,389,15,34,25,56,87,189,121,274,248,665,13,22,1456,4449
SAL80040,340,681,3,16,35,144,3,9,218,796,252,967,9,29,36,118,37,119,80,265,331,1236,0,5,0,7,5,14,38,93,48,124,9,25,15,39,49,110,73,169,123,294,13,21,811,2231
SAL80041,419,857,3,22,66,298,10,48,517,1931,593,2293,14,64,39,132,33,105,89,303,680,2595,0,0,10,33,3,11,106,255,124,300,5,12,22,51,40,80,64,145,188,445,20,42,1308,3938
SAL80042,427,858,3,21,64,297,12,45,548,2080,625,2441,23,101,49,163,59,198,134,456,760,2898,0,0,6,21,0,8,77,167,86,199,5,10,18,35,21,39,39,85,122,281,11,27,1325,4065
SAL80043,573,1147,7,24,78,333,7,23,429,1696,515,2081,37,150,96,342,91,294,227,782,741,2859,0,16,19,54,9,32,50,118,85,224,10,31,20,47,73,161,98,236,185,453,13,34,1517,4504
SAL80044,352,704,3,14,47,206,10,44,208,785,264,1045,17,57,67,214,39,126,121,403,387,1450,0,0,5,17,3,6,26,59,36,90,7,31,15,30,39,76,62,141,94,227,5,9,840,2386
SAL80045,253,509,0,9,38,150,0,6,349,1305,385,1467,4,24,17,68,18,58,49,152,431,1623,0,0,3,20,0,0,44,105,51,123,0,5,13,28,18,39,29,75,83,197,8,18,776,2344
SAL80046,399,797,0,5,25,123,0,0,175,637,199,766,14,40,22,67,22,67,52,168,254,934,0,7,8,11,0,11,50,111,59,139,0,0,13,23,32,69,42,89,98,229,19,37,769,1994
SAL80047,410,828,5,30,55,232,7,27,321,1188,381,1475,13,55,35,135,37,108,91,294,474,1775,4,13,7,37,4,12,66,163,82,220,4,10,18,40,50,108,72,153,153,373,24,44,1056,3030
SAL80048,348,707,9,45,42,199,4,27,254,995,312,1266,24,107,49,176,68,240,147,514,462,1778,0,11,13,42,7,12,56,121,72,184,0,3,12,22,54,114,68,143,142,325,8,30,963,2836
SAL80049,578,1154,15,96,120,562,34,163,612,2397,786,3213,61,270,91,300,157,507,312,1082,1093,4293,11,59,24,84,15,58,119,322,173,524,16,42,22,55,108,249,148,342,320,870,20,47,2011,6361
SAL80050,574,1154,17,79,56,247,16,61,429,1672,519,2061,42,172,61,215,115,386,224,773,739,2832,9,21,15,63,8,23,79,218,108,330,14,47,25,55,101,215,136,314,244,648,24,47,1579,4677
SAL80051,364,716,10,30,46,197,9,31,227,898,286,1160,32,137,56,191,84,273,173,606,454,1768,0,0,8,26,0,4,25,54,32,84,6,13,11,21,38,86,52,115,84,201,6,4,909,2699
SAL80052,406,810,9,26,45,224,7,42,269,1030,325,1335,23,97,69,243,82,263,172,599,505,1934,0,6,9,46,3,18,46,97,56,162,7,13,11,25,39,78,49,120,107,282,11,24,1028,3051
SAL80053,319,628,7,23,51,244,5,24,268,1032,329,1324,10,33,33,126,46,144,89,312,422,1632,3,18,6,16,4,20,35,88,46,143,3,10,12,42,49,113,74,161,124,304,8,23,874,2589
SAL80054,534,1070,6,37,49,244,7,39,319,1196,387,1516,33,141,50,163,107,332,190,629,569,2143,3,17,12,46,7,23,74,192,100,279,5,23,32,69,91,190,131,276,227,562,19,39,1346,3808
SAL80055,356,712,9,50,50,237,9,72,279,1131,357,1487,27,122,42,146,89,294,166,565,520,2048,4,17,13,32,3,11,44,112,56,171,10,21,9,23,48,106,67,153,126,324,15,25,1014,3118
SAL80056,309,626,10,53,99,428,7,46,493,1896,605,2426,36,150,84,279,56,183,172,608,776,3030,3,6,17,40,3,11,64,139,80,196,8,21,13,30,26,54,43,105,127,300,10,18,1222,3971
SAL80057,296,576,0,3,24,99,0,3,82,302,105,414,14,61,37,107,35,110,88,284,189,695,0,0,0,13,0,0,17,40,21,51,0,0,6,11,15,31,19,43,41,100,3,11,536,1387
SAL80058,723,1468,10,44,103,447,14,63,687,2556,808,3122,29,115,82,281,86,278,194,667,1002,3788,0,19,16,42,0,13,99,233,120,302,8,17,27,52,48,117,81,190,203,491,38,90,1971,5838
SAL80059,229,464,5,5,41,191,11,45,140,560,190,810,20,89,25,79,60,188,104,358,299,1170,0,0,8,30,4,11,33,78,43,118,6,24,3,8,33,77,45,103,90,224,3,8,620,1868
SAL80060,0,9,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17
SAL80061,347,690,6,32,51,226,0,5,305,1216,366,1486,20,81,47,169,65,192,132,444,495,1925,0,0,7,35,4,5,42,114,56,152,4,5,16,37,28,60,49,103,102,247,10,16,948,2880
SAL80062,279,570,12,50,31,137,16,58,187,719,240,966,15,75,24,87,96,302,135,463,374,1432,4,11,13,46,8,24,50,125,67,205,4,21,11,25,46,102,62,143,129,350,4,13,788,2358
SAL80063,362,739,4,36,47,225,5,32,278,1062,335,1351,10,37,23,85,74,240,108,353,442,1710,3,6,14,55,4,15,45,119,72,201,5,20,6,20,46,120,67,158,136,357,16,29,955,2830
SAL80064,787,1581,10,74,95,412,22,118,549,2130,676,2727,53,236,93,311,218,740,371,1295,1050,4020,4,9,22,69,20,57,156,396,196,530,21,62,37,77,147,321,201,464,398,993,25,54,2257,6642
SAL80065,355,717,6,34,35,139,3,19,261,999,297,1187,29,127,34,122,65,221,135,470,437,1661,0,4,5,25,10,42,43,121,62,195,7,16,12,23,61,137,74,174,138,368,8,18,938,2757
SAL80066,594,1200,0,10,9,50,3,20,204,712,220,789,3,12,21,63,35,109,58,185,274,974,0,6,19,38,0,4,90,197,105,245,3,3,34,73,73,157,111,232,214,475,22,50,1116,2694
SAL80067,683,1352,0,8,67,300,0,6,281,1039,347,1349,27,96,86,282,64,198,172,580,514,1926,0,5,8,27,3,5,57,134,72,175,3,3,35,82,41,84,79,174,152,344,22,49,1376,3675
SAL80068,958,1934,13,72,91,406,14,58,602,2213,720,2749,39,160,89,304,111,359,241,835,961,3580,9,30,21,63,0,7,119,273,152,373,12,36,31,67,93,195,137,300,280,674,53,114,2253,6300
SAL80069,272,543,6,32,49,218,8,34,269,1056,331,1330,15,75,44,147,50,163,111,378,444,1709,0,0,17,42,0,3,24,66,39,108,4,11,17,40,48,101,65,156,114,266,14,27,841,2543
SAL80070,32,66,0,4,10,48,0,4,13,60,26,114,3,15,4,14,10,29,19,61,43,179,0,0,0,0,0,0,5,3,6,8,0,0,0,3,0,8,4,17,11,21,0,0,87,259
SAL80071,681,1367,25,128,144,655,20,83,759,2916,944,3778,30,118,96,329,94,297,214,745,1161,4519,5,11,27,94,10,12,118,291,152,407,14,41,26,57,62,141,102,237,256,649,32,74,2129,6607
SAL80072,356,716,0,15,42,200,4,32,181,689,232,938,27,109,43,136,63,216,133,463,363,1402,3,4,4,14,0,3,54,127,62,149,0,0,17,41,36,80,54,122,113,277,12,27,852,2418
SAL80073,364,727,15,82,40,175,14,53,244,948,307,1259,15,69,31,113,63,212,111,394,425,1650,0,11,17,58,0,3,45,114,69,187,6,24,10,28,56,119,74,174,143,359,13,27,946,2773
SAL80074,331,657,7,25,35,164,6,13,207,782,251,980,12,49,37,121,46,148,93,316,343,1296,0,4,6,28,0,0,48,109,59,147,0,9,17,32,46,103,68,143,121,289,7,11,801,2262
SAL80075,610,1234,3,22,48,235,11,56,423,1581,492,1892,26,93,41,139,83,273,150,502,636,2398,7,41,18,50,4,22,101,265,133,380,12,29,17,42,89,197,116,265,250,645,26,56,1520,4330
SAL80076,286,574,6,24,50,249,3,10,231,914,294,1196,20,83,57,199,49,158,128,438,417,1636,0,0,4,24,0,3,38,82,45,106,4,18,17,22,47,89,57,130,107,240,8,21,822,2469
SAL80077,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SAL80078,328,660,4,15,32,146,7,28,134,503,167,691,15,61,40,144,60,198,124,411,292,1101,0,5,5,11,0,8,28,66,35,90,6,13,6,14,37,83,54,114,86,199,11,20,717,1980
SAL80079,418,842,12,65,50,232,7,41,334,1287,410,1634,18,73,39,136,112,365,169,566,581,2206,0,0,22,70,9,13,86,245,115,324,13,42,22,46,67,141,98,230,217,561,18,33,1226,3641
SAL80080,34,71,6,11,13,61,0,0,81,324,100,405,4,21,4,10,3,13,11,36,110,439,3,7,3,13,0,4,18,39,23,67,0,0,3,8,10,14,11,22,31,87,3,10,180,604
SAL80081,807,1630,14,76,81,401,13,69,540,2072,655,2626,51,233,80,276,182,583,316,1094,965,3724,0,20,16,54,3,9,112,284,136,364,9,27,27,68,113,247,153,342,284,703,28,57,2083,6114
SAL80082,1701,3428,32,189,197,900,44,197,998,3918,1266,5199,90,389,151,550,369,1166,610,2107,1878,7306,16,60,64,202,20,69,291,726,384,1056,31,91,63,130,289,624,373,851,761,1910,65,139,4402,12785
SAL80083,1026,2026,0,9,21,98,0,4,255,853,280,965,10,33,28,99,34,110,72,238,353,1202,0,14,10,21,0,5,98,219,117,259,5,9,35,63,48,106,83,171,201,432,22,44,1596,3704
SAL80084,373,763,13,62,39,161,9,38,284,1094,343,1351,17,69,38,119,73,244,127,433,467,1782,3,13,23,67,4,23,62,174,99,279,8,29,20,46,59,119,88,190,178,473,15,24,1032,3041
SAL80085,336,671,0,0,15,57,0,4,174,624,183,684,6,25,12,39,11,35,24,91,213,777,0,0,3,11,0,0,27,64,35,82,0,3,15,28,13,30,23,57,65,140,31,60,638,1647
SAL80086,699,1398,6,30,39,142,3,18,281,999,325,1198,14,56,46,159,43,150,106,355,429,1555,0,0,14,27,0,7,74,165,90,200,10,25,29,57,56,114,93,202,183,395,39,74,1347,3422
SAL80087,353,707,3,36,27,148,5,24,233,859,278,1071,13,55,32,105,31,114,76,265,349,1335,0,0,4,20,0,5,49,116,55,142,3,15,13,26,44,97,63,135,115,276,18,36,842,2355
SAL80088,154,302,3,21,21,113,10,30,114,435,148,600,11,52,20,73,45,139,79,261,222,862,0,12,6,19,5,3,17,51,23,82,0,3,0,5,13,29,18,37,47,125,0,0,427,1294
SAL80089,624,1275,19,95,79,375,21,103,693,2653,815,3227,27,112,43,147,104,342,176,601,985,3830,6,14,30,94,14,53,132,344,185,500,20,65,35,88,88,192,147,343,325,847,27,62,1965,6004
SAL80090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80091,337,680,0,6,32,149,4,14,186,704,222,879,11,49,17,61,53,152,83,260,300,1144,0,5,8,17,5,10,58,150,70,182,4,12,6,19,50,109,64,137,134,320,15,34,793,2178
SAL80092,419,844,4,10,39,158,6,33,241,914,286,1120,15,61,28,100,49,164,91,331,377,1448,0,0,10,35,0,5,50,127,62,162,4,13,19,48,44,93,68,153,128,318,20,40,953,2649
SAL80093,339,670,10,45,36,146,6,22,164,637,206,857,21,88,41,128,81,277,141,493,353,1354,0,13,4,9,0,9,32,90,38,121,4,19,9,19,49,112,61,147,99,269,0,6,794,2297
SAL80094,344,689,3,22,41,182,5,42,266,1077,321,1324,28,110,38,129,60,221,128,461,445,1783,3,11,8,34,3,20,60,157,72,222,3,19,13,27,43,101,61,144,136,361,9,24,933,2851
SAL80095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80097,611,1224,10,48,54,245,16,63,384,1511,462,1868,31,139,52,165,142,469,223,777,690,2644,5,16,20,60,6,19,74,182,100,273,10,38,30,55,107,231,149,328,248,600,23,54,1564,4523
SAL80098,336,674,3,33,72,358,10,42,697,2651,787,3088,23,89,51,161,46,139,111,386,903,3475,5,10,16,58,3,24,89,230,111,322,12,32,18,51,30,71,63,155,175,475,18,43,1433,4670
SAL80099,582,1165,8,35,95,422,6,23,419,1577,523,2058,37,156,84,296,81,271,208,714,733,2776,0,5,23,63,5,10,112,273,137,348,20,59,44,83,73,155,134,298,269,647,25,50,1607,4639
SAL80100,984,1984,14,85,121,563,31,135,948,3643,1110,4421,73,327,107,365,171,545,356,1241,1462,5658,4,35,30,97,7,26,220,528,267,685,29,81,43,86,174,383,240,549,508,1237,34,75,2989,8954
SAL80101,751,1497,13,76,93,432,23,131,440,1705,574,2346,90,392,145,508,211,703,448,1604,1021,3947,4,20,19,53,3,14,61,154,86,245,17,44,24,47,66,141,99,233,181,472,16,40,1978,5959
SAL80102,580,1140,3,17,83,370,10,40,336,1311,434,1738,24,105,95,328,71,231,195,671,625,2405,0,9,19,55,7,7,78,193,105,270,11,20,20,50,60,136,92,203,202,471,28,55,1434,4073
SAL80103,128,251,5,23,13,61,0,19,40,151,54,257,8,41,24,74,45,132,74,244,130,500,0,0,5,9,0,5,7,16,10,21,0,0,4,9,8,16,12,25,18,49,3,8,281,806
SAL80104,24,44,0,0,0,6,0,0,16,62,17,74,0,0,0,10,9,21,12,28,27,103,0,0,0,7,0,3,5,11,12,22,0,0,0,0,4,10,4,10,11,30,4,3,65,184
SAL80105,187,384,6,9,24,120,10,33,116,431,145,600,7,30,12,50,48,151,70,229,220,829,3,13,6,24,5,19,27,75,38,126,3,13,7,22,24,54,38,82,79,214,6,14,492,1443
SAL80106,292,591,0,13,29,122,3,23,190,720,224,876,10,33,11,43,39,118,56,195,288,1070,4,6,7,14,3,16,48,117,56,153,5,14,16,32,46,100,66,150,126,305,9,14,704,1980
SAL80107,543,1100,12,61,54,255,13,52,423,1631,498,2001,47,174,71,243,110,370,219,784,717,2785,0,4,21,66,0,3,115,294,136,360,8,21,19,46,100,219,126,294,267,652,24,52,1553,4596
SAL80108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80109,276,548,11,39,39,171,6,22,171,675,225,908,14,68,37,133,61,193,116,398,340,1311,0,5,11,40,4,10,28,74,47,121,5,20,21,46,27,61,51,125,96,248,10,18,725,2120
SAL80110,746,1484,0,5,17,78,5,17,318,1091,341,1201,8,19,15,53,25,64,45,138,387,1337,0,0,17,51,0,6,72,137,92,190,8,20,28,47,42,82,72,156,162,349,34,74,1326,3242
SAL80111,12,20,0,6,6,14,0,0,9,21,8,38,0,0,3,11,3,11,6,20,15,62,0,0,0,0,0,0,4,14,4,14,0,0,0,3,4,4,4,3,4,19,0,0,34,101
SAL80112,265,521,9,45,57,271,4,29,214,846,290,1194,23,93,78,269,54,169,155,534,443,1723,3,5,12,35,4,9,14,32,31,82,5,7,27,63,25,52,55,123,84,207,13,19,792,2469
SAL80113,197,386,3,14,7,33,0,0,53,189,64,242,9,29,20,63,14,42,44,136,104,381,0,0,3,7,0,0,16,31,19,37,0,0,3,4,15,31,20,38,38,79,6,13,344,852
SAL80114,280,566,3,32,37,164,10,41,193,732,239,967,21,103,28,94,79,250,132,450,371,1417,4,9,23,75,6,31,68,173,102,299,0,11,11,35,64,138,84,184,186,480,19,41,860,2507
SAL80115,357,711,0,22,48,203,6,7,260,1013,309,1249,13,53,34,110,52,168,96,328,410,1576,4,9,13,38,3,19,45,119,68,184,16,36,17,31,65,145,95,209,163,398,12,28,936,2709
SAL80116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL80117,277,559,3,28,28,141,9,37,262,980,303,1182,14,57,21,62,46,144,76,256,375,1446,0,4,18,61,3,17,49,133,71,208,6,15,19,31,46,96,66,148,136,354,18,38,812,2392
SAL80118,264,545,7,26,38,165,9,43,188,735,234,969,16,81,21,81,58,190,99,349,330,1315,3,4,10,35,0,8,32,77,46,128,5,21,9,19,48,98,61,138,106,262,14,25,718,2152
SAL80119,222,451,12,51,26,132,7,36,128,493,175,708,13,59,23,77,50,168,85,298,263,1004,0,0,3,14,7,23,36,100,49,137,0,0,11,16,28,67,36,87,84,225,6,16,577,1695
