SAL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SAL80074,0,4,0,4,..,3,0,4,0,4,..,3,0,3,0,3,..,16,8,27,0,27,..,78,8,82,0,81,..,395,51,445,0,446,..,0,0,0,98,95,2275,397,51,448,98,2816
SAL80075,0,10,0,10,..,8,3,13,0,13,..,4,0,4,0,4,..,49,16,64,0,66,..,183,37,217,7,224,..,947,141,1092,11,1105,..,22,5,24,170,194,4330,973,148,1117,178,5628
SAL80076,0,4,0,4,..,9,0,9,0,9,..,0,0,0,0,0,..,13,3,10,0,10,..,94,6,98,0,102,..,464,39,501,7,508,..,15,3,14,84,104,2599,473,40,518,92,3210
SAL80077,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,376,376,15,0,0,0,376,395
SAL80078,5,65,0,65,..,7,0,7,0,7,..,3,5,3,0,3,..,18,0,15,0,15,..,87,9,96,0,96,..,666,60,729,0,728,..,12,0,10,63,73,1578,680,61,737,62,2379
SAL80079,0,15,0,15,..,9,3,11,0,11,..,0,0,0,0,0,..,47,11,62,3,63,..,96,13,109,7,112,..,760,98,860,17,875,..,21,0,22,101,123,3331,782,99,883,116,4329
SAL80080,0,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,4,6,7,0,7,..,62,9,74,4,80,..,311,39,350,4,360,..,3,4,6,21,31,324,313,45,361,29,712
SAL80081,0,28,0,28,..,23,6,29,0,29,..,3,0,3,0,3,..,112,33,142,5,145,..,237,31,268,3,271,..,1684,259,1948,21,1968,..,32,5,38,220,253,5450,1720,266,1981,238,7672
SAL80082,3,27,0,27,..,32,13,42,0,42,..,7,0,7,0,7,..,56,20,72,0,75,..,266,42,316,4,314,..,1931,247,2179,23,2197,..,47,0,46,525,570,12902,1979,250,2225,545,15670
SAL80083,0,16,0,16,..,21,0,19,0,19,..,8,0,8,0,8,..,14,8,19,0,22,..,117,10,124,3,129,..,1037,55,1094,13,1108,..,16,0,17,598,613,4854,1052,61,1114,613,6579
SAL80084,0,4,0,4,..,10,0,10,0,10,..,0,0,0,0,0,..,31,14,49,0,49,..,88,20,100,5,105,..,504,69,576,9,581,..,11,0,11,149,160,3022,517,69,589,151,3767
SAL80085,0,49,0,54,..,5,0,5,0,5,..,0,0,0,0,0,..,72,11,84,0,84,..,123,0,121,0,121,..,1258,112,1370,11,1383,..,11,0,16,162,180,1176,1273,117,1389,179,2739
SAL80086,0,14,0,14,..,26,6,28,0,28,..,3,0,5,0,5,..,74,33,107,0,110,..,268,27,295,6,303,..,1338,156,1496,14,1508,..,30,8,32,302,332,3856,1363,158,1524,316,5703
SAL80087,0,18,0,18,..,7,5,13,0,13,..,0,0,0,0,0,..,16,7,19,0,19,..,169,18,192,6,189,..,854,89,947,7,955,..,26,0,29,128,153,2165,880,90,976,129,3271
SAL80088,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,11,0,18,0,18,..,120,6,125,0,125,..,3,0,3,7,13,1264,124,9,128,7,1405
SAL80089,0,20,0,18,..,13,5,20,0,20,..,6,0,11,0,11,..,80,8,87,0,89,..,267,27,297,8,306,..,1555,151,1705,23,1728,..,36,4,41,152,199,5120,1594,158,1749,179,7049
SAL80090,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL80091,0,4,0,4,..,15,0,15,0,15,..,4,0,4,0,4,..,46,19,61,0,61,..,114,16,128,3,134,..,684,82,764,5,766,..,7,0,10,166,183,2159,692,81,775,173,3104
SAL80092,0,32,0,32,..,14,0,18,0,20,..,0,0,0,0,0,..,11,0,8,0,8,..,154,18,167,0,169,..,917,79,998,5,1007,..,23,6,24,127,156,2281,938,88,1027,134,3440
SAL80093,0,10,0,10,..,13,0,13,0,13,..,0,0,0,0,0,..,44,7,56,0,56,..,81,12,97,0,97,..,637,81,719,0,717,..,14,0,14,86,99,1918,654,83,729,81,2740
SAL80094,0,7,0,7,..,5,0,5,0,5,..,3,0,9,0,9,..,13,5,27,0,27,..,97,10,111,4,111,..,463,62,527,5,539,..,15,0,17,109,121,2728,481,63,543,115,3383
SAL80095,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,3,0,3,..,0,0,0,6,6,0,0,3,3,6,7
SAL80096,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL80097,0,51,0,51,..,10,0,18,0,18,..,0,0,0,0,0,..,74,10,86,0,86,..,141,20,160,4,165,..,962,106,1067,9,1081,..,28,3,33,149,178,4392,992,110,1096,152,5644
SAL80098,10,69,0,67,..,0,0,0,0,0,..,7,0,7,0,7,..,43,10,58,0,58,..,359,45,405,11,411,..,2270,250,2519,23,2545,..,51,3,51,200,251,2513,2320,254,2573,222,5310
SAL80099,3,20,0,20,..,6,0,5,0,5,..,9,0,9,0,8,..,39,9,45,0,45,..,189,18,213,4,210,..,1371,111,1478,16,1486,..,40,5,43,410,450,4516,1408,110,1519,420,6455
SAL80100,3,43,0,43,..,22,3,28,3,32,..,0,0,0,0,0,..,134,35,171,6,171,..,387,65,445,16,466,..,2568,373,2943,50,2997,..,44,10,53,314,368,7592,2613,383,2995,366,10957
SAL80101,0,33,0,33,..,4,0,9,0,9,..,11,0,11,0,11,..,101,11,115,0,115,..,121,17,143,4,142,..,1476,162,1642,13,1654,..,22,0,28,100,125,4907,1496,164,1667,113,6680
SAL80102,0,23,0,23,..,6,0,6,0,6,..,4,0,4,0,4,..,48,7,55,0,55,..,183,20,200,0,201,..,918,77,999,12,1015,..,16,3,24,144,166,4732,937,91,1025,157,5917
SAL80103,0,25,0,25,..,0,0,0,0,0,..,3,0,3,0,3,..,10,3,14,0,14,..,28,0,25,0,25,..,387,16,404,0,401,..,7,0,7,23,36,491,394,16,407,23,928
SAL80104,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,3,20,0,20,..,69,11,79,0,81,..,5,0,5,84,89,208,71,11,87,81,375
SAL80105,0,8,0,8,..,8,0,6,0,6,..,0,0,0,0,0,..,9,0,9,0,10,..,40,0,44,0,44,..,225,21,246,0,247,..,9,0,8,57,60,1392,229,18,251,56,1703
SAL80106,0,0,0,0,..,14,0,16,0,16,..,0,0,0,0,0,..,48,9,55,0,59,..,110,27,135,4,140,..,606,115,721,15,738,..,9,3,8,173,184,2140,616,113,735,184,3054
SAL80107,3,39,0,43,..,16,4,19,0,25,..,5,0,5,0,5,..,122,45,168,0,168,..,185,44,232,6,239,..,1447,271,1718,18,1733,..,20,3,27,166,195,3652,1468,277,1743,185,5579
SAL80108,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL80109,0,6,0,6,..,4,0,4,0,4,..,3,0,3,0,3,..,6,0,6,0,6,..,55,5,59,0,63,..,449,32,481,0,486,..,10,0,16,74,88,2113,461,36,497,78,2687
SAL80110,4,44,0,44,..,11,4,17,0,15,..,9,0,8,0,8,..,21,0,21,0,19,..,232,14,251,8,257,..,1858,167,2022,33,2054,..,42,4,42,212,257,2877,1902,169,2070,248,5197
SAL80111,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,3,0,3,0,4,..,0,0,0,12,12,118,3,0,3,12,138
SAL80112,0,12,0,12,..,0,0,0,0,0,..,11,0,10,0,10,..,21,0,22,0,22,..,83,6,92,0,92,..,682,38,724,8,732,..,12,0,14,91,98,2314,691,41,738,96,3146
SAL80113,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,9,3,7,0,7,..,25,7,28,3,35,..,259,30,286,3,289,..,10,6,11,97,107,1144,266,33,296,102,1544
SAL80114,0,6,0,6,..,7,0,9,0,9,..,0,0,0,0,0,..,19,9,28,0,28,..,51,5,53,0,58,..,448,57,504,5,515,..,10,0,10,100,109,2436,453,57,514,110,3058
SAL80115,0,12,0,12,..,14,0,16,0,16,..,5,0,5,0,5,..,8,13,22,0,22,..,52,9,58,7,66,..,426,52,477,8,480,..,7,0,3,127,135,2740,429,53,477,133,3354
SAL80116,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
SAL80117,0,0,0,0,..,10,0,12,0,12,..,0,0,0,0,0,..,34,15,44,0,44,..,113,9,124,5,122,..,608,88,696,8,706,..,20,0,18,116,131,2227,630,95,721,123,3069
SAL80118,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,14,5,22,0,22,..,55,12,56,0,62,..,253,35,286,4,286,..,3,0,4,88,90,2209,259,36,292,87,2587
SAL80119,0,5,0,5,..,8,5,14,0,14,..,0,0,0,0,0,..,8,3,5,0,5,..,34,4,37,0,42,..,349,47,396,4,396,..,0,0,4,63,69,1718,348,51,402,71,2191
SAL80120,0,16,0,16,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,47,8,55,0,55,..,355,24,380,4,381,..,3,0,3,26,28,302,362,24,382,28,714
SAL80121,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,19,0,23,0,23,..,64,3,64,0,66,..,0,0,0,209,209,375,61,3,63,215,655
SAL80122,3,15,0,15,..,9,0,6,0,6,..,0,0,0,0,0,..,21,4,24,0,24,..,192,22,216,8,220,..,1246,141,1394,18,1407,..,21,3,29,82,110,704,1272,146,1418,100,2220
SAL80123,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,3,74,6,0,6,0,82
SAL80124,0,16,0,16,..,5,0,5,0,5,..,0,0,0,0,0,..,33,5,33,0,33,..,80,9,93,0,93,..,444,41,480,6,486,..,10,0,10,76,86,3220,452,41,492,84,3798
